"Product Name",Category,"Sell Price","Buy Price"
"Aesthir Glider (Clouds)",Alliances,0.15,0.00
"Aesthir Glider (Moon)",Alliances,0.17,0.00
"Agent of Stromgald",Alliances,0.20,0.00
"Agent of Stromgald (Woman Holding Staff)",Alliances,0.17,0.00
"Arcane Denial (Axe)",Alliances,0.68,0.10
"Arcane Denial (Sword)",Alliances,0.66,0.10
"Ashnod's Cylix",Alliances,1.23,0.10
Astrolabe,Alliances,0.20,0.00
"Astrolabe (Globe)",Alliances,0.18,0.00
"Awesome Presence",Alliances,0.18,0.00
"Awesome Presence (Man Being Chased)",Alliances,0.18,0.00
"Balduvian Dead",Alliances,0.24,0.00
"Balduvian Horde",Alliances,0.47,0.00
"Balduvian Trading Post",Alliances,2.61,0.25
"Balduvian War-Makers",Alliances,0.15,0.00
"Balduvian War-Makers (Gen. Varchild Flavor)",Alliances,0.18,0.00
"Benthic Explorers",Alliances,0.18,0.00
"Benthic Explorers (On the Rocks)",Alliances,0.14,0.00
"Bestial Fury",Alliances,0.14,0.00
"Bestial Fury (Facing Left)",Alliances,0.15,0.00
"Bounty of the Hunt",Alliances,0.24,0.00
Browse,Alliances,0.24,0.00
Burnout,Alliances,0.28,0.00
"Carrier Pigeons",Alliances,0.18,0.00
"Carrier Pigeons (Hand)",Alliances,0.18,0.00
"Casting of Bones",Alliances,0.18,0.00
"Casting of Bones (Hooded Figure)",Alliances,0.17,0.00
"Chaos Harlequin",Alliances,0.70,0.10
Contagion,Alliances,0.38,0.00
"Deadly Insect (Bird)",Alliances,0.19,0.00
"Deadly Insect (Red Robe)",Alliances,0.14,0.00
"Death Spark",Alliances,0.26,0.00
"Diminishing Returns",Alliances,0.47,0.00
"Diseased Vermin",Alliances,0.26,0.00
Dystopia,Alliances,1.53,0.10
"Elvish Bard",Alliances,0.23,0.00
"Elvish Ranger (Female)",Alliances,0.24,0.00
"Elvish Ranger (Male)",Alliances,0.19,0.00
"Elvish Spirit Guide",Alliances,5.22,2.45
"Energy Arc",Alliances,0.24,0.00
"Enslaved Scout",Alliances,0.18,0.00
"Enslaved Scout (Horses)",Alliances,0.17,0.00
"Errand of Duty",Alliances,0.20,0.00
"Errand of Duty (Page Holding Sword)",Alliances,0.14,0.00
Exile,Alliances,1.31,0.10
"False Demise (Cave-in)",Alliances,0.21,0.00
"False Demise (Underwater)",Alliances,0.19,0.00
"Fatal Lore",Alliances,0.71,0.10
"Feast or Famine (Falling into Pit)",Alliances,0.21,0.00
"Feast or Famine (Knife)",Alliances,0.21,0.00
"Fevered Strength",Alliances,0.18,0.00
"Fevered Strength (Foaming at Mouth)",Alliances,0.19,0.00
"Floodwater Dam",Alliances,0.84,0.10
"Force of Will",Alliances,102.12,61.27
Foresight,Alliances,0.21,0.00
"Foresight (White Dress)",Alliances,0.19,0.00
"Fyndhorn Druid",Alliances,0.14,0.00
"Fyndhorn Druid (Facing Right)",Alliances,0.14,0.00
"Gargantuan Gorilla",Alliances,0.54,0.10
"Gift of the Woods",Alliances,0.17,0.00
"Gift of the Woods (Girl/Lynx)",Alliances,0.14,0.00
"Gorilla Berserkers",Alliances,0.14,0.00
"Gorilla Berserkers (Closed Mouth)",Alliances,0.20,0.00
"Gorilla Chieftain (2 Gorillas)",Alliances,0.15,0.00
"Gorilla Chieftain (4 Gorillas)",Alliances,0.18,0.00
"Gorilla Shaman",Alliances,1.42,0.10
"Gorilla Shaman (Holding Baby)",Alliances,0.79,0.10
