"Product Name",Category,"Sell Price","Buy Price"
"Ahn-Crop Champion",Amonkhet,0.22,0.00
"Ahn-Crop Crasher",Amonkhet,0.22,0.00
"Ancient Crab",Amonkhet,0.14,0.00
"Angel of Sanctions",Amonkhet,0.98,0.10
"Angel of Sanctions // Drake Token",Amonkhet,0.67,0.10
"Angel of Sanctions Token",Amonkhet,0.76,0.10
"Angler Drake",Amonkhet,0.23,0.00
"Anointed Procession",Amonkhet,13.25,6.23
"Anointer Priest",Amonkhet,0.18,0.00
"Anointer Priest // Drake Token",Amonkhet,0.22,0.00
"Anointer Priest Token",Amonkhet,0.22,0.00
"Approach of the Second Sun",Amonkhet,0.48,0.00
"Archfiend of Ifnir",Amonkhet,0.63,0.10
"As Foretold",Amonkhet,10.45,4.91
"Aven Initiate",Amonkhet,0.14,0.00
"Aven Initiate // Snake Token",Amonkhet,0.24,0.00
"Aven Initiate Token",Amonkhet,0.14,0.00
"Aven Mindcensor",Amonkhet,0.78,0.10
"Aven Wind Guide",Amonkhet,0.24,0.00
"Aven Wind Guide // Hippo Token",Amonkhet,0.19,0.00
"Aven Wind Guide Token",Amonkhet,0.18,0.00
"Baleful Ammit",Amonkhet,0.24,0.00
"Battlefield Scavenger",Amonkhet,0.21,0.00
"Beast Token",Amonkhet,0.18,0.00
"Benefaction of Rhonas",Amonkhet,0.14,0.00
"Binding Mummy",Amonkhet,0.16,0.00
"Bitterblade Warrior",Amonkhet,0.14,0.00
"Blazing Volley",Amonkhet,0.18,0.00
"Blighted Bat",Amonkhet,0.14,0.00
"Bloodlust Inciter",Amonkhet,0.14,0.00
"Bloodrage Brawler",Amonkhet,0.24,0.00
"Bone Picker",Amonkhet,0.25,0.00
"Bontu the Glorified",Amonkhet,2.02,0.25
"Bontu's Monument",Amonkhet,1.25,0.10
"Bounty of the Luxa",Amonkhet,0.39,0.00
"Brute Strength",Amonkhet,0.15,0.00
"By Force",Amonkhet,0.31,0.00
Cancel,Amonkhet,0.14,0.00
"Canyon Slough",Amonkhet,1.66,0.10
"Cartouche of Ambition",Amonkhet,0.18,0.00
