"Product Name",Category,"Sell Price","Buy Price"
"Aether Mutation",Apocalypse,0.24,0.01
"Ana Disciple",Apocalypse,0.17,0.00
"Ana Sanctuary",Apocalypse,0.24,0.01
Anavolver,Apocalypse,0.44,0.08
"Angelfire Crusader",Apocalypse,0.21,0.00
"Battlefield Forge",Apocalypse,1.71,0.08
"Bloodfire Colossus",Apocalypse,0.42,0.08
"Bloodfire Dwarf",Apocalypse,0.17,0.00
"Bloodfire Infusion",Apocalypse,0.17,0.00
"Bloodfire Kavu",Apocalypse,0.20,0.01
"Bog Gnarr",Apocalypse,0.19,0.00
"Brass Herald",Apocalypse,0.38,0.01
"Captain's Maneuver",Apocalypse,0.24,0.01
"Caves of Koilos",Apocalypse,2.64,0.25
"Ceta Disciple",Apocalypse,0.20,0.00
"Ceta Sanctuary",Apocalypse,0.24,0.01
Cetavolver,Apocalypse,0.31,0.08
"Coalition Flag",Apocalypse,0.24,0.01
"Coalition Honor Guard",Apocalypse,0.19,0.00
"Coastal Drake",Apocalypse,0.19,0.00
"Consume Strength",Apocalypse,0.19,0.00
Cromat,Apocalypse,1.90,0.08
"Dead Ringers",Apocalypse,0.19,0.00
"Death Grasp",Apocalypse,0.48,0.08
"Death Mutation",Apocalypse,0.24,0.01
"Dega Disciple",Apocalypse,0.20,0.00
"Dega Sanctuary",Apocalypse,0.23,0.01
Degavolver,Apocalypse,0.41,0.08
"Desolation Angel",Apocalypse,1.40,0.08
"Desolation Giant",Apocalypse,0.38,0.08
"Diversionary Tactics",Apocalypse,0.25,0.01
"Divine Light",Apocalypse,0.17,0.00
Dodecapod,Apocalypse,0.23,0.01
"Dragon Arch",Apocalypse,3.09,1.24
"Dwarven Landslide",Apocalypse,0.18,0.00
"Dwarven Patrol",Apocalypse,0.24,0.01
"Ebony Treefolk",Apocalypse,0.23,0.01
"Emblazoned Golem",Apocalypse,0.24,0.01
"Enlistment Officer",Apocalypse,0.27,0.01
"Evasive Action",Apocalypse,0.24,0.01
"False Dawn",Apocalypse,0.41,0.08
"Fervent Charge",Apocalypse,0.47,0.08
"Fire // Ice",Apocalypse,0.38,0.01
"Flowstone Charger",Apocalypse,0.23,0.01
"Foul Presence",Apocalypse,0.22,0.01
"Fungal Shambler",Apocalypse,0.38,0.08
"Gaea's Balance",Apocalypse,0.24,0.01
"Gaea's Skyfolk",Apocalypse,0.18,0.00
"Gerrard Capashen",Apocalypse,0.42,0.08
"Gerrard's Verdict",Apocalypse,0.31,0.01
"Glade Gnarr",Apocalypse,0.17,0.00
"Goblin Legionnaire",Apocalypse,0.19,0.00
"Goblin Ringleader",Apocalypse,1.54,0.01
"Goblin Trenches",Apocalypse,0.42,0.08
"Grave Defiler",Apocalypse,0.24,0.01
"Guided Passage",Apocalypse,1.73,0.08
"Haunted Angel",Apocalypse,0.24,0.01
Helionaut,Apocalypse,0.16,0.00
"Ice Cave",Apocalypse,0.38,0.08
Illuminate,Apocalypse,0.24,0.01
"Illusion // Reality",Apocalypse,0.24,0.01
Index,Apocalypse,0.17,0.00
"Jaded Response",Apocalypse,0.19,0.00
Jilt,Apocalypse,0.22,0.00
"Jungle Barrier",Apocalypse,0.24,0.01
"Kavu Glider",Apocalypse,0.16,0.00
"Kavu Howler",Apocalypse,0.23,0.01
"Kavu Mauler",Apocalypse,0.38,0.08
"Last Caress",Apocalypse,0.16,0.00
"Last Stand",Apocalypse,0.43,0.08
"Lay of the Land",Apocalypse,0.18,0.00
"Legacy Weapon",Apocalypse,2.49,0.25
"Life // Death",Apocalypse,0.63,0.01
"Lightning Angel",Apocalypse,0.75,0.08
"Living Airship",Apocalypse,0.17,0.00
"Llanowar Dead",Apocalypse,0.19,0.00
"Llanowar Wastes",Apocalypse,4.14,1.66
"Manacles of Decay",Apocalypse,0.16,0.00
"Martyrs' Tomb",Apocalypse,0.24,0.01
"Mask of Intolerance",Apocalypse,0.33,0.08
"Mind Extraction",Apocalypse,0.18,0.00
"Minotaur Illusionist",Apocalypse,0.24,0.01
"Minotaur Tactician",Apocalypse,0.16,0.00
"Mournful Zombie",Apocalypse,0.17,0.00
"Mystic Snake",Apocalypse,0.94,0.08
"Necra Disciple",Apocalypse,0.18,0.00
"Necra Sanctuary",Apocalypse,0.24,0.01
Necravolver,Apocalypse,0.39,0.08
"Night // Day",Apocalypse,0.24,0.01
"Order // Chaos",Apocalypse,0.24,0.01
"Orim's Thunder",Apocalypse,0.23,0.00
