"Product Name",Category,"Sell Price","Buy Price"
"Abu Ja'far","Arabian Nights",19.03,8.56
Aladdin,"Arabian Nights",55.75,30.66
"Aladdin's Lamp","Arabian Nights",31.10,15.55
"Aladdin's Ring","Arabian Nights",29.20,14.60
"Ali Baba","Arabian Nights",12.34,5.55
"Ali from Cairo","Arabian Nights",237.49,142.49
"Army of Allah","Arabian Nights",7.59,3.04
"Army of Allah [Version 2]","Arabian Nights",8.64,3.46
"Bazaar of Baghdad","Arabian Nights","1,804.98",0.01
"Bird Maiden","Arabian Nights",3.24,1.30
"Bird Maiden [Version 2]","Arabian Nights",3.12,1.25
"Bottle of Suleiman","Arabian Nights",24.83,11.17
"Brass Man","Arabian Nights",13.40,6.03
Camel,"Arabian Nights",2.96,0.25
"City in a Bottle","Arabian Nights",285.00,171.00
"City of Brass","Arabian Nights",345.22,207.13
"Cuombajj Witches","Arabian Nights",8.56,3.42
Cyclone,"Arabian Nights",14.69,6.61
"Dancing Scimitar","Arabian Nights",18.81,8.46
Dandan,"Arabian Nights",2.78,0.25
Desert,"Arabian Nights",7.06,2.82
"Desert Nomads","Arabian Nights",2.89,0.25
"Desert Twister","Arabian Nights",22.11,9.95
"Diamond Valley","Arabian Nights",380.00,228.00
"Drop of Honey","Arabian Nights",750.47,450.28
"Ebony Horse","Arabian Nights",20.88,9.40
"Elephant Graveyard","Arabian Nights",120.28,72.17
El-Hajjaj,"Arabian Nights",50.66,27.86
"Erg Raiders","Arabian Nights",3.30,1.32
"Erg Raiders [Version 2]","Arabian Nights",2.71,0.25
"Erhnam Djinn","Arabian Nights",237.40,142.44
"Eye for an Eye","Arabian Nights",11.35,5.11
"Fishliver Oil","Arabian Nights",2.55,0.25
"Fishliver Oil [Version 2]","Arabian Nights",4.75,1.90
"Flying Carpet","Arabian Nights",23.45,10.55
"Flying Men","Arabian Nights",9.32,3.73
"Ghazban Ogre","Arabian Nights",2.77,0.25
"Giant Tortoise","Arabian Nights",2.71,0.25
"Giant Tortoise [Version 2]","Arabian Nights",3.79,1.52
"Guardian Beast","Arabian Nights",499.68,299.81
"Hasran Ogress","Arabian Nights",2.93,0.25
"Hasran Ogress (Light)","Arabian Nights",2.22,0.25
"Hurr Jackal","Arabian Nights",1.90,0.00
"Ifh-B&#237;ff Efreet","Arabian Nights",121.41,72.85
"Island Fish Jasconius","Arabian Nights",18.95,8.53
"Island of Wak-Wak","Arabian Nights",227.95,136.77
"Jandor's Ring","Arabian Nights",20.19,9.09
"Jandor's Saddlebags","Arabian Nights",23.27,10.47
"Jeweled Bird","Arabian Nights",11.34,5.10
Jihad,"Arabian Nights",181.35,108.81
"Junun Efreet","Arabian Nights",45.32,22.66
"Juzam Djinn","Arabian Nights","2,086.15",0.08
"Khabal Ghoul","Arabian Nights",94.88,52.18
"King Suleiman","Arabian Nights",130.20,78.12
"Kird Ape","Arabian Nights",11.63,5.23
"Library of Alexandria","Arabian Nights","1,425.94",0.01
"Magnetic Mountain","Arabian Nights",8.45,3.38
"Merchant Ship","Arabian Nights",21.93,9.87
Metamorphosis,"Arabian Nights",2.54,0.25
"Mijae Djinn","Arabian Nights",28.67,14.34
"Moorish Cavalry","Arabian Nights",2.96,0.25
"Moorish Cavalry [Version 2]","Arabian Nights",3.30,1.32
"Mountain (Arabian Nights)","Arabian Nights",161.50,96.90
"Nafs Asp","Arabian Nights",3.06,1.22
"Nafs Asp (Light)","Arabian Nights",2.43,0.25
Oasis,"Arabian Nights",14.38,6.47
"Old Man of the Sea","Arabian Nights",333.43,200.06
Oubliette,"Arabian Nights",35.09,17.55
"Oubliette [Version 2]","Arabian Nights",35.14,17.57
Piety,"Arabian Nights",3.14,1.26
"Piety [Version 2]","Arabian Nights",4.25,1.70
Pyramids,"Arabian Nights",285.00,171.00
"Repentant Blacksmith","Arabian Nights",22.04,9.92
"Ring of Ma'ruf","Arabian Nights",76.00,41.80
"Rukh Egg","Arabian Nights",10.63,4.78
"Rukh Egg [Version 2]","Arabian Nights",16.70,7.52
"Sandals of Abdallah","Arabian Nights",18.44,8.30
Sandstorm,"Arabian Nights",3.05,1.22
"Serendib Djinn","Arabian Nights",142.49,85.49
"Serendib Efreet","Arabian Nights",550.95,330.57
Shahrazad,"Arabian Nights",269.78,161.87
Sindbad,"Arabian Nights",19.00,8.55
"Singing Tree","Arabian Nights",78.38,43.11
"Sorceress Queen","Arabian Nights",55.81,30.70
"Stone-Throwing Devils","Arabian Nights",12.54,5.64
"Stone-Throwing Devils [Version 2]","Arabian Nights",8.54,3.42
"Unstable Mutation","Arabian Nights",3.91,1.56
"War Elephant","Arabian Nights",2.38,0.25
"War Elephant [Version 2]","Arabian Nights",5.03,2.01
"Wyluli Wolf","Arabian Nights",2.55,0.25
"Wyluli Wolf [Version 2]","Arabian Nights",9.02,3.61
"Ydwen Efreet","Arabian Nights",87.35,48.04
