"Product Name",Category,"Sell Price","Buy Price"
"Adverse Conditions","Battle for Zendikar",0.23,0.08
"Akoum Firebird","Battle for Zendikar",0.53,0.08
"Akoum Hellkite","Battle for Zendikar",0.33,0.08
"Akoum Stonewaker","Battle for Zendikar",0.24,0.08
"Aligned Hedron Network","Battle for Zendikar",0.32,0.08
"Ally Encampment","Battle for Zendikar",0.46,0.08
"Altar's Reap","Battle for Zendikar",0.17,0.08
"Angel of Renewal","Battle for Zendikar",0.24,0.08
"Angelic Captain","Battle for Zendikar",0.32,0.08
"Angelic Gift","Battle for Zendikar",0.17,0.08
Anticipate,"Battle for Zendikar",0.18,0.08
"Bane of Bala Ged","Battle for Zendikar",0.52,0.08
"Barrage Tyrant","Battle for Zendikar",0.32,0.08
"Beastcaller Savant","Battle for Zendikar",0.46,0.08
"Belligerent Whiptail","Battle for Zendikar",0.16,0.08
"Benthic Infiltrator","Battle for Zendikar",0.17,0.08
"Blight Herder","Battle for Zendikar",0.33,0.08
"Blighted Cataract","Battle for Zendikar",0.24,0.08
"Blighted Fen","Battle for Zendikar",0.24,0.08
"Blighted Gorge","Battle for Zendikar",0.24,0.08
"Blighted Steppe","Battle for Zendikar",0.24,0.08
"Blighted Woodland","Battle for Zendikar",0.46,0.08
Blisterpod,"Battle for Zendikar",0.18,0.08
"Bloodbond Vampire","Battle for Zendikar",0.24,0.08
"Boiling Earth","Battle for Zendikar",0.16,0.08
"Bone Splinters","Battle for Zendikar",0.17,0.08
"Breaker of Armies","Battle for Zendikar",0.32,0.08
"Brilliant Spectrum","Battle for Zendikar",0.14,0.08
"Bring to Light","Battle for Zendikar",0.61,0.08
"Brood Butcher","Battle for Zendikar",0.29,0.08
"Brood Monitor","Battle for Zendikar",0.24,0.08
"Broodhunter Wurm","Battle for Zendikar",0.14,0.08
"Brutal Expulsion","Battle for Zendikar",0.31,0.08
"Call the Scions","Battle for Zendikar",0.16,0.08
"Canopy Vista","Battle for Zendikar",2.63,0.25
"Carrier Thrall","Battle for Zendikar",0.24,0.08
"Catacomb Sifter","Battle for Zendikar",0.23,0.08
"Chasm Guide","Battle for Zendikar",0.23,0.08
"Cinder Glade","Battle for Zendikar",3.66,1.46
"Cliffside Lookout","Battle for Zendikar",0.15,0.08
"Cloud Manta","Battle for Zendikar",0.14,0.08
"Clutch of Currents","Battle for Zendikar",0.15,0.08
"Coastal Discovery","Battle for Zendikar",0.24,0.08
"Complete Disregard","Battle for Zendikar",0.14,0.08
"Conduit of Ruin","Battle for Zendikar",1.43,0.08
"Coralhelm Guide","Battle for Zendikar",0.14,0.08
"Courier Griffin","Battle for Zendikar",0.15,0.08
"Crumble to Dust","Battle for Zendikar",0.24,0.08
"Cryptic Cruiser","Battle for Zendikar",0.23,0.08
"Culling Drone","Battle for Zendikar",0.15,0.08
"Dampening Pulse","Battle for Zendikar",0.23,0.08
"Deathless Behemoth","Battle for Zendikar",0.24,0.08
"Defiant Bloodlord","Battle for Zendikar",0.42,0.08
"Demon's Grasp","Battle for Zendikar",0.14,0.08
"Desolation Twin","Battle for Zendikar",0.65,0.08
Dispel,"Battle for Zendikar",0.24,0.08
"Dominator Drone","Battle for Zendikar",0.16,0.08
"Dragon Token","Battle for Zendikar",0.24,0.08
"Dragonmaster Outcast","Battle for Zendikar",3.11,1.24
"Drana, Liberator of Malakir","Battle for Zendikar",5.20,2.08
"Drana's Emissary","Battle for Zendikar",0.53,0.08
"Drowner of Hope","Battle for Zendikar",0.37,0.08
"Dust Stalker","Battle for Zendikar",0.32,0.08
"Dutiful Return","Battle for Zendikar",0.15,0.08
"Earthen Arms","Battle for Zendikar",0.15,0.08
"Eldrazi Devastator","Battle for Zendikar",0.22,0.08
"Eldrazi Scion Token (Izzy)","Battle for Zendikar",0.14,0.08
"Eldrazi Scion Token (Nelson)","Battle for Zendikar",0.16,0.08
"Eldrazi Scion Token (Velinov)","Battle for Zendikar",0.15,0.08
"Eldrazi Skyspawner","Battle for Zendikar",0.18,0.08
"Eldrazi Token","Battle for Zendikar",0.71,0.08
"Elemental Token (3/1)","Battle for Zendikar",0.19,0.08
"Elemental Token (5/5)","Battle for Zendikar",1.22,0.08
"Emblem - Gideon, Ally of Zendikar","Battle for Zendikar",0.33,0.08
"Emblem - Kiora, Master of the Depths","Battle for Zendikar",0.27,0.08
"Emblem - Ob Nixilis Reignited","Battle for Zendikar",0.25,0.08
"Emeria Shepherd","Battle for Zendikar",0.85,0.08
"Encircling Fissure","Battle for Zendikar",0.21,0.08
"Endless One","Battle for Zendikar",0.86,0.08
"Evolving Wilds","Battle for Zendikar",0.16,0.08
"Exert Influence","Battle for Zendikar",0.29,0.08
"Expedition Envoy","Battle for Zendikar",0.24,0.08
"Eyeless Watcher","Battle for Zendikar",0.17,0.08
