"Product Name",Category,"Sell Price","Buy Price"
"Acolyte's Reward","Born of the Gods",0.23,0.01
"Aerie Worshippers","Born of the Gods",0.23,0.01
"Akroan Conscriptor","Born of the Gods",0.24,0.01
"Akroan Phalanx","Born of the Gods",0.23,0.01
"Akroan Skyguard","Born of the Gods",0.22,0.00
"Arbiter of the Ideal","Born of the Gods",0.34,0.08
"Archetype of Aggression","Born of the Gods",0.50,0.01
"Archetype of Courage","Born of the Gods",0.85,0.01
"Archetype of Endurance","Born of the Gods",2.38,0.25
"Archetype of Finality","Born of the Gods",0.38,0.01
"Archetype of Imagination","Born of the Gods",0.33,0.01
"Ashiok's Adept","Born of the Gods",0.23,0.01
"Aspect of Hydra","Born of the Gods",0.22,0.00
Asphyxiate,"Born of the Gods",0.24,0.00
"Astral Cornucopia","Born of the Gods",2.25,0.25
"Bile Blight","Born of the Gods",0.24,0.01
"Bird Token (Blue)","Born of the Gods",0.24,0.00
"Bird Token (White)","Born of the Gods",0.24,0.00
"Black Oak of Odunos","Born of the Gods",0.23,0.01
"Bolt of Keranos","Born of the Gods",0.24,0.00
"Brimaz, King of Oreskos","Born of the Gods",8.57,3.43
"Cat Soldier Token","Born of the Gods",0.95,0.00
"Centaur Token","Born of the Gods",0.22,0.00
"Champion of Stray Souls","Born of the Gods",0.65,0.25
"Charging Badger","Born of the Gods",0.24,0.00
"Chorus of the Tides","Born of the Gods",0.24,0.00
Chromanticore,"Born of the Gods",1.10,0.25
"Claim of Erebos","Born of the Gods",0.24,0.00
"Courser of Kruphix","Born of the Gods",3.38,1.35
Crypsis,"Born of the Gods",0.24,0.00
"Culling Mark","Born of the Gods",0.24,0.00
"Cyclops of One-Eyed Pass","Born of the Gods",0.24,0.00
"Dawn to Dusk","Born of the Gods",0.23,0.01
"Deepwater Hypnotist","Born of the Gods",0.24,0.00
Divination,"Born of the Gods",0.24,0.00
"Drown in Sorrow","Born of the Gods",0.29,0.01
"Eater of Hope","Born of the Gods",0.33,0.08
"Eidolon of Countless Battles","Born of the Gods",0.86,0.08
"Elemental Token","Born of the Gods",0.24,0.00
"Elite Skirmisher","Born of the Gods",0.24,0.00
"Emblem - Kiora, the Crashing Wave","Born of the Gods",5.83,2.33
"Ephara, God of the Polis","Born of the Gods",2.71,0.25
"Ephara's Enlightenment","Born of the Gods",0.24,0.01
"Ephara's Radiance","Born of the Gods",0.24,0.00
"Epiphany Storm","Born of the Gods",0.24,0.00
"Eternity Snare","Born of the Gods",0.23,0.01
"Evanescent Intellect","Born of the Gods",0.24,0.00
"Everflame Eidolon","Born of the Gods",0.24,0.01
Excoriate,"Born of the Gods",0.24,0.00
"Eye Gouge","Born of the Gods",0.24,0.00
"Fall of the Hammer","Born of the Gods",0.24,0.00
"Fanatic of Xenagos","Born of the Gods",0.23,0.01
"Fate Unraveler","Born of the Gods",0.48,0.08
"Fated Conflagration","Born of the Gods",0.31,0.08
"Fated Infatuation","Born of the Gods",0.42,0.08
"Fated Intervention","Born of the Gods",0.32,0.08
"Fated Retribution","Born of the Gods",0.35,0.08
"Fated Return","Born of the Gods",0.29,0.08
"Fearsome Temper","Born of the Gods",0.24,0.00
"Felhide Brawler","Born of the Gods",0.24,0.00
"Felhide Spiritbinder","Born of the Gods",0.33,0.08
"Flame-Wreathed Phoenix","Born of the Gods",0.62,0.25
"Flitterstep Eidolon","Born of the Gods",0.24,0.01
"Floodtide Serpent","Born of the Gods",0.24,0.00
"Forgestoker Dragon","Born of the Gods",0.32,0.08
"Forlorn Pseudamma","Born of the Gods",0.23,0.01
"Forsaken Drifters","Born of the Gods",0.24,0.00
"Ghostblade Eidolon","Born of the Gods",0.24,0.01
Gild,"Born of the Gods",0.33,0.08
"Glimpse the Sun God","Born of the Gods",0.23,0.01
"God-Favored General","Born of the Gods",0.24,0.01
"Gold Token","Born of the Gods",0.41,0.00
"Gorgon's Head","Born of the Gods",0.29,0.01
"Graverobber Spider","Born of the Gods",0.24,0.01
"Great Hart","Born of the Gods",0.24,0.00
"Griffin Dreamfinder","Born of the Gods",0.24,0.00
"Grisly Transformation","Born of the Gods",0.24,0.00
"Herald of Torment","Born of the Gods",0.35,0.08
"Hero of Iroas","Born of the Gods",0.48,0.08
"Hero of Leina Tower","Born of the Gods",0.31,0.08
"Heroes' Podium","Born of the Gods",0.34,0.08
"Hold at Bay","Born of the Gods",0.24,0.00
"Hunter's Prowess","Born of the Gods",0.33,0.08
"Impetuous Sunchaser","Born of the Gods",0.24,0.00
"Karametra, God of Harvests","Born of the Gods",6.75,2.70
"Karametra's Favor","Born of the Gods",0.24,0.00
"Kiora, the Crashing Wave","Born of the Gods",3.32,1.33
"Kiora's Follower","Born of the Gods",0.25,0.01
"Kragma Butcher","Born of the Gods",0.24,0.00
"Kraken of the Straits","Born of the Gods",0.24,0.01
"Kraken Token","Born of the Gods",1.45,0.00
"Lightning Volley","Born of the Gods",0.23,0.01
"Loyal Pegasus","Born of the Gods",0.24,0.00
"Marshmist Titan","Born of the Gods",0.24,0.00
"Meletis Astronomer","Born of the Gods",0.24,0.01
Mindreaver,"Born of the Gods",0.33,0.08
"Mischief and Mayhem","Born of the Gods",0.23,0.01
"Mogis, God of Slaughter","Born of the Gods",7.38,2.95
"Mortal's Ardor","Born of the Gods",0.24,0.00
"Mortal's Resolve","Born of the Gods",0.24,0.00
Necrobite,"Born of the Gods",0.24,0.00
"Nessian Demolok","Born of the Gods",0.23,0.01
"Nessian Wilds Ravager","Born of the Gods",0.33,0.08
"Noble Quarry","Born of the Gods",0.23,0.01
Nullify,"Born of the Gods",0.24,0.00
"Nyxborn Eidolon","Born of the Gods",0.24,0.00
"Nyxborn Rollicker","Born of the Gods",0.24,0.00
"Nyxborn Shieldmate","Born of the Gods",0.24,0.00
"Nyxborn Triton","Born of the Gods",0.24,0.00
"Nyxborn Wolf","Born of the Gods",0.24,0.00
"Odunos River Trawler","Born of the Gods",0.23,0.01
"Oracle of Bones","Born of the Gods",0.29,0.08
"Oracle's Insight","Born of the Gods",0.24,0.01
"Oreskos Sun Guide","Born of the Gods",0.24,0.00
Ornitharch,"Born of the Gods",0.23,0.01
"Pain Seer","Born of the Gods",0.33,0.08
Peregrination,"Born of the Gods",0.24,0.01
"Perplexing Chimera","Born of the Gods",1.26,0.08
"Pharagax Giant","Born of the Gods",0.24,0.00
"Phenax, God of Deception","Born of the Gods",8.93,3.57
"Pheres-Band Raiders","Born of the Gods",0.23,0.01
"Pheres-Band Tromper","Born of the Gods",0.24,0.00
"Pillar of War","Born of the Gods",0.23,0.01
"Pinnacle of Rage","Born of the Gods",0.22,0.01
"Plea for Guidance","Born of the Gods",0.53,0.08
Ragemonger,"Born of the Gods",0.25,0.01
"Raised by Wolves","Born of the Gods",0.25,0.01
"Reap What Is Sown","Born of the Gods",0.24,0.01
"Reckless Reveler","Born of the Gods",0.24,0.00
"Retraction Helix","Born of the Gods",0.24,0.00
"Revoke Existence","Born of the Gods",0.24,0.00
"Rise to the Challenge","Born of the Gods",0.24,0.00
Sanguimancy,"Born of the Gods",0.24,0.01
"Satyr Firedancer","Born of the Gods",0.48,0.08
"Satyr Nyx-Smith","Born of the Gods",0.23,0.01
"Satyr Wayfinder","Born of the Gods",0.24,0.00
"Scourge of Skola Vale","Born of the Gods",0.37,0.08
"Scouring Sands","Born of the Gods",0.24,0.00
"Searing Blood","Born of the Gods",0.65,0.01
"Servant of Tymaret","Born of the Gods",0.24,0.00
"Setessan Oathsworn","Born of the Gods",0.24,0.00
"Setessan Starbreaker","Born of the Gods",0.24,0.00
"Shrike Harpy","Born of the Gods",0.23,0.01
"Silent Sentinel","Born of the Gods",0.33,0.08
"Siren of the Fanged Coast","Born of the Gods",0.24,0.01
"Siren of the Silent Song","Born of the Gods",0.29,0.01
"Siren Song Lyre","Born of the Gods",0.24,0.01
Skyreaping,"Born of the Gods",0.23,0.01
"Snake of the Golden Grove","Born of the Gods",0.24,0.00
"Soldier Token","Born of the Gods",0.22,0.00
"Sphinx's Disciple","Born of the Gods",0.24,0.00
"Spirit of the Labyrinth","Born of the Gods",0.71,0.08
"Spiteful Returned","Born of the Gods",0.23,0.01
"Springleaf Drum","Born of the Gods",0.93,0.01
"Stormcaller of Keranos","Born of the Gods",0.23,0.01
"Stratus Walk","Born of the Gods",0.24,0.00
"Sudden Storm","Born of the Gods",0.24,0.00
Sunbond,"Born of the Gods",0.62,0.01
"Swordwise Centaur","Born of the Gods",0.24,0.00
"Temple of Enlightenment","Born of the Gods",3.96,1.58
"Temple of Malice","Born of the Gods",4.14,1.66
"Temple of Plenty","Born of the Gods",2.65,0.25
"Thassa's Rebuff","Born of the Gods",0.24,0.01
"Thunder Brute","Born of the Gods",0.23,0.01
"Thunderous Might","Born of the Gods",0.23,0.01
Tromokratis,"Born of the Gods",0.43,0.08
"Unravel the Aether","Born of the Gods",0.24,0.01
"Vanguard of Brimaz","Born of the Gods",0.29,0.01
"Vortex Elemental","Born of the Gods",0.24,0.01
"Warchanter of Mogis","Born of the Gods",0.24,0.00
"Weight of the Underworld","Born of the Gods",0.24,0.00
"Whelming Wave","Born of the Gods",0.48,0.08
"Whims of the Fates","Born of the Gods",0.35,0.08
"Wolf Token","Born of the Gods",0.22,0.00
"Xenagos, God of Revels","Born of the Gods",15.20,6.84
"Zombie Token","Born of the Gods",0.23,0.00
"Acolyte's Reward - Foil","Born of the Gods",0.24,0.01
"God-Favored General - Foil","Born of the Gods",0.24,0.01
"Nullify - Foil","Born of the Gods",0.24,0.00
"Peregrination - Foil","Born of the Gods",0.24,0.01
"Sanguimancy - Foil","Born of the Gods",0.24,0.01
"Ragemonger - Foil","Born of the Gods",0.52,0.01
"Setessan Starbreaker - Foil","Born of the Gods",0.24,0.00
"Swordwise Centaur - Foil","Born of the Gods",0.24,0.00
"Griffin Dreamfinder - Foil","Born of the Gods",0.24,0.00
"Silent Sentinel - Foil","Born of the Gods",0.24,0.08
"Asphyxiate - Foil","Born of the Gods",0.24,0.00
"Satyr Firedancer - Foil","Born of the Gods",0.51,0.08
"Kragma Butcher - Foil","Born of the Gods",0.24,0.00
"Nyxborn Eidolon - Foil","Born of the Gods",0.24,0.00
"Culling Mark - Foil","Born of the Gods",0.24,0.00
"Siren Song Lyre - Foil","Born of the Gods",0.24,0.01
"Fated Return - Foil","Born of the Gods",0.38,0.08
"Sudden Storm - Foil","Born of the Gods",0.24,0.00
"Floodtide Serpent - Foil","Born of the Gods",0.24,0.00
"Heroes' Podium - Foil","Born of the Gods",0.45,0.08
"Oreskos Sun Guide - Foil","Born of the Gods",0.24,0.00
"Felhide Spiritbinder - Foil","Born of the Gods",0.24,0.08
"Meletis Astronomer - Foil","Born of the Gods",0.24,0.01
"Akroan Conscriptor - Foil","Born of the Gods",0.39,0.01
"Stratus Walk - Foil","Born of the Gods",0.24,0.00
"Satyr Wayfinder - Foil","Born of the Gods",0.24,0.00
"Spiteful Returned - Foil","Born of the Gods",0.28,0.01
"Springleaf Drum - Foil","Born of the Gods",3.80,1.60
"Forsaken Drifters - Foil","Born of the Gods",0.24,0.00
"Tromokratis - Foil","Born of the Gods",0.31,0.08
"Charging Badger - Foil","Born of the Gods",0.24,0.00
"Nyxborn Triton - Foil","Born of the Gods",0.24,0.00
"Sunbond - Foil","Born of the Gods",0.84,0.01
"Nyxborn Wolf - Foil","Born of the Gods",0.24,0.00
"Deepwater Hypnotist - Foil","Born of the Gods",0.24,0.00
"Perplexing Chimera - Foil","Born of the Gods",2.27,0.25
"Epiphany Storm - Foil","Born of the Gods",0.24,0.00
"Fated Conflagration - Foil","Born of the Gods",0.24,0.08
"Noble Quarry - Foil","Born of the Gods",0.24,0.01
"Flitterstep Eidolon - Foil","Born of the Gods",0.24,0.01
"Fated Intervention - Foil","Born of the Gods",0.24,0.08
"Scouring Sands - Foil","Born of the Gods",0.24,0.00
"Everflame Eidolon - Foil","Born of the Gods",0.24,0.01
"Nyxborn Rollicker - Foil","Born of the Gods",0.24,0.00
"Pharagax Giant - Foil","Born of the Gods",0.24,0.00
"Excoriate  - Foil","Born of the Gods",0.24,0.00
"Mindreaver - Foil","Born of the Gods",0.24,0.08
"Karametra's Favor - Foil","Born of the Gods",0.24,0.00
"Spirit of the Labyrinth - Foil","Born of the Gods",2.38,0.25
"Thassa's Rebuff - Foil","Born of the Gods",0.24,0.01
"Temple of Plenty - Foil","Born of the Gods",2.93,1.23
"Ashiok's Adept - Foil","Born of the Gods",0.24,0.01
"Oracle of Bones - Foil","Born of the Gods",0.24,0.08
"Dawn to Dusk - Foil","Born of the Gods",0.24,0.01
"Fanatic of Xenagos - Foil","Born of the Gods",0.24,0.01
"Hunter's Prowess - Foil","Born of the Gods",0.24,0.08
"Archetype of Aggression - Foil","Born of the Gods",2.00,0.25
"Oracle's Insight - Foil","Born of the Gods",0.24,0.01
"Stormcaller of Keranos - Foil","Born of the Gods",0.24,0.01
"Pheres-Band Raiders - Foil","Born of the Gods",0.24,0.01
"Impetuous Sunchaser - Foil","Born of the Gods",0.24,0.00
"Fearsome Temper - Foil","Born of the Gods",0.24,0.00
"Evanescent Intellect - Foil","Born of the Gods",0.24,0.00
"Reckless Reveler - Foil","Born of the Gods",0.24,0.00
"Ghostblade Eidolon - Foil","Born of the Gods",0.25,0.01
"Bile Blight - Foil","Born of the Gods",0.25,0.01
"Pheres-Band Tromper - Foil","Born of the Gods",0.24,0.00
"Crypsis - Foil","Born of the Gods",0.24,0.00
"Retraction Helix - Foil","Born of the Gods",0.24,0.00
"Fated Retribution - Foil","Born of the Gods",0.39,0.08
"Graverobber Spider - Foil","Born of the Gods",0.24,0.01
"Whelming Wave - Foil","Born of the Gods",0.75,0.08
"Astral Cornucopia - Foil","Born of the Gods",3.09,1.30
