"Product Name",Category,"Sell Price","Buy Price"
"Akki Avalanchers","Champions of Kamigawa",0.24,0.00
"Akki Coalflinger","Champions of Kamigawa",0.24,0.01
"Akki Lavarunner","Champions of Kamigawa",0.47,0.08
"Akki Rockspeaker","Champions of Kamigawa",0.24,0.00
"Akki Underminer","Champions of Kamigawa",0.24,0.01
"Ashen-Skin Zubera","Champions of Kamigawa",0.24,0.00
"Aura of Dominion","Champions of Kamigawa",0.26,0.01
"Azami, Lady of Scrolls","Champions of Kamigawa",0.97,0.08
"Azusa, Lost but Seeking","Champions of Kamigawa",38.00,19.00
"Battle-Mad Ronin","Champions of Kamigawa",0.24,0.00
Befoul,"Champions of Kamigawa",0.24,0.00
"Ben-Ben, Akki Hermit","Champions of Kamigawa",0.48,0.08
"Blessed Breath","Champions of Kamigawa",0.22,0.00
"Blind with Anger","Champions of Kamigawa",0.24,0.01
"Blood Rites","Champions of Kamigawa",0.24,0.01
"Blood Speaker","Champions of Kamigawa",1.52,0.01
"Bloodthirsty Ogre","Champions of Kamigawa",0.24,0.01
"Boseiju, Who Shelters All","Champions of Kamigawa",18.76,8.44
"Brothers Yamazaki (160a Sword)","Champions of Kamigawa",0.30,0.01
"Brothers Yamazaki (160b Pike)","Champions of Kamigawa",0.26,0.01
"Brutal Deceiver","Champions of Kamigawa",0.24,0.00
"Budoka Gardener // Dokai, Weaver of Life","Champions of Kamigawa",2.42,0.25
"Burr Grafter","Champions of Kamigawa",0.24,0.00
"Bushi Tenderfoot","Champions of Kamigawa",0.37,0.01
"Cage of Hands","Champions of Kamigawa",0.24,0.00
"Call to Glory","Champions of Kamigawa",0.21,0.00
"Callous Deceiver","Champions of Kamigawa",0.24,0.00
"Candles' Glow","Champions of Kamigawa",0.24,0.01
Cleanfall,"Champions of Kamigawa",0.24,0.01
"Cloudcrest Lake","Champions of Kamigawa",0.24,0.01
"Commune with Nature","Champions of Kamigawa",0.24,0.00
"Consuming Vortex","Champions of Kamigawa",0.24,0.00
"Counsel of the Soratami","Champions of Kamigawa",0.24,0.00
"Cranial Extraction","Champions of Kamigawa",0.88,0.08
"Cruel Deceiver","Champions of Kamigawa",0.24,0.00
"Crushing Pain","Champions of Kamigawa",0.24,0.00
"Cursed Ronin","Champions of Kamigawa",0.24,0.00
"Cut the Tethers","Champions of Kamigawa",0.23,0.01
"Dampen Thought","Champions of Kamigawa",0.24,0.01
"Dance of Shadows","Champions of Kamigawa",0.22,0.01
"Deathcurse Ogre","Champions of Kamigawa",0.24,0.00
"Desperate Ritual","Champions of Kamigawa",1.34,0.00
"Devoted Retainer","Champions of Kamigawa",0.24,0.00
"Devouring Greed","Champions of Kamigawa",0.24,0.00
"Devouring Rage","Champions of Kamigawa",0.24,0.00
Distress,"Champions of Kamigawa",0.24,0.00
"Dosan the Falling Leaf","Champions of Kamigawa",5.46,2.18
"Dripping-Tongue Zubera","Champions of Kamigawa",0.22,0.00
Earthshaker,"Champions of Kamigawa",0.24,0.01
"Eerie Procession","Champions of Kamigawa",0.24,0.01
"Eiganjo Castle","Champions of Kamigawa",9.50,3.80
Eight-and-a-Half-Tails,"Champions of Kamigawa",1.85,0.08
"Ember-Fist Zubera","Champions of Kamigawa",0.21,0.00
"Ethereal Haze","Champions of Kamigawa",0.57,0.00
"Eye of Nowhere","Champions of Kamigawa",0.34,0.00
"Feast of Worms","Champions of Kamigawa",0.22,0.01
"Feral Deceiver","Champions of Kamigawa",0.24,0.00
"Field of Reality","Champions of Kamigawa",0.24,0.00
"Floating-Dream Zubera","Champions of Kamigawa",0.24,0.00
"Forbidden Orchard","Champions of Kamigawa",13.25,5.96
"Forest (303)","Champions of Kamigawa",0.21,0.00
"Forest (304)","Champions of Kamigawa",0.36,0.00
"Forest (305)","Champions of Kamigawa",0.22,0.00
"Forest (306)","Champions of Kamigawa",0.22,0.00
Frostwielder,"Champions of Kamigawa",0.24,0.00
"Gale Force","Champions of Kamigawa",0.23,0.01
"General's Kabuto","Champions of Kamigawa",3.63,1.45
"Ghostly Prison","Champions of Kamigawa",5.69,2.28
"Gibbering Kami","Champions of Kamigawa",0.24,0.00
"Gifts Ungiven","Champions of Kamigawa",3.75,1.50
"Glacial Ray","Champions of Kamigawa",0.24,0.00
"Glimpse of Nature","Champions of Kamigawa",14.17,6.38
"Godo, Bandit Warlord","Champions of Kamigawa",2.93,0.25
"Graceful Adept","Champions of Kamigawa",0.72,0.01
"Guardian of Solitude","Champions of Kamigawa",0.23,0.01
"Gutwrencher Oni","Champions of Kamigawa",0.23,0.01
"Hair-Strung Koto","Champions of Kamigawa",0.42,0.08
"Hall of the Bandit Lord","Champions of Kamigawa",18.05,8.12
"Hana Kami","Champions of Kamigawa",0.22,0.01
"Hanabi Blast","Champions of Kamigawa",0.22,0.01
Hankyu,"Champions of Kamigawa",0.22,0.01
"Harsh Deceiver","Champions of Kamigawa",0.24,0.00
"He Who Hungers","Champions of Kamigawa",0.48,0.08
"Heartbeat of Spring","Champions of Kamigawa",6.64,2.66
"Hearth Kami","Champions of Kamigawa",0.24,0.00
"Hideous Laughter","Champions of Kamigawa",0.23,0.01
"Hikari, Twilight Guardian","Champions of Kamigawa",0.38,0.08
Hinder,"Champions of Kamigawa",1.22,0.01
"Hisoka, Minamo Sensei","Champions of Kamigawa",0.45,0.08
"Hisoka's Defiance","Champions of Kamigawa",0.24,0.00
"Hisoka's Guard","Champions of Kamigawa",0.24,0.00
"Hold the Line","Champions of Kamigawa",0.47,0.08
"Honden of Cleansing Fire","Champions of Kamigawa",0.28,0.01
"Honden of Infinite Rage","Champions of Kamigawa",0.25,0.01
"Honden of Life's Web","Champions of Kamigawa",0.23,0.01
"Honden of Night's Reach","Champions of Kamigawa",0.24,0.01
"Honden of Seeing Winds","Champions of Kamigawa",0.37,0.01
"Honor-Worn Shaku","Champions of Kamigawa",1.40,0.01
"Horizon Seed","Champions of Kamigawa",0.22,0.01
"Horobi, Death's Wail","Champions of Kamigawa",1.05,0.08
"Humble Budoka","Champions of Kamigawa",0.24,0.00
"Hundred-Talon Kami","Champions of Kamigawa",0.24,0.00
