"Product Name",Category,"Sell Price","Buy Price"
"Adarkar Valkyrie",ColdSnap,1.03,0.10
"Adarkar Windform",ColdSnap,0.22,0.00
"Allosaurus Rider",ColdSnap,9.49,4.46
"Arctic Flats",ColdSnap,1.43,0.10
"Arctic Nishoba",ColdSnap,0.23,0.00
"Arcum Dagsson",ColdSnap,28.69,13.48
"Aurochs Herd",ColdSnap,0.17,0.00
"Balduvian Fallen",ColdSnap,0.21,0.00
"Balduvian Frostwaker",ColdSnap,0.22,0.00
"Balduvian Rage",ColdSnap,5.69,2.67
"Balduvian Warlord",ColdSnap,0.25,0.00
"Blizzard Specter",ColdSnap,0.47,0.00
"Boreal Centaur",ColdSnap,0.17,0.00
"Boreal Druid",ColdSnap,2.81,0.25
"Boreal Griffin",ColdSnap,0.14,0.00
"Boreal Shelf",ColdSnap,0.94,0.10
"Braid of Fire",ColdSnap,19.18,9.01
"Brooding Saurian",ColdSnap,0.46,0.00
"Bull Aurochs",ColdSnap,0.14,0.00
"Chill to the Bone",ColdSnap,0.14,0.00
"Chilling Shade",ColdSnap,0.14,0.00
"Coldsteel Heart",ColdSnap,4.26,2.00
Commandeer,ColdSnap,24.70,11.61
Controvert,ColdSnap,0.23,0.00
Counterbalance,ColdSnap,11.86,5.57
"Cover of Winter",ColdSnap,0.46,0.00
Cryoclasm,ColdSnap,0.24,0.00
"Darien, King of Kjeldor",ColdSnap,1.70,0.10
"Dark Depths",ColdSnap,33.62,15.80
Deathmark,ColdSnap,0.24,0.00
"Deepfire Elemental",ColdSnap,0.23,0.00
"Diamond Faerie",ColdSnap,0.40,0.00
"Disciple of Tevesh Szat",ColdSnap,0.14,0.00
Drelnoch,ColdSnap,0.15,0.00
"Earthen Goo",ColdSnap,0.22,0.00
"Feast of Flesh",ColdSnap,0.14,0.00
"Field Marshal",ColdSnap,5.12,2.41
Flashfreeze,ColdSnap,0.30,0.00
"Freyalise's Radiance",ColdSnap,0.24,0.00
"Frost Marsh",ColdSnap,1.54,0.10
"Frost Raptor",ColdSnap,0.15,0.00
"Frostweb Spider",ColdSnap,0.17,0.00
"Frozen Solid",ColdSnap,0.15,0.00
"Fury of the Horde",ColdSnap,3.50,1.65
"Garza Zol, Plague Queen",ColdSnap,0.70,0.10
"Garza's Assassin",ColdSnap,0.46,0.00
"Gelid Shackles",ColdSnap,0.17,0.00
"Glacial Plating",ColdSnap,0.24,0.00
"Goblin Furrier",ColdSnap,0.16,0.00
"Goblin Rimerunner",ColdSnap,0.16,0.00
