"Product Name",Category,"Sell Price","Buy Price"
"Chaos Warp","Commander's Arsenal",0.00,0.00
"Command Tower","Commander's Arsenal",0.00,0.00
"Decree of Pain","Commander's Arsenal",0.00,0.00
Desertion,"Commander's Arsenal",0.00,0.00
"Diaochan, Artful Beauty","Commander's Arsenal",0.00,0.00
"Dragonlair Spider","Commander's Arsenal",0.00,0.00
Duplicant,"Commander's Arsenal",0.00,0.00
"Edric, Spymaster of Trest","Commander's Arsenal",0.00,0.00
"Kaalia of the Vast","Commander's Arsenal",0.00,0.00
"Loyal Retainers","Commander's Arsenal",0.00,0.00
"Maelstrom Wanderer","Commander's Arsenal",0.00,0.00
"Mind's Eye","Commander's Arsenal",0.00,0.00
"Mirari's Wake","Commander's Arsenal",0.00,0.00
"Rhystic Study","Commander's Arsenal",0.00,0.00
"Scroll Rack","Commander's Arsenal",0.00,0.00
"Sylvan Library","Commander's Arsenal",0.00,0.00
"The Mimeoplasm","Commander's Arsenal",0.00,0.00
"Vela the Night-Clad","Commander's Arsenal",0.00,0.00
