"Product Name",Category,"Sell Price","Buy Price"
"Absorb Vis","Conspiracy: Take the Crown",0.16,0.00
"Adriana, Captain of the Guard","Conspiracy: Take the Crown",0.53,0.10
"Adriana's Valor","Conspiracy: Take the Crown",0.15,0.00
"Affa Guard Hound","Conspiracy: Take the Crown",0.22,0.00
"Akroan Hoplite","Conspiracy: Take the Crown",0.23,0.00
"Altar's Reap","Conspiracy: Take the Crown",0.16,0.00
"Animus of Predation","Conspiracy: Take the Crown",0.24,0.00
"Arcane Savant","Conspiracy: Take the Crown",0.43,0.00
"Archdemon of Paliano","Conspiracy: Take the Crown",0.42,0.00
"Ascended Lawmage","Conspiracy: Take the Crown",0.23,0.00
"Assassin Token","Conspiracy: Take the Crown",0.45,0.00
"Assemble the Rank and Vile","Conspiracy: Take the Crown",0.16,0.00
"Avatar of Woe","Conspiracy: Take the Crown",1.86,0.10
"Ballot Broker","Conspiracy: Take the Crown",0.17,0.00
"Beast Token","Conspiracy: Take the Crown",0.20,0.00
"Beast Within","Conspiracy: Take the Crown",1.58,0.10
Berserk,"Conspiracy: Take the Crown",13.06,6.14
Besmirch,"Conspiracy: Take the Crown",0.30,0.00
"Birds of Paradise","Conspiracy: Take the Crown",7.13,3.35
"Blood-Toll Harpy","Conspiracy: Take the Crown",0.14,0.00
"Bonds of Quicksilver","Conspiracy: Take the Crown",0.16,0.00
"Borderland Explorer","Conspiracy: Take the Crown",0.21,0.00
"Bronze Sable","Conspiracy: Take the Crown",0.15,0.00
Brushstrider,"Conspiracy: Take the Crown",0.21,0.00
Burgeoning,"Conspiracy: Take the Crown",9.50,4.47
"Burn Away","Conspiracy: Take the Crown",0.23,0.00
"Burning Wish","Conspiracy: Take the Crown",0.85,0.10
"Caller of Gales","Conspiracy: Take the Crown",0.16,0.00
"Caller of the Untamed","Conspiracy: Take the Crown",0.38,0.00
"Canal Courier","Conspiracy: Take the Crown",0.17,0.00
"Capital Punishment","Conspiracy: Take the Crown",0.48,0.00
"Carnage Gladiator","Conspiracy: Take the Crown",0.24,0.00
"Charmbreaker Devils","Conspiracy: Take the Crown",0.46,0.00
"Child of Night","Conspiracy: Take the Crown",0.16,0.00
"Cloaked Siren","Conspiracy: Take the Crown",0.17,0.00
"Coiling Oracle","Conspiracy: Take the Crown",0.24,0.00
"Construct Token","Conspiracy: Take the Crown",0.19,0.00
"Coordinated Assault","Conspiracy: Take the Crown",0.24,0.00
"Copperhorn Scout","Conspiracy: Take the Crown",0.18,0.00
"Covenant of Minds","Conspiracy: Take the Crown",0.33,0.00
