"Product Name",Category,"Sell Price","Buy Price"
"Advent of the Wurm","Dragon's Maze",0.38,0.00
Aetherling,"Dragon's Maze",0.47,0.00
"Alive // Well","Dragon's Maze",0.23,0.00
"Armed // Dangerous","Dragon's Maze",0.21,0.00
"Armored Wolf-Rider","Dragon's Maze",0.15,0.00
"Ascended Lawmage","Dragon's Maze",0.23,0.00
"Awe for the Guilds","Dragon's Maze",0.14,0.00
"Azorius Cluestone","Dragon's Maze",0.17,0.00
"Azorius Guildgate","Dragon's Maze",0.19,0.00
"Bane Alley Blackguard","Dragon's Maze",0.14,0.00
"Battering Krasis","Dragon's Maze",0.15,0.00
"Beck // Call","Dragon's Maze",0.47,0.00
"Beetleform Mage","Dragon's Maze",0.15,0.00
"Blast of Genius","Dragon's Maze",0.23,0.00
"Blaze Commando","Dragon's Maze",0.24,0.00
"Blood Baron of Vizkopa","Dragon's Maze",0.87,0.10
"Blood Scrivener","Dragon's Maze",0.42,0.00
"Boros Battleshaper","Dragon's Maze",0.29,0.00
"Boros Cluestone","Dragon's Maze",0.18,0.00
"Boros Guildgate","Dragon's Maze",0.21,0.00
"Boros Mastiff","Dragon's Maze",0.15,0.00
"Breaking // Entering","Dragon's Maze",0.48,0.00
"Bred for the Hunt","Dragon's Maze",0.24,0.00
"Bronzebeak Moa","Dragon's Maze",0.24,0.00
"Carnage Gladiator","Dragon's Maze",0.23,0.00
"Catch // Release","Dragon's Maze",0.33,0.00
"Clear a Path","Dragon's Maze",0.14,0.00
"Council of the Absolute","Dragon's Maze",0.62,0.10
"Crypt Incursion","Dragon's Maze",0.29,0.00
"Deadbridge Chant","Dragon's Maze",1.90,0.10
"Debt to the Deathless","Dragon's Maze",0.63,0.10
"Deputy of Acquittals","Dragon's Maze",0.16,0.00
"Dimir Cluestone","Dragon's Maze",0.17,0.00
"Dimir Guildgate","Dragon's Maze",0.19,0.00
"Down // Dirty","Dragon's Maze",0.19,0.00
Dragonshift,"Dragon's Maze",0.35,0.00
"Drown in Filth","Dragon's Maze",0.15,0.00
"Elemental Token","Dragon's Maze",1.88,0.10
"Emmara Tandris","Dragon's Maze",0.57,0.10
"Exava, Rakdos Blood Witch","Dragon's Maze",0.41,0.00
"Far // Away","Dragon's Maze",0.24,0.00
"Fatal Fumes","Dragon's Maze",0.14,0.00
"Feral Animist","Dragon's Maze",0.23,0.00
"Flesh // Blood","Dragon's Maze",0.35,0.00
Fluxcharger,"Dragon's Maze",0.22,0.00
"Gaze of Granite","Dragon's Maze",0.39,0.00
"Give // Take","Dragon's Maze",0.24,0.00
"Gleam of Battle","Dragon's Maze",0.24,0.00
"Goblin Test Pilot","Dragon's Maze",0.22,0.00
"Golgari Cluestone","Dragon's Maze",0.16,0.00
"Golgari Guildgate","Dragon's Maze",0.20,0.00
"Gruul Cluestone","Dragon's Maze",0.17,0.00
"Gruul Guildgate","Dragon's Maze",0.19,0.00
"Gruul War Chant","Dragon's Maze",0.24,0.00
"Haazda Snare Squad","Dragon's Maze",0.14,0.00
"Haunter of Nightveil","Dragon's Maze",0.23,0.00
"Hidden Strings","Dragon's Maze",0.21,0.00
"Hired Torturer","Dragon's Maze",0.15,0.00
"Izzet Cluestone","Dragon's Maze",0.17,0.00
"Izzet Guildgate","Dragon's Maze",0.19,0.00
"Jelenn Sphinx","Dragon's Maze",0.23,0.00
"Korozda Gorgon","Dragon's Maze",0.23,0.00
"Krasis Incubation","Dragon's Maze",0.23,0.00
"Kraul Warrior","Dragon's Maze",0.14,0.00
"Lavinia of the Tenth","Dragon's Maze",0.43,0.00
"Legion's Initiative","Dragon's Maze",2.02,0.25
"Lyev Decree","Dragon's Maze",0.15,0.00
"Master of Cruelties","Dragon's Maze",5.38,2.53
"Maw of the Obzedat","Dragon's Maze",0.21,0.00
"Maze Abomination","Dragon's Maze",0.14,0.00
"Maze Behemoth","Dragon's Maze",0.15,0.00
"Maze Glider","Dragon's Maze",0.14,0.00
"Maze Rusher","Dragon's Maze",0.16,0.00
"Maze Sentinel","Dragon's Maze",0.15,0.00
"Maze's End","Dragon's Maze",1.34,0.10
"Melek, Izzet Paragon","Dragon's Maze",0.59,0.10
"Mending Touch","Dragon's Maze",0.14,0.00
Mindstatic,"Dragon's Maze",0.14,0.00
"Mirko Vosk, Mind Drinker","Dragon's Maze",0.90,0.10
"Morgue Burst","Dragon's Maze",0.15,0.00
"Murmuring Phantasm","Dragon's Maze",0.19,0.00
"Mutant's Prey","Dragon's Maze",0.17,0.00
"Nivix Cyclops","Dragon's Maze",0.18,0.00
"Notion Thief","Dragon's Maze",1.10,0.10
"Obzedat's Aid","Dragon's Maze",0.38,0.00
"Opal Lake Gatekeepers","Dragon's Maze",0.15,0.00
"Orzhov Cluestone","Dragon's Maze",0.17,0.00
"Orzhov Guildgate","Dragon's Maze",0.19,0.00
Phytoburst,"Dragon's Maze",0.19,0.00
"Pilfered Plans","Dragon's Maze",0.16,0.00
"Plasm Capture","Dragon's Maze",0.48,0.00
"Pontiff of Blight","Dragon's Maze",0.44,0.00
"Possibility Storm","Dragon's Maze",0.71,0.10
"Profit // Loss","Dragon's Maze",0.22,0.00
"Progenitor Mimic","Dragon's Maze",2.40,0.25
"Protect // Serve","Dragon's Maze",0.21,0.00
"Punish the Enemy","Dragon's Maze",0.15,0.00
Putrefy,"Dragon's Maze",0.28,0.00
"Pyrewild Shaman","Dragon's Maze",0.34,0.00
"Rakdos Cluestone","Dragon's Maze",0.17,0.00
"Rakdos Drake","Dragon's Maze",0.15,0.00
"Rakdos Guildgate","Dragon's Maze",0.19,0.00
"Ral Zarek","Dragon's Maze",6.45,3.03
"Ready // Willing","Dragon's Maze",0.35,0.00
"Reap Intellect","Dragon's Maze",0.61,0.10
"Render Silent","Dragon's Maze",1.32,0.10
"Renegade Krasis","Dragon's Maze",0.48,0.00
"Renounce the Guilds","Dragon's Maze",0.33,0.00
