"Product Name",Category,"Sell Price","Buy Price"
"Acid-Spewer Dragon","Dragons of Tarkir",0.24,0.00
"Aerie Bowmasters","Dragons of Tarkir",0.15,0.00
"Ainok Artillerist","Dragons of Tarkir",0.14,0.00
"Ainok Survivalist","Dragons of Tarkir",0.23,0.00
"Ambuscade Shaman","Dragons of Tarkir",0.22,0.00
"Anafenza, Kin-Tree Spirit","Dragons of Tarkir",0.90,0.10
"Ancestral Statue","Dragons of Tarkir",0.19,0.00
"Ancient Carp","Dragons of Tarkir",0.17,0.00
Anticipate,"Dragons of Tarkir",0.18,0.00
"Arashin Foremost","Dragons of Tarkir",0.47,0.00
"Arashin Sovereign","Dragons of Tarkir",0.32,0.00
"Artful Maneuver","Dragons of Tarkir",0.18,0.00
"Assault Formation","Dragons of Tarkir",0.84,0.10
"Atarka Beastbreaker","Dragons of Tarkir",0.14,0.00
"Atarka Efreet","Dragons of Tarkir",0.15,0.00
"Atarka Monument","Dragons of Tarkir",0.24,0.00
"Atarka Pummeler","Dragons of Tarkir",0.23,0.00
"Atarka's Command","Dragons of Tarkir",2.82,0.25
"Avatar of the Resolute","Dragons of Tarkir",1.79,0.10
"Aven Sunstriker","Dragons of Tarkir",0.24,0.00
"Aven Tactician","Dragons of Tarkir",0.14,0.00
"Battle Mastery","Dragons of Tarkir",0.24,0.00
"Belltoll Dragon","Dragons of Tarkir",0.24,0.00
"Berserkers' Onslaught","Dragons of Tarkir",0.71,0.10
"Blessed Reincarnation","Dragons of Tarkir",0.31,0.00
"Blood-Chin Fanatic","Dragons of Tarkir",0.34,0.00
"Blood-Chin Rager","Dragons of Tarkir",0.32,0.00
"Boltwing Marauder","Dragons of Tarkir",0.38,0.00
"Butcher's Glee","Dragons of Tarkir",0.15,0.00
"Center Soul","Dragons of Tarkir",0.18,0.00
"Champion of Arashin","Dragons of Tarkir",0.15,0.00
"Circle of Elders","Dragons of Tarkir",0.22,0.00
"Clone Legion","Dragons of Tarkir",1.17,0.10
"Coat with Venom","Dragons of Tarkir",0.15,0.00
"Collected Company","Dragons of Tarkir",13.59,6.39
"Colossodon Yearling","Dragons of Tarkir",0.14,0.00
"Commune with Lava","Dragons of Tarkir",0.40,0.00
"Conifer Strider","Dragons of Tarkir",0.19,0.00
Contradict,"Dragons of Tarkir",0.17,0.00
Corpseweft,"Dragons of Tarkir",0.32,0.00
"Crater Elemental","Dragons of Tarkir",0.32,0.00
"Cunning Breezedancer","Dragons of Tarkir",0.24,0.00
"Custodian of the Trove","Dragons of Tarkir",0.15,0.00
"Damnable Pact","Dragons of Tarkir",0.44,0.00
"Dance of the Skywise","Dragons of Tarkir",0.23,0.00
"Deadly Wanderings","Dragons of Tarkir",0.23,0.00
"Death Wind","Dragons of Tarkir",0.22,0.00
"Deathbringer Regent","Dragons of Tarkir",0.33,0.00
"Deathmist Raptor","Dragons of Tarkir",1.45,0.10
Defeat,"Dragons of Tarkir",0.14,0.00
"Den Protector","Dragons of Tarkir",0.85,0.10
"Descent of the Dragons","Dragons of Tarkir",2.32,0.25
"Dirgur Nemesis","Dragons of Tarkir",0.14,0.00
"Display of Dominance","Dragons of Tarkir",0.24,0.00
"Djinn Monk Token","Dragons of Tarkir",0.17,0.00
"Draconic Roar","Dragons of Tarkir",0.27,0.00
"Dragon Fodder","Dragons of Tarkir",0.18,0.00
"Dragon Hunter","Dragons of Tarkir",0.26,0.00
"Dragon Tempest","Dragons of Tarkir",0.90,0.10
"Dragon Token","Dragons of Tarkir",0.38,0.00
"Dragon Whisperer","Dragons of Tarkir",0.94,0.10
"Dragonloft Idol","Dragons of Tarkir",0.22,0.00
"Dragonlord Atarka","Dragons of Tarkir",6.12,2.88
"Dragonlord Dromoka","Dragons of Tarkir",13.30,6.25
"Dragonlord Kolaghan","Dragons of Tarkir",5.03,2.36
"Dragonlord Ojutai","Dragons of Tarkir",4.75,2.23
"Dragonlord Silumgar","Dragons of Tarkir",7.11,3.34
"Dragonlord's Prerogative","Dragons of Tarkir",0.38,0.00
"Dragonlord's Servant","Dragons of Tarkir",0.29,0.00
"Dragon's Eye Sentry","Dragons of Tarkir",0.17,0.00
"Dragon-Scarred Bear","Dragons of Tarkir",0.19,0.00
"Dromoka Captain","Dragons of Tarkir",0.24,0.00
"Dromoka Dunecaster","Dragons of Tarkir",0.15,0.00
"Dromoka Monument","Dragons of Tarkir",0.24,0.00
"Dromoka Warrior","Dragons of Tarkir",0.15,0.00
"Dromoka's Command","Dragons of Tarkir",1.14,0.10
"Dromoka's Gift","Dragons of Tarkir",0.22,0.00
Duress,"Dragons of Tarkir",0.19,0.00
"Dutiful Attendant","Dragons of Tarkir",0.18,0.00
"Echoes of the Kin Tree","Dragons of Tarkir",0.22,0.00
"Elusive Spellfist","Dragons of Tarkir",0.17,0.00
"Emblem - Narset Transcendent","Dragons of Tarkir",0.95,0.10
"Encase in Ice","Dragons of Tarkir",0.22,0.00
"Enduring Scalelord","Dragons of Tarkir",0.24,0.00
"Enduring Victory","Dragons of Tarkir",0.14,0.00
"Epic Confrontation","Dragons of Tarkir",0.18,0.00
"Evolving Wilds","Dragons of Tarkir",0.15,0.00
"Explosive Vegetation","Dragons of Tarkir",1.08,0.10
"Fate Forgotten","Dragons of Tarkir",0.16,0.00
Flatten,"Dragons of Tarkir",0.14,0.00
"Foe-Razer Regent","Dragons of Tarkir",0.39,0.00
"Forest (262)","Dragons of Tarkir",0.17,0.00
"Forest (263)","Dragons of Tarkir",0.19,0.00
"Forest (264)","Dragons of Tarkir",0.19,0.00
"Foul Renewal","Dragons of Tarkir",0.33,0.00
"Foul-Tongue Invocation","Dragons of Tarkir",0.24,0.00
"Foul-Tongue Shriek","Dragons of Tarkir",0.19,0.00
"Gate Smasher","Dragons of Tarkir",0.23,0.00
"Glade Watcher","Dragons of Tarkir",0.15,0.00
"Glaring Aegis","Dragons of Tarkir",0.16,0.00
"Gleam of Authority","Dragons of Tarkir",0.41,0.00
Glint,"Dragons of Tarkir",0.15,0.00
