"Product Name",Category,"Sell Price","Buy Price"
"Ageless Entity","Duel Decks: Ajani vs. Nicol Bolas",0.48,0.08
"Agonizing Demise","Duel Decks: Ajani vs. Nicol Bolas",0.18,0.08
"Ajani Vengeant","Duel Decks: Ajani vs. Nicol Bolas",-,-
"Ajani's Mantra","Duel Decks: Ajani vs. Nicol Bolas",0.37,0.08
"Ajani's Pridemate","Duel Decks: Ajani vs. Nicol Bolas",0.38,0.08
"Behemoth Sledge","Duel Decks: Ajani vs. Nicol Bolas",0.39,0.08
"Blazing Specter","Duel Decks: Ajani vs. Nicol Bolas",0.47,0.08
"Brackwater Elemental","Duel Decks: Ajani vs. Nicol Bolas",0.17,0.08
Briarhorn,"Duel Decks: Ajani vs. Nicol Bolas",0.23,0.08
"Canyon Wildcat","Duel Decks: Ajani vs. Nicol Bolas",0.14,0.08
Countersquall,"Duel Decks: Ajani vs. Nicol Bolas",1.98,0.08
"Cruel Ultimatum","Duel Decks: Ajani vs. Nicol Bolas",0.48,0.08
"Crumbling Necropolis","Duel Decks: Ajani vs. Nicol Bolas",0.48,0.08
"Deep Analysis","Duel Decks: Ajani vs. Nicol Bolas",0.37,0.08
"Dimir Cutpurse","Duel Decks: Ajani vs. Nicol Bolas",0.64,0.08
"Elder Mastery","Duel Decks: Ajani vs. Nicol Bolas",0.23,0.08
"Essence Warden","Duel Decks: Ajani vs. Nicol Bolas",2.00,0.08
"Evolving Wilds","Duel Decks: Ajani vs. Nicol Bolas",0.20,0.08
"Fire-Field Ogre","Duel Decks: Ajani vs. Nicol Bolas",0.23,0.08
"Firemane Angel","Duel Decks: Ajani vs. Nicol Bolas",0.48,0.08
"Fleetfoot Panther","Duel Decks: Ajani vs. Nicol Bolas",0.37,0.08
"Forest (38)","Duel Decks: Ajani vs. Nicol Bolas",0.18,0.08
"Forest (39)","Duel Decks: Ajani vs. Nicol Bolas",0.20,0.08
"Graypelt Refuge","Duel Decks: Ajani vs. Nicol Bolas",0.38,0.08
"Grazing Gladehart","Duel Decks: Ajani vs. Nicol Bolas",0.20,0.08
"Griffin Guide","Duel Decks: Ajani vs. Nicol Bolas",0.24,0.08
"Griffin Token","Duel Decks: Ajani vs. Nicol Bolas",0.29,0.08
"Grixis Charm","Duel Decks: Ajani vs. Nicol Bolas",0.24,0.08
"Hellfire Mongrel","Duel Decks: Ajani vs. Nicol Bolas",0.20,0.08
"Icy Manipulator","Duel Decks: Ajani vs. Nicol Bolas",0.29,0.08
"Igneous Pouncer","Duel Decks: Ajani vs. Nicol Bolas",0.16,0.08
"Island (79)","Duel Decks: Ajani vs. Nicol Bolas",0.19,0.08
"Jade Mage","Duel Decks: Ajani vs. Nicol Bolas",0.24,0.08
"Jhessian Zombies","Duel Decks: Ajani vs. Nicol Bolas",0.18,0.08
"Jungle Shrine","Duel Decks: Ajani vs. Nicol Bolas",0.48,0.08
"Kazandu Refuge","Duel Decks: Ajani vs. Nicol Bolas",0.27,0.08
"Kird Ape","Duel Decks: Ajani vs. Nicol Bolas",0.73,0.08
"Lead the Stampede","Duel Decks: Ajani vs. Nicol Bolas",0.32,0.08
"Lightning Helix","Duel Decks: Ajani vs. Nicol Bolas",1.89,0.08
"Loam Lion","Duel Decks: Ajani vs. Nicol Bolas",0.51,0.08
"Loxodon Hierarch","Duel Decks: Ajani vs. Nicol Bolas",0.56,0.08
"Marisi's Twinclaws","Duel Decks: Ajani vs. Nicol Bolas",0.24,0.08
"Morgue Toad","Duel Decks: Ajani vs. Nicol Bolas",0.16,0.08
Moroii,"Duel Decks: Ajani vs. Nicol Bolas",0.21,0.08
"Mountain (41)","Duel Decks: Ajani vs. Nicol Bolas",0.29,0.08
"Mountain (80)","Duel Decks: Ajani vs. Nicol Bolas",0.25,0.08
"Nacatl Hunt-Pride","Duel Decks: Ajani vs. Nicol Bolas",0.21,0.08
"Naya Charm","Duel Decks: Ajani vs. Nicol Bolas",0.30,0.08
"Nicol Bolas, Planeswalker","Duel Decks: Ajani vs. Nicol Bolas",-,-
"Nightscape Familiar","Duel Decks: Ajani vs. Nicol Bolas",0.27,0.08
"Obelisk of Grixis","Duel Decks: Ajani vs. Nicol Bolas",0.18,0.08
"Ogre Savant","Duel Decks: Ajani vs. Nicol Bolas",0.15,0.08
"Pain // Suffering","Duel Decks: Ajani vs. Nicol Bolas",0.24,0.08
"Plains (40)","Duel Decks: Ajani vs. Nicol Bolas",0.18,0.08
"Pride of Lions","Duel Decks: Ajani vs. Nicol Bolas",0.21,0.08
"Profane Command","Duel Decks: Ajani vs. Nicol Bolas",0.61,0.08
"Qasali Pridemage","Duel Decks: Ajani vs. Nicol Bolas",1.34,0.08
Recoil,"Duel Decks: Ajani vs. Nicol Bolas",0.45,0.08
"Recumbent Bliss","Duel Decks: Ajani vs. Nicol Bolas",0.18,0.08
"Rise // Fall","Duel Decks: Ajani vs. Nicol Bolas",0.94,0.08
"Rupture Spire","Duel Decks: Ajani vs. Nicol Bolas",0.22,0.08
"Saproling Token","Duel Decks: Ajani vs. Nicol Bolas",0.25,0.08
"Sapseep Forest","Duel Decks: Ajani vs. Nicol Bolas",0.25,0.08
"Searing Meditation","Duel Decks: Ajani vs. Nicol Bolas",0.37,0.08
Shriekmaw,"Duel Decks: Ajani vs. Nicol Bolas",1.29,0.08
"Slave of Bolas","Duel Decks: Ajani vs. Nicol Bolas",0.38,0.08
"Slavering Nulls","Duel Decks: Ajani vs. Nicol Bolas",0.20,0.08
"Spite // Malice","Duel Decks: Ajani vs. Nicol Bolas",0.24,0.08
Spitemare,"Duel Decks: Ajani vs. Nicol Bolas",1.20,0.08
"Steamcore Weird","Duel Decks: Ajani vs. Nicol Bolas",0.17,0.08
"Surveilling Sprite","Duel Decks: Ajani vs. Nicol Bolas",0.19,0.08
"Swamp (77)","Duel Decks: Ajani vs. Nicol Bolas",0.25,0.08
"Swamp (78)","Duel Decks: Ajani vs. Nicol Bolas",1.85,0.08
"Sylvan Bounty","Duel Decks: Ajani vs. Nicol Bolas",0.14,0.08
"Sylvan Ranger","Duel Decks: Ajani vs. Nicol Bolas",0.21,0.08
"Terramorphic Expanse","Duel Decks: Ajani vs. Nicol Bolas",0.24,0.08
"Titanic Ultimatum","Duel Decks: Ajani vs. Nicol Bolas",0.71,0.08
Undermine,"Duel Decks: Ajani vs. Nicol Bolas",1.46,0.08
"Vapor Snag","Duel Decks: Ajani vs. Nicol Bolas",0.76,0.08
"Vitu-Ghazi, the City-Tree","Duel Decks: Ajani vs. Nicol Bolas",0.24,0.08
"Wild Nacatl","Duel Decks: Ajani vs. Nicol Bolas",1.07,0.08
"Woolly Thoctar","Duel Decks: Ajani vs. Nicol Bolas",0.33,0.08
"Nicol Bolas, Planeswalker","Duel Decks: Ajani vs. Nicol Bolas",3.68,1.47
