"Product Name",Category,"Sell Price","Buy Price"
Abolish,"Duel Decks: Elspeth vs. Tezzeret",0.26,0.08
"Aether Spellbomb","Duel Decks: Elspeth vs. Tezzeret",0.23,0.08
"Angel of Salvation","Duel Decks: Elspeth vs. Tezzeret",0.47,0.08
"Arcbound Worker","Duel Decks: Elspeth vs. Tezzeret",0.38,0.08
"Argivian Restoration","Duel Decks: Elspeth vs. Tezzeret",0.31,0.08
Assembly-Worker,"Duel Decks: Elspeth vs. Tezzeret",0.22,0.08
"Blinding Beam","Duel Decks: Elspeth vs. Tezzeret",0.15,0.08
"Burrenton Bombardier","Duel Decks: Elspeth vs. Tezzeret",0.15,0.08
"Catapult Master","Duel Decks: Elspeth vs. Tezzeret",0.47,0.08
"Celestial Crusader","Duel Decks: Elspeth vs. Tezzeret",0.25,0.08
"Clockwork Condor","Duel Decks: Elspeth vs. Tezzeret",0.16,0.08
"Clockwork Hydra","Duel Decks: Elspeth vs. Tezzeret",0.27,0.08
"Conclave Equenaut","Duel Decks: Elspeth vs. Tezzeret",0.15,0.08
"Conclave Phalanx","Duel Decks: Elspeth vs. Tezzeret",0.24,0.08
"Contagion Clasp","Duel Decks: Elspeth vs. Tezzeret",1.37,0.08
Crusade,"Duel Decks: Elspeth vs. Tezzeret",0.97,0.08
"Darksteel Citadel","Duel Decks: Elspeth vs. Tezzeret",0.72,0.08
"Daru Encampment","Duel Decks: Elspeth vs. Tezzeret",0.23,0.08
"Echoing Truth","Duel Decks: Elspeth vs. Tezzeret",0.91,0.08
"Elite Vanguard","Duel Decks: Elspeth vs. Tezzeret",0.22,0.08
"Elixir of Immortality","Duel Decks: Elspeth vs. Tezzeret",0.95,0.08
"Elspeth, Knight-Errant","Duel Decks: Elspeth vs. Tezzeret",-,-
"Energy Chamber","Duel Decks: Elspeth vs. Tezzeret",0.94,0.08
Esperzoa,"Duel Decks: Elspeth vs. Tezzeret",0.22,0.08
"Everflowing Chalice","Duel Decks: Elspeth vs. Tezzeret",2.03,0.25
"Faerie Mechanist","Duel Decks: Elspeth vs. Tezzeret",0.15,0.08
Foil,"Duel Decks: Elspeth vs. Tezzeret",1.13,0.08
Frogmite,"Duel Decks: Elspeth vs. Tezzeret",0.27,0.08
"Glory Seeker","Duel Decks: Elspeth vs. Tezzeret",0.15,0.08
"Goldmeadow Harrier","Duel Decks: Elspeth vs. Tezzeret",0.23,0.08
"Infantry Veteran","Duel Decks: Elspeth vs. Tezzeret",0.14,0.08
"Island (76)","Duel Decks: Elspeth vs. Tezzeret",0.21,0.08
"Island (77)","Duel Decks: Elspeth vs. Tezzeret",0.20,0.08
"Island (78)","Duel Decks: Elspeth vs. Tezzeret",0.19,0.08
"Island (79)","Duel Decks: Elspeth vs. Tezzeret",0.24,0.08
"Journey to Nowhere","Duel Decks: Elspeth vs. Tezzeret",1.80,0.08
Juggernaut,"Duel Decks: Elspeth vs. Tezzeret",0.21,0.08
"Kabira Crossroads","Duel Decks: Elspeth vs. Tezzeret",0.31,0.08
"Kemba's Skyguard","Duel Decks: Elspeth vs. Tezzeret",0.21,0.08
"Kor Aeronaut","Duel Decks: Elspeth vs. Tezzeret",0.23,0.08
"Kor Hookmaster","Duel Decks: Elspeth vs. Tezzeret",0.15,0.08
"Kor Skyfisher","Duel Decks: Elspeth vs. Tezzeret",0.24,0.08
"Loyal Sentry","Duel Decks: Elspeth vs. Tezzeret",0.40,0.08
"Master of Etherium","Duel Decks: Elspeth vs. Tezzeret",4.16,1.66
"Mighty Leap","Duel Decks: Elspeth vs. Tezzeret",0.15,0.08
"Mishra's Factory","Duel Decks: Elspeth vs. Tezzeret",0.94,0.08
"Moonglove Extract","Duel Decks: Elspeth vs. Tezzeret",0.15,0.08
"Mosquito Guard","Duel Decks: Elspeth vs. Tezzeret",0.15,0.08
Pentavus,"Duel Decks: Elspeth vs. Tezzeret",0.33,0.08
"Plains (35)","Duel Decks: Elspeth vs. Tezzeret",0.15,0.08
"Plains (36)","Duel Decks: Elspeth vs. Tezzeret",0.14,0.08
"Plains (37)","Duel Decks: Elspeth vs. Tezzeret",0.17,0.08
"Plains (38)","Duel Decks: Elspeth vs. Tezzeret",0.15,0.08
Qumulox,"Duel Decks: Elspeth vs. Tezzeret",0.22,0.08
"Raise the Alarm","Duel Decks: Elspeth vs. Tezzeret",0.24,0.08
"Razor Barrier","Duel Decks: Elspeth vs. Tezzeret",0.16,0.08
"Razormane Masticore","Duel Decks: Elspeth vs. Tezzeret",0.33,0.08
"Runed Servitor","Duel Decks: Elspeth vs. Tezzeret",0.21,0.08
"Rustic Clachan","Duel Decks: Elspeth vs. Tezzeret",0.33,0.08
Saltblast,"Duel Decks: Elspeth vs. Tezzeret",0.24,0.08
"Seasoned Marshal","Duel Decks: Elspeth vs. Tezzeret",0.21,0.08
"Seat of the Synod","Duel Decks: Elspeth vs. Tezzeret",1.24,0.08
"Serrated Biskelion","Duel Decks: Elspeth vs. Tezzeret",0.28,0.08
"Silver Myr","Duel Decks: Elspeth vs. Tezzeret",0.28,0.08
"Soldier Token","Duel Decks: Elspeth vs. Tezzeret",0.24,0.08
"Stalking Stones","Duel Decks: Elspeth vs. Tezzeret",0.23,0.08
"Steel Overseer","Duel Decks: Elspeth vs. Tezzeret",8.01,3.20
"Steel Wall","Duel Decks: Elspeth vs. Tezzeret",0.56,0.08
"Stormfront Riders","Duel Decks: Elspeth vs. Tezzeret",0.24,0.08
Sunlance,"Duel Decks: Elspeth vs. Tezzeret",0.21,0.08
"Swell of Courage","Duel Decks: Elspeth vs. Tezzeret",0.23,0.08
"Swords to Plowshares","Duel Decks: Elspeth vs. Tezzeret",1.66,0.08
"Synod Centurion","Duel Decks: Elspeth vs. Tezzeret",0.21,0.08
"Temple Acolyte","Duel Decks: Elspeth vs. Tezzeret",0.18,0.08
"Tezzeret the Seeker","Duel Decks: Elspeth vs. Tezzeret",-,-
"Thirst for Knowledge","Duel Decks: Elspeth vs. Tezzeret",0.89,0.08
Thoughtcast,"Duel Decks: Elspeth vs. Tezzeret",0.63,0.08
"Trinket Mage","Duel Decks: Elspeth vs. Tezzeret",0.33,0.08
"Trip Noose","Duel Decks: Elspeth vs. Tezzeret",0.23,0.08
Triskelion,"Duel Decks: Elspeth vs. Tezzeret",0.77,0.08
"Tezzeret the Seeker","Duel Decks: Elspeth vs. Tezzeret",13.24,5.96
