"Product Name",Category,"Sell Price","Buy Price"
"Albino Troll","Duel Decks: Garruk vs. Liliana",0.20,0.00
"Bad Moon","Duel Decks: Garruk vs. Liliana",0.95,0.10
"Basking Rootwalla","Duel Decks: Garruk vs. Liliana",0.25,0.00
"Beast Attack","Duel Decks: Garruk vs. Liliana",0.21,0.00
"Beast Token (3/3)","Duel Decks: Garruk vs. Liliana",0.44,0.00
"Beast Token (4/4)","Duel Decks: Garruk vs. Liliana",0.28,0.00
Blastoderm,"Duel Decks: Garruk vs. Liliana",0.23,0.00
Corrupt,"Duel Decks: Garruk vs. Liliana",0.23,0.00
Deathgreeter,"Duel Decks: Garruk vs. Liliana",0.78,0.10
"Drudge Skeletons","Duel Decks: Garruk vs. Liliana",0.17,0.00
"Elephant Guide","Duel Decks: Garruk vs. Liliana",0.28,0.00
"Elephant Token","Duel Decks: Garruk vs. Liliana",1.06,0.10
Enslave,"Duel Decks: Garruk vs. Liliana",0.21,0.00
"Faerie Macabre","Duel Decks: Garruk vs. Liliana",0.98,0.10
"Fleshbag Marauder","Duel Decks: Garruk vs. Liliana",0.35,0.00
"Forest (28)","Duel Decks: Garruk vs. Liliana",0.20,0.00
"Forest (29)","Duel Decks: Garruk vs. Liliana",0.20,0.00
"Forest (30)","Duel Decks: Garruk vs. Liliana",0.19,0.00
"Forest (31)","Duel Decks: Garruk vs. Liliana",0.24,0.00
"Garruk Wildspeaker","Duel Decks: Garruk vs. Liliana",0.00,0.00
"Genju of the Cedars","Duel Decks: Garruk vs. Liliana",0.24,0.00
"Genju of the Fens","Duel Decks: Garruk vs. Liliana",0.23,0.00
"Ghost-Lit Stalker","Duel Decks: Garruk vs. Liliana",0.20,0.00
"Giant Growth","Duel Decks: Garruk vs. Liliana",0.20,0.00
Harmonize,"Duel Decks: Garruk vs. Liliana",0.94,0.10
"Hideous End","Duel Decks: Garruk vs. Liliana",0.18,0.00
"Howling Banshee","Duel Decks: Garruk vs. Liliana",0.20,0.00
"Ichor Slick","Duel Decks: Garruk vs. Liliana",0.16,0.00
"Indrik Stomphowler","Duel Decks: Garruk vs. Liliana",0.23,0.00
Invigorate,"Duel Decks: Garruk vs. Liliana",0.59,0.10
"Keening Banshee","Duel Decks: Garruk vs. Liliana",0.22,0.00
"Krosan Tusker","Duel Decks: Garruk vs. Liliana",0.20,0.00
Lignify,"Duel Decks: Garruk vs. Liliana",1.11,0.10
"Liliana Vess","Duel Decks: Garruk vs. Liliana",0.00,0.00
Mutilate,"Duel Decks: Garruk vs. Liliana",0.80,0.10
"Nature's Lore","Duel Decks: Garruk vs. Liliana",4.51,2.12
Overrun,"Duel Decks: Garruk vs. Liliana",0.33,0.00
"Phyrexian Rager","Duel Decks: Garruk vs. Liliana",0.19,0.00
"Plated Slagwurm","Duel Decks: Garruk vs. Liliana",0.42,0.00
"Polluted Mire","Duel Decks: Garruk vs. Liliana",0.19,0.00
Rancor,"Duel Decks: Garruk vs. Liliana",1.66,0.10
"Ravenous Baloth","Duel Decks: Garruk vs. Liliana",0.33,0.00
"Ravenous Rats","Duel Decks: Garruk vs. Liliana",0.19,0.00
"Rise from the Grave","Duel Decks: Garruk vs. Liliana",0.23,0.00
"Rude Awakening","Duel Decks: Garruk vs. Liliana",0.46,0.00
"Serrated Arrows","Duel Decks: Garruk vs. Liliana",0.71,0.10
"Sign in Blood","Duel Decks: Garruk vs. Liliana",0.23,0.00
"Skeletal Vampire","Duel Decks: Garruk vs. Liliana",0.43,0.00
"Slippery Karst","Duel Decks: Garruk vs. Liliana",0.20,0.00
"Snuff Out","Duel Decks: Garruk vs. Liliana",4.28,2.01
"Stampeding Wildebeests","Duel Decks: Garruk vs. Liliana",0.23,0.00
"Swamp (60)","Duel Decks: Garruk vs. Liliana",0.19,0.00
"Swamp (61)","Duel Decks: Garruk vs. Liliana",0.25,0.00
"Swamp (62)","Duel Decks: Garruk vs. Liliana",0.24,0.00
"Swamp (63)","Duel Decks: Garruk vs. Liliana",0.23,0.00
"Tendrils of Corruption","Duel Decks: Garruk vs. Liliana",0.23,0.00
"Treetop Village","Duel Decks: Garruk vs. Liliana",0.93,0.10
"Twisted Abomination","Duel Decks: Garruk vs. Liliana",0.19,0.00
"Urborg Syphon-Mage","Duel Decks: Garruk vs. Liliana",0.16,0.00
"Vampire Bats","Duel Decks: Garruk vs. Liliana",0.17,0.00
"Vicious Hunger","Duel Decks: Garruk vs. Liliana",0.16,0.00
"Vine Trellis","Duel Decks: Garruk vs. Liliana",0.26,0.00
"Wall of Bone","Duel Decks: Garruk vs. Liliana",0.23,0.00
"Wild Mongrel","Duel Decks: Garruk vs. Liliana",0.29,0.00
Windstorm,"Duel Decks: Garruk vs. Liliana",0.23,0.00
"Wirewood Savage","Duel Decks: Garruk vs. Liliana",0.19,0.00
"Liliana Vess","Duel Decks: Garruk vs. Liliana",9.00,4.23
"Garruk Wildspeaker","Duel Decks: Garruk vs. Liliana",7.49,3.52
