"Product Name",Category,"Sell Price","Buy Price"
"Anax and Cymede","Duel Decks: Heroes vs. Monsters",0.42,0.08
"Armory Guard","Duel Decks: Heroes vs. Monsters",0.17,0.00
Auramancer,"Duel Decks: Heroes vs. Monsters",0.15,0.00
"Battle Mastery","Duel Decks: Heroes vs. Monsters",0.24,0.01
"Beast Token","Duel Decks: Heroes vs. Monsters",0.30,0.00
"Beast Within","Duel Decks: Heroes vs. Monsters",1.70,0.01
"Blood Ogre","Duel Decks: Heroes vs. Monsters",0.17,0.00
"Bonds of Faith","Duel Decks: Heroes vs. Monsters",0.19,0.00
"Boros Guildgate","Duel Decks: Heroes vs. Monsters",0.21,0.00
"Cavalry Pegasus","Duel Decks: Heroes vs. Monsters",0.19,0.00
Condemn,"Duel Decks: Heroes vs. Monsters",0.34,0.01
"Conquering Manticore","Duel Decks: Heroes vs. Monsters",0.38,0.08
"Crater Hellion","Duel Decks: Heroes vs. Monsters",0.32,0.08
"Crowned Ceratok","Duel Decks: Heroes vs. Monsters",0.24,0.01
"Daily Regimen","Duel Decks: Heroes vs. Monsters",0.24,0.01
"Dawnstrike Paladin","Duel Decks: Heroes vs. Monsters",0.17,0.00
"Deadly Recluse","Duel Decks: Heroes vs. Monsters",0.21,0.00
"Destructive Revelry","Duel Decks: Heroes vs. Monsters",0.36,0.01
"Deus of Calamity","Duel Decks: Heroes vs. Monsters",1.04,0.08
"Dragon Blood","Duel Decks: Heroes vs. Monsters",0.24,0.01
"Fencing Ace","Duel Decks: Heroes vs. Monsters",0.24,0.01
"Figure of Destiny","Duel Decks: Heroes vs. Monsters",0.95,0.08
"Fires of Yavimaya","Duel Decks: Heroes vs. Monsters",0.32,0.01
"Forest (78)","Duel Decks: Heroes vs. Monsters",0.23,0.00
"Forest (79)","Duel Decks: Heroes vs. Monsters",0.24,0.00
"Forest (80)","Duel Decks: Heroes vs. Monsters",0.14,0.00
"Forest (81)","Duel Decks: Heroes vs. Monsters",0.15,0.00
"Freewind Equenaut","Duel Decks: Heroes vs. Monsters",0.16,0.00
"Ghor-Clan Savage","Duel Decks: Heroes vs. Monsters",0.17,0.00
"Gorehorn Minotaurs","Duel Decks: Heroes vs. Monsters",0.17,0.00
"Griffin Guide","Duel Decks: Heroes vs. Monsters",0.25,0.01
"Griffin Token","Duel Decks: Heroes vs. Monsters",0.25,0.00
"Gustcloak Sentinel","Duel Decks: Heroes vs. Monsters",0.24,0.01
"Kamahl, Pit Fighter","Duel Decks: Heroes vs. Monsters",0.33,0.08
"Kavu Predator","Duel Decks: Heroes vs. Monsters",0.29,0.01
"Kazandu Refuge","Duel Decks: Heroes vs. Monsters",0.24,0.01
"Krosan Tusker","Duel Decks: Heroes vs. Monsters",0.19,0.00
"Llanowar Reborn","Duel Decks: Heroes vs. Monsters",2.04,0.25
"Magma Jet","Duel Decks: Heroes vs. Monsters",0.44,0.01
"Miraculous Recovery","Duel Decks: Heroes vs. Monsters",0.33,0.01
"Moment of Heroism","Duel Decks: Heroes vs. Monsters",0.15,0.00
"Mountain (35)","Duel Decks: Heroes vs. Monsters",0.11,0.00
"Mountain (36)","Duel Decks: Heroes vs. Monsters",1.70,0.00
"Mountain (37)","Duel Decks: Heroes vs. Monsters",0.14,0.00
"Mountain (38)","Duel Decks: Heroes vs. Monsters",0.16,0.00
"Mountain (74)","Duel Decks: Heroes vs. Monsters",0.17,0.00
"Mountain (75)","Duel Decks: Heroes vs. Monsters",0.19,0.00
"Mountain (76)","Duel Decks: Heroes vs. Monsters",0.15,0.00
"Mountain (77)","Duel Decks: Heroes vs. Monsters",0.10,0.00
"New Benalia","Duel Decks: Heroes vs. Monsters",0.24,0.01
"Nobilis of War","Duel Decks: Heroes vs. Monsters",0.46,0.08
"Orcish Lumberjack","Duel Decks: Heroes vs. Monsters",0.39,0.00
"Ordeal of Purphoros","Duel Decks: Heroes vs. Monsters",0.24,0.01
"Pay No Heed","Duel Decks: Heroes vs. Monsters",0.19,0.00
"Plains (39)","Duel Decks: Heroes vs. Monsters",0.85,0.00
"Plains (40)","Duel Decks: Heroes vs. Monsters",0.12,0.00
"Plains (41)","Duel Decks: Heroes vs. Monsters",0.19,0.00
"Plains (42)","Duel Decks: Heroes vs. Monsters",0.13,0.00
"Polukranos, World Eater","Duel Decks: Heroes vs. Monsters",-,-
"Prey Upon","Duel Decks: Heroes vs. Monsters",0.19,0.00
Pyroclasm,"Duel Decks: Heroes vs. Monsters",0.42,0.01
Pyrokinesis,"Duel Decks: Heroes vs. Monsters",0.31,0.01
Regrowth,"Duel Decks: Heroes vs. Monsters",1.44,0.01
Righteousness,"Duel Decks: Heroes vs. Monsters",0.25,0.01
"Satyr Hedonist","Duel Decks: Heroes vs. Monsters",0.17,0.00
"Shower of Sparks","Duel Decks: Heroes vs. Monsters",0.17,0.00
"Skarrg, the Rage Pits","Duel Decks: Heroes vs. Monsters",0.33,0.01
"Skarrgan Firebird","Duel Decks: Heroes vs. Monsters",0.33,0.08
"Skarrgan Skybreaker","Duel Decks: Heroes vs. Monsters",0.21,0.01
"Smite the Monstrous","Duel Decks: Heroes vs. Monsters",0.15,0.00
"Somberwald Vigilante","Duel Decks: Heroes vs. Monsters",0.10,0.00
"Stand Firm","Duel Decks: Heroes vs. Monsters",0.18,0.00
"Stun Sniper","Duel Decks: Heroes vs. Monsters",0.20,0.01
"Sun Titan","Duel Decks: Heroes vs. Monsters",-,-
"Terrifying Presence","Duel Decks: Heroes vs. Monsters",0.19,0.00
"Thraben Valiant","Duel Decks: Heroes vs. Monsters",0.17,0.00
"Troll Ascetic","Duel Decks: Heroes vs. Monsters",0.48,0.08
"Truefire Paladin","Duel Decks: Heroes vs. Monsters",0.24,0.01
"Undying Rage","Duel Decks: Heroes vs. Monsters",0.23,0.01
"Valley Rannet","Duel Decks: Heroes vs. Monsters",0.17,0.00
"Volt Charge","Duel Decks: Heroes vs. Monsters",0.19,0.00
"Winds of Rath","Duel Decks: Heroes vs. Monsters",0.95,0.08
"Zhur-Taa Druid","Duel Decks: Heroes vs. Monsters",0.20,0.00
"Liliana Vess - Foil","Duel Decks: Heroes vs. Monsters",9.00,3.60
"Garruk Wildspeaker - Foil","Duel Decks: Heroes vs. Monsters",7.49,3.00
"Garruk Wildspeaker - Foil","Duel Decks: Heroes vs. Monsters",7.49,3.00
