"Product Name",Category,"Sell Price","Buy Price"
"Barren Moor","Duel Decks: Izzet vs. Golgari",0.30,0.00
"Boneyard Wurm","Duel Decks: Izzet vs. Golgari",0.24,0.01
"Brain Weevil","Duel Decks: Izzet vs. Golgari",0.17,0.00
Brainstorm,"Duel Decks: Izzet vs. Golgari",0.92,0.00
"Call to Heel","Duel Decks: Izzet vs. Golgari",0.18,0.00
"Dakmor Salvage","Duel Decks: Izzet vs. Golgari",1.09,0.01
Dissipate,"Duel Decks: Izzet vs. Golgari",0.29,0.01
"Djinn Illuminatus","Duel Decks: Izzet vs. Golgari",0.35,0.08
Doomgape,"Duel Decks: Izzet vs. Golgari",0.48,0.08
"Dreg Mangler","Duel Decks: Izzet vs. Golgari",0.27,0.01
"Elves of Deep Shadow","Duel Decks: Izzet vs. Golgari",0.65,0.00
"Eternal Witness","Duel Decks: Izzet vs. Golgari",4.67,1.87
"Feast or Famine","Duel Decks: Izzet vs. Golgari",0.19,0.00
"Fire // Ice","Duel Decks: Izzet vs. Golgari",0.37,0.01
"Force Spike","Duel Decks: Izzet vs. Golgari",0.33,0.00
"Forest (87)","Duel Decks: Izzet vs. Golgari",0.20,0.00
"Forest (88)","Duel Decks: Izzet vs. Golgari",0.22,0.00
"Forest (89)","Duel Decks: Izzet vs. Golgari",0.19,0.00
"Forest (90)","Duel Decks: Izzet vs. Golgari",0.18,0.00
"Forgotten Cave","Duel Decks: Izzet vs. Golgari",0.22,0.00
Galvanoth,"Duel Decks: Izzet vs. Golgari",0.33,0.08
Gelectrode,"Duel Decks: Izzet vs. Golgari",0.61,0.01
"Ghoul's Feast","Duel Decks: Izzet vs. Golgari",0.22,0.01
Gleancrawler,"Duel Decks: Izzet vs. Golgari",0.42,0.08
"Goblin Electromancer","Duel Decks: Izzet vs. Golgari",0.24,0.00
"Golgari Germination","Duel Decks: Izzet vs. Golgari",0.29,0.01
"Golgari Grave-Troll","Duel Decks: Izzet vs. Golgari",1.90,0.08
"Golgari Rot Farm","Duel Decks: Izzet vs. Golgari",0.28,0.00
"Golgari Rotwurm","Duel Decks: Izzet vs. Golgari",0.16,0.00
"Golgari Signet","Duel Decks: Izzet vs. Golgari",0.29,0.00
"Golgari Thug","Duel Decks: Izzet vs. Golgari",2.74,0.25
"Greater Mossdog","Duel Decks: Izzet vs. Golgari",0.18,0.00
"Grim Flowering","Duel Decks: Izzet vs. Golgari",0.21,0.01
"Invoke the Firemind","Duel Decks: Izzet vs. Golgari",0.46,0.08
"Island (37)","Duel Decks: Izzet vs. Golgari",0.18,0.00
"Island (38)","Duel Decks: Izzet vs. Golgari",0.19,0.00
"Island (39)","Duel Decks: Izzet vs. Golgari",0.18,0.00
"Island (40)","Duel Decks: Izzet vs. Golgari",0.21,0.00
"Isochron Scepter","Duel Decks: Izzet vs. Golgari",12.15,5.47
"Izzet Boilerworks","Duel Decks: Izzet vs. Golgari",0.25,0.00
"Izzet Charm","Duel Decks: Izzet vs. Golgari",0.43,0.01
"Izzet Chronarch","Duel Decks: Izzet vs. Golgari",0.21,0.00
"Izzet Guildmage","Duel Decks: Izzet vs. Golgari",0.30,0.01
"Izzet Signet","Duel Decks: Izzet vs. Golgari",0.88,0.00
"Jarad, Golgari Lich Lord","Duel Decks: Izzet vs. Golgari",-,-
"Kiln Fiend","Duel Decks: Izzet vs. Golgari",0.38,0.00
"Korozda Guildmage","Duel Decks: Izzet vs. Golgari",0.22,0.01
"Life // Death","Duel Decks: Izzet vs. Golgari",0.54,0.01
"Life from the Loam","Duel Decks: Izzet vs. Golgari",18.26,8.22
"Lonely Sandbar","Duel Decks: Izzet vs. Golgari",0.24,0.00
"Magma Spray","Duel Decks: Izzet vs. Golgari",0.20,0.00
"Mountain (41)","Duel Decks: Izzet vs. Golgari",0.18,0.00
"Mountain (42)","Duel Decks: Izzet vs. Golgari",0.19,0.00
"Mountain (43)","Duel Decks: Izzet vs. Golgari",0.20,0.00
"Mountain (44)","Duel Decks: Izzet vs. Golgari",0.15,0.00
"Nightmare Void","Duel Decks: Izzet vs. Golgari",0.23,0.01
"Nivix, Aerie of the Firemind","Duel Decks: Izzet vs. Golgari",0.24,0.01
"Niv-Mizzet, the Firemind","Duel Decks: Izzet vs. Golgari",-,-
"Ogre Savant","Duel Decks: Izzet vs. Golgari",0.16,0.00
"Overwhelming Intellect","Duel Decks: Izzet vs. Golgari",0.29,0.01
"Plagued Rusalka","Duel Decks: Izzet vs. Golgari",0.22,0.01
"Prophetic Bolt","Duel Decks: Izzet vs. Golgari",0.34,0.08
Putrefy,"Duel Decks: Izzet vs. Golgari",0.29,0.01
"Putrid Leech","Duel Decks: Izzet vs. Golgari",0.19,0.00
Pyromatics,"Duel Decks: Izzet vs. Golgari",0.17,0.00
"Quicksilver Dagger","Duel Decks: Izzet vs. Golgari",0.17,0.00
"Ravenous Rats","Duel Decks: Izzet vs. Golgari",0.20,0.00
"Reassembling Skeleton","Duel Decks: Izzet vs. Golgari",0.25,0.01
Reminisce,"Duel Decks: Izzet vs. Golgari",0.22,0.01
"Sadistic Hypnotist","Duel Decks: Izzet vs. Golgari",3.80,1.52
"Saproling Token","Duel Decks: Izzet vs. Golgari",0.24,0.00
"Shambling Shell","Duel Decks: Izzet vs. Golgari",0.24,0.00
"Shrewd Hatchling","Duel Decks: Izzet vs. Golgari",0.20,0.01
"Sphinx-Bone Wand","Duel Decks: Izzet vs. Golgari",0.47,0.08
"Steamcore Weird","Duel Decks: Izzet vs. Golgari",0.16,0.00
"Stingerfling Spider","Duel Decks: Izzet vs. Golgari",0.22,0.01
"Stinkweed Imp","Duel Decks: Izzet vs. Golgari",1.32,0.00
"Street Spasm","Duel Decks: Izzet vs. Golgari",0.23,0.01
"Svogthos, the Restless Tomb","Duel Decks: Izzet vs. Golgari",0.24,0.01
"Swamp (83)","Duel Decks: Izzet vs. Golgari",0.19,0.00
"Swamp (84)","Duel Decks: Izzet vs. Golgari",0.18,0.00
"Swamp (85)","Duel Decks: Izzet vs. Golgari",0.17,0.00
"Swamp (86)","Duel Decks: Izzet vs. Golgari",0.18,0.00
Thunderheads,"Duel Decks: Izzet vs. Golgari",0.22,0.01
"Train of Thought","Duel Decks: Izzet vs. Golgari",0.24,0.00
"Tranquil Thicket","Duel Decks: Izzet vs. Golgari",0.23,0.00
"Twilight's Call","Duel Decks: Izzet vs. Golgari",0.47,0.08
Vacuumelt,"Duel Decks: Izzet vs. Golgari",0.22,0.01
"Vigor Mortis","Duel Decks: Izzet vs. Golgari",0.30,0.01
"Wee Dragonauts","Duel Decks: Izzet vs. Golgari",0.20,0.00
"Yoke of the Damned","Duel Decks: Izzet vs. Golgari",0.18,0.00
"Jarad, Golgari Lich Lord - Foil","Duel Decks: Izzet vs. Golgari",0.47,0.25
