"Product Name",Category,"Sell Price","Buy Price"
Aethersnipe,"Duel Decks: Jace vs. Chandra",0.16,0.08
"Air Elemental","Duel Decks: Jace vs. Chandra",0.21,0.08
"Ancestral Vision","Duel Decks: Jace vs. Chandra",9.50,3.80
"Bottle Gnomes","Duel Decks: Jace vs. Chandra",0.23,0.08
"Brine Elemental","Duel Decks: Jace vs. Chandra",0.24,0.08
"Chandra Nalaar","Duel Decks: Jace vs. Chandra",-,-
"Chandra Nalaar (Japanese)","Duel Decks: Jace vs. Chandra",-,-
"Chartooth Cougar","Duel Decks: Jace vs. Chandra",0.16,0.08
Condescend,"Duel Decks: Jace vs. Chandra",0.86,0.08
"Cone of Flame","Duel Decks: Jace vs. Chandra",0.24,0.08
Counterspell,"Duel Decks: Jace vs. Chandra",3.13,1.25
Daze,"Duel Decks: Jace vs. Chandra",2.61,0.25
Demonfire,"Duel Decks: Jace vs. Chandra",0.71,0.08
"Elemental Shaman Token","Duel Decks: Jace vs. Chandra",0.24,0.08
"Errant Ephemeron","Duel Decks: Jace vs. Chandra",0.16,0.08
"Fact or Fiction","Duel Decks: Jace vs. Chandra",1.39,0.08
"Fathom Seer","Duel Decks: Jace vs. Chandra",0.15,0.08
Fireball,"Duel Decks: Jace vs. Chandra",0.23,0.08
Fireblast,"Duel Decks: Jace vs. Chandra",1.89,0.08
Firebolt,"Duel Decks: Jace vs. Chandra",0.33,0.08
Fireslinger,"Duel Decks: Jace vs. Chandra",0.24,0.08
"Flame Javelin","Duel Decks: Jace vs. Chandra",0.41,0.08
"Flamekin Brawler","Duel Decks: Jace vs. Chandra",0.16,0.08
"Flametongue Kavu","Duel Decks: Jace vs. Chandra",0.47,0.08
"Flamewave Invoker","Duel Decks: Jace vs. Chandra",0.23,0.08
"Fledgling Mawcor","Duel Decks: Jace vs. Chandra",0.23,0.08
"Furnace Whelp","Duel Decks: Jace vs. Chandra",0.24,0.08
Guile,"Duel Decks: Jace vs. Chandra",0.73,0.08
Gush,"Duel Decks: Jace vs. Chandra",4.99,2.00
Hostility,"Duel Decks: Jace vs. Chandra",0.47,0.08
Incinerate,"Duel Decks: Jace vs. Chandra",0.47,0.08
"Ingot Chewer","Duel Decks: Jace vs. Chandra",0.56,0.08
"Inner-Flame Acolyte","Duel Decks: Jace vs. Chandra",0.19,0.08
"Island (30)","Duel Decks: Jace vs. Chandra",0.24,0.08
"Island (31)","Duel Decks: Jace vs. Chandra",0.22,0.08
"Island (32)","Duel Decks: Jace vs. Chandra",0.25,0.08
"Island (33)","Duel Decks: Jace vs. Chandra",0.19,0.08
"Jace Beleren","Duel Decks: Jace vs. Chandra",-,-
"Jace Beleren (Japanese)","Duel Decks: Jace vs. Chandra",-,-
"Keldon Megaliths","Duel Decks: Jace vs. Chandra",0.29,0.08
"Magma Jet","Duel Decks: Jace vs. Chandra",0.86,0.08
Man-o'-War,"Duel Decks: Jace vs. Chandra",0.33,0.08
"Martyr of Frost","Duel Decks: Jace vs. Chandra",0.20,0.08
"Mind Stone","Duel Decks: Jace vs. Chandra",1.03,0.08
"Mountain (59)","Duel Decks: Jace vs. Chandra",0.24,0.08
"Mountain (60)","Duel Decks: Jace vs. Chandra",0.24,0.08
"Mountain (61)","Duel Decks: Jace vs. Chandra",0.24,0.08
"Mountain (62)","Duel Decks: Jace vs. Chandra",0.24,0.08
Mulldrifter,"Duel Decks: Jace vs. Chandra",1.42,0.08
Ophidian,"Duel Decks: Jace vs. Chandra",0.20,0.08
"Oxidda Golem","Duel Decks: Jace vs. Chandra",0.18,0.08
"Pyre Charger","Duel Decks: Jace vs. Chandra",0.23,0.08
"Quicksilver Dragon","Duel Decks: Jace vs. Chandra",0.67,0.08
"Rakdos Pit Dragon","Duel Decks: Jace vs. Chandra",0.56,0.08
Repulse,"Duel Decks: Jace vs. Chandra",0.19,0.08
"Riftwing Cloudskate","Duel Decks: Jace vs. Chandra",0.24,0.08
"Seal of Fire","Duel Decks: Jace vs. Chandra",0.24,0.08
"Slith Firewalker","Duel Decks: Jace vs. Chandra",0.25,0.08
"Soulbright Flamekin","Duel Decks: Jace vs. Chandra",0.23,0.08
"Spire Golem","Duel Decks: Jace vs. Chandra",0.53,0.08
"Terrain Generator","Duel Decks: Jace vs. Chandra",3.23,1.29
"Voidmage Apprentice","Duel Decks: Jace vs. Chandra",0.24,0.08
"Wall of Deceit","Duel Decks: Jace vs. Chandra",0.27,0.08
"Waterspout Djinn","Duel Decks: Jace vs. Chandra",0.21,0.08
Willbender,"Duel Decks: Jace vs. Chandra",0.35,0.08
"Jace Beleren","Duel Decks: Jace vs. Chandra",3.99,1.60
"Chandra Nalaar","Duel Decks: Jace vs. Chandra",1.17,0.08
