"Product Name",Category,"Sell Price","Buy Price"
"Acidic Slime","Duel Decks: Jace vs. Vraska",0.29,0.01
"Aeon Chronicler","Duel Decks: Jace vs. Vraska",0.32,0.08
"Aether Adept","Duel Decks: Jace vs. Vraska",0.20,0.00
"Aether Figment","Duel Decks: Jace vs. Vraska",0.24,0.01
Agoraphobia,"Duel Decks: Jace vs. Vraska",0.20,0.01
Archaeomancer,"Duel Decks: Jace vs. Vraska",0.25,0.00
"Assassin Token","Duel Decks: Jace vs. Vraska",0.48,0.00
"Body Double","Duel Decks: Jace vs. Vraska",0.69,0.08
Chronomaton,"Duel Decks: Jace vs. Vraska",0.23,0.01
Claustrophobia,"Duel Decks: Jace vs. Vraska",0.17,0.00
"Consume Strength","Duel Decks: Jace vs. Vraska",0.17,0.00
"Control Magic","Duel Decks: Jace vs. Vraska",0.50,0.01
"Corpse Traders","Duel Decks: Jace vs. Vraska",0.21,0.01
"Crosstown Courier","Duel Decks: Jace vs. Vraska",0.17,0.00
"Death-Hood Cobra","Duel Decks: Jace vs. Vraska",0.16,0.00
"Dread Statuary","Duel Decks: Jace vs. Vraska",0.24,0.01
"Dream Stalker","Duel Decks: Jace vs. Vraska",0.24,0.00
"Drooling Groodion","Duel Decks: Jace vs. Vraska",0.21,0.01
"Errant Ephemeron","Duel Decks: Jace vs. Vraska",0.16,0.00
"Festerhide Boar","Duel Decks: Jace vs. Vraska",0.16,0.00
"Forest (84)","Duel Decks: Jace vs. Vraska",0.18,0.00
"Forest (85)","Duel Decks: Jace vs. Vraska",0.17,0.00
"Forest (86)","Duel Decks: Jace vs. Vraska",0.18,0.00
"Forest (87)","Duel Decks: Jace vs. Vraska",0.18,0.00
"Forest (88)","Duel Decks: Jace vs. Vraska",0.18,0.00
"Future Sight","Duel Decks: Jace vs. Vraska",0.62,0.08
"Gatecreeper Vine","Duel Decks: Jace vs. Vraska",0.24,0.00
"Golgari Guildgate","Duel Decks: Jace vs. Vraska",0.19,0.00
Griptide,"Duel Decks: Jace vs. Vraska",0.17,0.00
"Grisly Spectacle","Duel Decks: Jace vs. Vraska",0.16,0.00
"Halimar Depths","Duel Decks: Jace vs. Vraska",0.81,0.00
"Highway Robber","Duel Decks: Jace vs. Vraska",0.16,0.00
"Hypnotic Cloud","Duel Decks: Jace vs. Vraska",0.16,0.00
"Into the Roil","Duel Decks: Jace vs. Vraska",0.19,0.00
"Island (37)","Duel Decks: Jace vs. Vraska",0.18,0.00
"Island (38)","Duel Decks: Jace vs. Vraska",0.18,0.00
"Island (39)","Duel Decks: Jace vs. Vraska",0.18,0.00
"Island (40)","Duel Decks: Jace vs. Vraska",0.17,0.00
"Island (41)","Duel Decks: Jace vs. Vraska",0.17,0.00
"Jace, Architect of Thought","Duel Decks: Jace vs. Vraska",-,-
"Jace's Ingenuity","Duel Decks: Jace vs. Vraska",0.23,0.01
"Jace's Mindseeker","Duel Decks: Jace vs. Vraska",0.32,0.08
"Jace's Phantasm","Duel Decks: Jace vs. Vraska",0.71,0.01
"Krovikan Mist","Duel Decks: Jace vs. Vraska",0.24,0.00
"Last Kiss","Duel Decks: Jace vs. Vraska",0.17,0.00
"Leyline Phantom","Duel Decks: Jace vs. Vraska",0.16,0.00
"Marsh Casualties","Duel Decks: Jace vs. Vraska",0.21,0.01
"Memory Lapse","Duel Decks: Jace vs. Vraska",0.22,0.00
"Merfolk Wayfinder","Duel Decks: Jace vs. Vraska",0.21,0.01
"Mold Shambler","Duel Decks: Jace vs. Vraska",0.19,0.00
Nekrataal,"Duel Decks: Jace vs. Vraska",0.24,0.01
"Night's Whisper","Duel Decks: Jace vs. Vraska",1.80,0.01
"Ohran Viper","Duel Decks: Jace vs. Vraska",0.47,0.08
"Oran-Rief Recluse","Duel Decks: Jace vs. Vraska",0.17,0.00
"Phantasmal Bear","Duel Decks: Jace vs. Vraska",0.19,0.00
"Phantasmal Dragon","Duel Decks: Jace vs. Vraska",0.24,0.01
Prohibit,"Duel Decks: Jace vs. Vraska",0.41,0.00
"Pulse Tracker","Duel Decks: Jace vs. Vraska",0.24,0.00
"Putrid Leech","Duel Decks: Jace vs. Vraska",0.20,0.00
"Ray of Command","Duel Decks: Jace vs. Vraska",0.19,0.00
"Reaper of the Wilds","Duel Decks: Jace vs. Vraska",0.40,0.08
Remand,"Duel Decks: Jace vs. Vraska",4.74,1.90
"Riftwing Cloudskate","Duel Decks: Jace vs. Vraska",0.24,0.01
"River Boa","Duel Decks: Jace vs. Vraska",0.24,0.01
"Rogue's Passage","Duel Decks: Jace vs. Vraska",0.38,0.01
"Sadistic Augermage","Duel Decks: Jace vs. Vraska",0.15,0.00
"Sea Gate Oracle","Duel Decks: Jace vs. Vraska",0.24,0.00
"Shadow Alley Denizen","Duel Decks: Jace vs. Vraska",0.22,0.00
"Slate Street Ruffian","Duel Decks: Jace vs. Vraska",0.15,0.00
Spawnwrithe,"Duel Decks: Jace vs. Vraska",0.39,0.08
Spelltwine,"Duel Decks: Jace vs. Vraska",0.35,0.08
"Stab Wound","Duel Decks: Jace vs. Vraska",0.18,0.00
"Stealer of Secrets","Duel Decks: Jace vs. Vraska",0.17,0.00
"Stonefare Crocodile","Duel Decks: Jace vs. Vraska",0.16,0.00
"Summoner's Bane","Duel Decks: Jace vs. Vraska",0.23,0.01
"Swamp (79)","Duel Decks: Jace vs. Vraska",0.18,0.00
"Swamp (80)","Duel Decks: Jace vs. Vraska",0.21,0.00
"Swamp (81)","Duel Decks: Jace vs. Vraska",0.20,0.00
"Swamp (82)","Duel Decks: Jace vs. Vraska",0.21,0.00
"Swamp (83)","Duel Decks: Jace vs. Vraska",0.20,0.00
"Tainted Wood","Duel Decks: Jace vs. Vraska",0.94,0.01
"Tavern Swindler","Duel Decks: Jace vs. Vraska",0.22,0.01
"Thought Scour","Duel Decks: Jace vs. Vraska",0.56,0.00
"Tragic Slip","Duel Decks: Jace vs. Vraska",0.25,0.00
"Treasured Find","Duel Decks: Jace vs. Vraska",0.23,0.01
"Underworld Connections","Duel Decks: Jace vs. Vraska",0.46,0.08
"Vinelasher Kudzu","Duel Decks: Jace vs. Vraska",0.36,0.08
"Vraska the Unseen","Duel Decks: Jace vs. Vraska",-,-
"Wight of Precinct Six","Duel Decks: Jace vs. Vraska",0.32,0.01
"Fluxcharger - Foil","Duel Decks: Jace vs. Vraska",-,-
"Woodlot Crawler - Foil","Duel Decks: Jace vs. Vraska",-,-
"Possibility Storm - Foil","Duel Decks: Jace vs. Vraska",-,-
