"Product Name",Category,"Sell Price","Buy Price"
"Alaborn Cavalier","Duel Decks: Knights vs. Dragons",0.23,0.08
"Armillary Sphere","Duel Decks: Knights vs. Dragons",0.21,0.08
"Benalish Lancer","Duel Decks: Knights vs. Dragons",0.18,0.08
"Bloodmark Mentor","Duel Decks: Knights vs. Dragons",1.43,0.08
"Bogardan Hellkite","Duel Decks: Knights vs. Dragons",-,-
"Bogardan Rager","Duel Decks: Knights vs. Dragons",0.16,0.08
"Breath of Darigaaz","Duel Decks: Knights vs. Dragons",0.20,0.08
"Captive Flame","Duel Decks: Knights vs. Dragons",0.23,0.08
"Caravan Escort","Duel Decks: Knights vs. Dragons",0.18,0.08
"Cinder Wall","Duel Decks: Knights vs. Dragons",0.16,0.08
"Claws of Valakut","Duel Decks: Knights vs. Dragons",0.21,0.08
"Cone of Flame","Duel Decks: Knights vs. Dragons",0.23,0.08
"Dragon Fodder","Duel Decks: Knights vs. Dragons",0.28,0.08
"Dragon Whelp","Duel Decks: Knights vs. Dragons",0.23,0.08
"Dragon's Claw","Duel Decks: Knights vs. Dragons",0.32,0.08
"Dragonspeaker Shaman","Duel Decks: Knights vs. Dragons",2.84,0.25
"Edge of Autumn","Duel Decks: Knights vs. Dragons",0.34,0.08
"Fiery Fall","Duel Decks: Knights vs. Dragons",0.15,0.08
"Fire-Belly Changeling","Duel Decks: Knights vs. Dragons",0.18,0.08
"Forest (43)","Duel Decks: Knights vs. Dragons",0.57,0.08
"Forest (44)","Duel Decks: Knights vs. Dragons",0.24,0.08
"Forest (45)","Duel Decks: Knights vs. Dragons",0.24,0.08
"Forest (46)","Duel Decks: Knights vs. Dragons",0.21,0.08
Ghostfire,"Duel Decks: Knights vs. Dragons",0.19,0.08
"Goblin Token","Duel Decks: Knights vs. Dragons",0.30,0.08
Grasslands,"Duel Decks: Knights vs. Dragons",1.19,0.08
"Griffin Guide","Duel Decks: Knights vs. Dragons",0.21,0.08
"Harm's Way","Duel Decks: Knights vs. Dragons",0.23,0.08
"Henge Guardian","Duel Decks: Knights vs. Dragons",0.23,0.08
"Heroes' Reunion","Duel Decks: Knights vs. Dragons",0.27,0.08
"Jaws of Stone","Duel Decks: Knights vs. Dragons",0.19,0.08
"Juniper Order Ranger","Duel Decks: Knights vs. Dragons",0.65,0.08
"Kabira Vindicator","Duel Decks: Knights vs. Dragons",0.24,0.08
"Kilnmouth Dragon","Duel Decks: Knights vs. Dragons",1.01,0.08
"Kinsbaile Cavalier","Duel Decks: Knights vs. Dragons",1.99,0.08
"Knight Exemplar","Duel Decks: Knights vs. Dragons",5.57,2.23
"Knight of Cliffhaven","Duel Decks: Knights vs. Dragons",0.17,0.08
"Knight of Meadowgrain","Duel Decks: Knights vs. Dragons",1.88,0.08
"Knight of the Reliquary","Duel Decks: Knights vs. Dragons",-,-
"Knight of the White Orchid","Duel Decks: Knights vs. Dragons",2.22,0.25
"Knotvine Paladin","Duel Decks: Knights vs. Dragons",0.48,0.08
"Leonin Skyhunter","Duel Decks: Knights vs. Dragons",0.25,0.08
"Lionheart Maverick","Duel Decks: Knights vs. Dragons",0.21,0.08
"Loxodon Warhammer","Duel Decks: Knights vs. Dragons",1.05,0.08
"Mighty Leap","Duel Decks: Knights vs. Dragons",0.15,0.08
