"Product Name",Category,"Sell Price","Buy Price"
"Allied Strategies","Duel Decks: Phyrexia vs. The Coalition",0.24,0.01
"Armadillo Cloak","Duel Decks: Phyrexia vs. The Coalition",0.71,0.00
"Bone Shredder","Duel Decks: Phyrexia vs. The Coalition",0.46,0.01
"Carrion Feeder","Duel Decks: Phyrexia vs. The Coalition",1.61,0.00
"Charging Troll","Duel Decks: Phyrexia vs. The Coalition",0.22,0.01
"Coalition Relic","Duel Decks: Phyrexia vs. The Coalition",8.30,3.32
"Darigaaz, the Igniter","Duel Decks: Phyrexia vs. The Coalition",0.79,0.08
"Darigaaz's Charm","Duel Decks: Phyrexia vs. The Coalition",0.28,0.01
"Dark Ritual","Duel Decks: Phyrexia vs. The Coalition",0.94,0.00
"Elfhame Palace","Duel Decks: Phyrexia vs. The Coalition",0.32,0.01
"Evasive Action","Duel Decks: Phyrexia vs. The Coalition",0.24,0.01
"Exotic Curse","Duel Decks: Phyrexia vs. The Coalition",0.16,0.00
"Fertile Ground","Duel Decks: Phyrexia vs. The Coalition",0.22,0.00
"Forest (70)","Duel Decks: Phyrexia vs. The Coalition",0.24,0.00
"Forest (71)","Duel Decks: Phyrexia vs. The Coalition",0.15,0.00
"Gerrard Capashen","Duel Decks: Phyrexia vs. The Coalition",0.44,0.08
"Gerrard's Command","Duel Decks: Phyrexia vs. The Coalition",0.18,0.00
Harrow,"Duel Decks: Phyrexia vs. The Coalition",0.24,0.00
"Hideous End","Duel Decks: Phyrexia vs. The Coalition",0.17,0.00
"Hornet Cannon","Duel Decks: Phyrexia vs. The Coalition",0.23,0.01
"Hornet Token","Duel Decks: Phyrexia vs. The Coalition",0.54,0.00
"Island (68)","Duel Decks: Phyrexia vs. The Coalition",0.23,0.00
"Lightning Greaves","Duel Decks: Phyrexia vs. The Coalition",7.59,3.04
"Living Death","Duel Decks: Phyrexia vs. The Coalition",3.66,1.46
"Minion Token","Duel Decks: Phyrexia vs. The Coalition",5.67,2.27
"Mountain (69)","Duel Decks: Phyrexia vs. The Coalition",0.23,0.00
"Narrow Escape","Duel Decks: Phyrexia vs. The Coalition",0.17,0.00
"Nomadic Elf","Duel Decks: Phyrexia vs. The Coalition",0.18,0.00
"Order of Yawgmoth","Duel Decks: Phyrexia vs. The Coalition",0.25,0.01
"Phyrexian Arena","Duel Decks: Phyrexia vs. The Coalition",9.49,3.80
"Phyrexian Battleflies","Duel Decks: Phyrexia vs. The Coalition",0.16,0.00
"Phyrexian Broodlings","Duel Decks: Phyrexia vs. The Coalition",0.20,0.00
"Phyrexian Colossus","Duel Decks: Phyrexia vs. The Coalition",0.33,0.08
"Phyrexian Debaser","Duel Decks: Phyrexia vs. The Coalition",0.16,0.00
"Phyrexian Defiler","Duel Decks: Phyrexia vs. The Coalition",0.22,0.01
"Phyrexian Denouncer","Duel Decks: Phyrexia vs. The Coalition",0.18,0.00
"Phyrexian Gargantua","Duel Decks: Phyrexia vs. The Coalition",0.23,0.01
"Phyrexian Ghoul","Duel Decks: Phyrexia vs. The Coalition",0.23,0.00
"Phyrexian Hulk","Duel Decks: Phyrexia vs. The Coalition",0.18,0.01
"Phyrexian Negator","Duel Decks: Phyrexia vs. The Coalition",-,-
"Phyrexian Plaguelord","Duel Decks: Phyrexia vs. The Coalition",0.42,0.08
"Phyrexian Processor","Duel Decks: Phyrexia vs. The Coalition",1.85,0.08
"Phyrexian Totem","Duel Decks: Phyrexia vs. The Coalition",0.24,0.01
"Phyrexian Vault","Duel Decks: Phyrexia vs. The Coalition",0.23,0.01
"Plains (67)","Duel Decks: Phyrexia vs. The Coalition",0.18,0.00
"Power Armor","Duel Decks: Phyrexia vs. The Coalition",0.20,0.01
"Priest of Gix","Duel Decks: Phyrexia vs. The Coalition",0.35,0.01
"Puppet Strings","Duel Decks: Phyrexia vs. The Coalition",1.28,0.01
"Quirion Elves","Duel Decks: Phyrexia vs. The Coalition",0.51,0.00
"Rith, the Awakener","Duel Decks: Phyrexia vs. The Coalition",1.42,0.08
"Rith's Charm","Duel Decks: Phyrexia vs. The Coalition",0.27,0.01
"Sanguine Guard","Duel Decks: Phyrexia vs. The Coalition",0.25,0.01
"Saproling Token","Duel Decks: Phyrexia vs. The Coalition",0.24,0.00
"Shivan Oasis","Duel Decks: Phyrexia vs. The Coalition",0.26,0.01
Slay,"Duel Decks: Phyrexia vs. The Coalition",0.24,0.01
"Sunscape Battlemage","Duel Decks: Phyrexia vs. The Coalition",0.21,0.01
"Swamp (32)","Duel Decks: Phyrexia vs. The Coalition",0.17,0.00
"Swamp (33)","Duel Decks: Phyrexia vs. The Coalition",0.17,0.00
"Swamp (34)","Duel Decks: Phyrexia vs. The Coalition",0.19,0.00
"Swamp (35)","Duel Decks: Phyrexia vs. The Coalition",0.20,0.00
"Tendrils of Corruption","Duel Decks: Phyrexia vs. The Coalition",0.24,0.00
"Terramorphic Expanse","Duel Decks: Phyrexia vs. The Coalition",0.24,0.00
"Thornscape Apprentice","Duel Decks: Phyrexia vs. The Coalition",0.15,0.00
"Thornscape Battlemage","Duel Decks: Phyrexia vs. The Coalition",0.22,0.01
"Thunderscape Battlemage","Duel Decks: Phyrexia vs. The Coalition",0.22,0.01
"Treva, the Renewer","Duel Decks: Phyrexia vs. The Coalition",0.94,0.08
"Treva's Charm","Duel Decks: Phyrexia vs. The Coalition",0.32,0.01
"Tribal Flames","Duel Decks: Phyrexia vs. The Coalition",0.22,0.00
"Urza's Rage","Duel Decks: Phyrexia vs. The Coalition",-,-
"Verduran Emissary","Duel Decks: Phyrexia vs. The Coalition",0.24,0.01
"Voltaic Key","Duel Decks: Phyrexia vs. The Coalition",2.27,0.25
"Whispersilk Cloak","Duel Decks: Phyrexia vs. The Coalition",0.95,0.01
"Worn Powerstone","Duel Decks: Phyrexia vs. The Coalition",1.59,0.01
"Yavimaya Elder","Duel Decks: Phyrexia vs. The Coalition",1.12,0.00
"Urza's Rage - Foil","Duel Decks: Phyrexia vs. The Coalition",0.13,0.25
"Phyrexian Negator - Foil","Duel Decks: Phyrexia vs. The Coalition",0.27,0.25
