"Product Name",Category,"Sell Price","Buy Price"
"Absorb Vis","Duel Decks: Sorin vs. Tibalt",0.17,0.08
"Akoum Refuge","Duel Decks: Sorin vs. Tibalt",0.24,0.08
"Ancient Craving","Duel Decks: Sorin vs. Tibalt",0.47,0.08
"Ashmouth Hound","Duel Decks: Sorin vs. Tibalt",0.19,0.08
"Blazing Salvo","Duel Decks: Sorin vs. Tibalt",0.27,0.08
Blightning,"Duel Decks: Sorin vs. Tibalt",0.60,0.08
"Bloodrage Vampire","Duel Decks: Sorin vs. Tibalt",0.19,0.08
"Breaking Point","Duel Decks: Sorin vs. Tibalt",0.48,0.08
Browbeat,"Duel Decks: Sorin vs. Tibalt",0.86,0.08
"Bump in the Night","Duel Decks: Sorin vs. Tibalt",0.24,0.08
"Butcher of Malakir","Duel Decks: Sorin vs. Tibalt",0.60,0.08
"Child of Night","Duel Decks: Sorin vs. Tibalt",0.16,0.08
"Coal Stoker","Duel Decks: Sorin vs. Tibalt",0.17,0.08
"Corpse Connoisseur","Duel Decks: Sorin vs. Tibalt",0.31,0.08
"Death Grasp","Duel Decks: Sorin vs. Tibalt",0.44,0.08
Decompose,"Duel Decks: Sorin vs. Tibalt",0.21,0.08
"Devil's Play","Duel Decks: Sorin vs. Tibalt",0.41,0.08
"Doomed Traveler","Duel Decks: Sorin vs. Tibalt",0.17,0.08
"Duskhunter Bat","Duel Decks: Sorin vs. Tibalt",0.14,0.08
"Evolving Wilds","Duel Decks: Sorin vs. Tibalt",0.17,0.08
"Faithless Looting","Duel Decks: Sorin vs. Tibalt",1.41,0.08
"Field of Souls","Duel Decks: Sorin vs. Tibalt",0.40,0.08
"Fiend Hunter","Duel Decks: Sorin vs. Tibalt",0.24,0.08
"Flame Javelin","Duel Decks: Sorin vs. Tibalt",0.24,0.08
"Flame Slash","Duel Decks: Sorin vs. Tibalt",0.37,0.08
"Gang of Devils","Duel Decks: Sorin vs. Tibalt",0.20,0.08
"Gatekeeper of Malakir","Duel Decks: Sorin vs. Tibalt",1.87,0.08
Geistflame,"Duel Decks: Sorin vs. Tibalt",0.17,0.08
"Goblin Arsonist","Duel Decks: Sorin vs. Tibalt",0.23,0.08
Hellrider,"Duel Decks: Sorin vs. Tibalt",0.48,0.08
"Hellspark Elemental","Duel Decks: Sorin vs. Tibalt",0.94,0.08
"Lavaborn Muse","Duel Decks: Sorin vs. Tibalt",0.31,0.08
"Lingering Souls","Duel Decks: Sorin vs. Tibalt",0.84,0.08
"Mad Prophet","Duel Decks: Sorin vs. Tibalt",0.18,0.08
"Mark of the Vampire","Duel Decks: Sorin vs. Tibalt",0.20,0.08
"Mausoleum Guard","Duel Decks: Sorin vs. Tibalt",0.21,0.08
"Mesmeric Fiend","Duel Decks: Sorin vs. Tibalt",0.22,0.08
Mortify,"Duel Decks: Sorin vs. Tibalt",0.52,0.08
"Mountain (75)","Duel Decks: Sorin vs. Tibalt",0.19,0.08
"Mountain (76)","Duel Decks: Sorin vs. Tibalt",0.21,0.08
"Mountain (77)","Duel Decks: Sorin vs. Tibalt",0.18,0.08
"Phantom General","Duel Decks: Sorin vs. Tibalt",0.21,0.08
"Plains (38)","Duel Decks: Sorin vs. Tibalt",0.24,0.08
"Plains (39)","Duel Decks: Sorin vs. Tibalt",0.24,0.08
"Plains (40)","Duel Decks: Sorin vs. Tibalt",0.19,0.08
Pyroclasm,"Duel Decks: Sorin vs. Tibalt",0.42,0.08
"Rakdos Carnarium","Duel Decks: Sorin vs. Tibalt",0.24,0.08
"Reassembling Skeleton","Duel Decks: Sorin vs. Tibalt",0.25,0.08
Recoup,"Duel Decks: Sorin vs. Tibalt",0.28,0.08
"Revenant Patriarch","Duel Decks: Sorin vs. Tibalt",0.22,0.08
"Scorched Rusalka","Duel Decks: Sorin vs. Tibalt",0.20,0.08
"Scourge Devil","Duel Decks: Sorin vs. Tibalt",0.23,0.08
"Sengir Vampire","Duel Decks: Sorin vs. Tibalt",0.21,0.08
"Shambling Remains","Duel Decks: Sorin vs. Tibalt",0.22,0.08
"Skirsdag Cultist","Duel Decks: Sorin vs. Tibalt",0.20,0.08
"Sorin, Lord of Innistrad","Duel Decks: Sorin vs. Tibalt",-,-
"Sorin's Thirst","Duel Decks: Sorin vs. Tibalt",0.21,0.08
"Spectral Procession","Duel Decks: Sorin vs. Tibalt",0.48,0.08
"Spirit Token","Duel Decks: Sorin vs. Tibalt",0.24,0.08
"Strangling Soot","Duel Decks: Sorin vs. Tibalt",0.16,0.08
"Sulfuric Vortex","Duel Decks: Sorin vs. Tibalt",0.62,0.08
"Swamp (35)","Duel Decks: Sorin vs. Tibalt",0.14,0.08
"Swamp (36)","Duel Decks: Sorin vs. Tibalt",0.15,0.08
"Swamp (37)","Duel Decks: Sorin vs. Tibalt",0.21,0.08
"Swamp (78)","Duel Decks: Sorin vs. Tibalt",0.27,0.08
"Swamp (79)","Duel Decks: Sorin vs. Tibalt",0.42,0.08
"Swamp (80)","Duel Decks: Sorin vs. Tibalt",0.22,0.08
"Tainted Field","Duel Decks: Sorin vs. Tibalt",0.45,0.08
Terminate,"Duel Decks: Sorin vs. Tibalt",1.18,0.08
"Tibalt, the Fiend-Blooded","Duel Decks: Sorin vs. Tibalt",-,-
"Torrent of Souls","Duel Decks: Sorin vs. Tibalt",0.23,0.08
"Twilight Drover","Duel Decks: Sorin vs. Tibalt",2.26,0.25
Unmake,"Duel Decks: Sorin vs. Tibalt",1.11,0.08
"Urge to Feed","Duel Decks: Sorin vs. Tibalt",0.28,0.08
"Vampire Lacerator","Duel Decks: Sorin vs. Tibalt",0.19,0.08
"Vampire Nighthawk","Duel Decks: Sorin vs. Tibalt",0.59,0.08
"Vampire Outcasts","Duel Decks: Sorin vs. Tibalt",0.21,0.08
"Vampire's Bite","Duel Decks: Sorin vs. Tibalt",0.20,0.08
