"Product Name",Category,"Sell Price","Buy Price"
"Act of Treason","Duel Decks: Speed vs. Cunning",0.14,0.08
"Aquamorph Entity","Duel Decks: Speed vs. Cunning",0.14,0.08
"Arc Trail","Duel Decks: Speed vs. Cunning",0.23,0.08
"Arcanis the Omnipotent","Duel Decks: Speed vs. Cunning",-,-
"Arrow Volley Trap","Duel Decks: Speed vs. Cunning",0.18,0.08
Banefire,"Duel Decks: Speed vs. Cunning",1.90,0.08
"Beetleback Chief","Duel Decks: Speed vs. Cunning",0.24,0.08
"Bone Splinters","Duel Decks: Speed vs. Cunning",0.14,0.08
"Coral Trickster","Duel Decks: Speed vs. Cunning",0.14,0.08
"Dauntless Onslaught","Duel Decks: Speed vs. Cunning",0.19,0.08
"Dregscape Zombie","Duel Decks: Speed vs. Cunning",0.17,0.08
"Echo Tracer","Duel Decks: Speed vs. Cunning",0.24,0.08
"Evolving Wilds","Duel Decks: Speed vs. Cunning",0.18,0.08
"Faerie Impostor","Duel Decks: Speed vs. Cunning",0.19,0.08
"Faerie Invaders","Duel Decks: Speed vs. Cunning",0.14,0.08
"Fathom Seer","Duel Decks: Speed vs. Cunning",0.14,0.08
"Fiery Fall","Duel Decks: Speed vs. Cunning",0.14,0.08
"Flame-Kin Zealot","Duel Decks: Speed vs. Cunning",0.23,0.08
"Fleeting Distraction","Duel Decks: Speed vs. Cunning",0.14,0.08
"Fleshbag Marauder","Duel Decks: Speed vs. Cunning",0.28,0.08
"Frenzied Goblin","Duel Decks: Speed vs. Cunning",0.24,0.08
"Fury of the Horde","Duel Decks: Speed vs. Cunning",3.14,1.26
"Ghitu Encampment","Duel Decks: Speed vs. Cunning",0.23,0.08
"Goblin Bombardment","Duel Decks: Speed vs. Cunning",4.68,1.87
"Goblin Deathraiders","Duel Decks: Speed vs. Cunning",0.15,0.08
"Goblin Token","Duel Decks: Speed vs. Cunning",0.23,0.08
"Goblin Warchief","Duel Decks: Speed vs. Cunning",0.70,0.08
"Hellraiser Goblin","Duel Decks: Speed vs. Cunning",0.19,0.08
"Hell's Thunder","Duel Decks: Speed vs. Cunning",0.39,0.08
"Hold the Line","Duel Decks: Speed vs. Cunning",0.37,0.08
"Hussar Patrol","Duel Decks: Speed vs. Cunning",0.14,0.08
Impulse,"Duel Decks: Speed vs. Cunning",0.55,0.08
"Infantry Veteran","Duel Decks: Speed vs. Cunning",0.14,0.08
"Inferno Trap","Duel Decks: Speed vs. Cunning",0.18,0.08
"Island (75)","Duel Decks: Speed vs. Cunning",0.13,0.08
"Island (76)","Duel Decks: Speed vs. Cunning",0.13,0.08
"Island (77)","Duel Decks: Speed vs. Cunning",0.14,0.08
"Jeskai Elder","Duel Decks: Speed vs. Cunning",0.18,0.08
"Kathari Bomber","Duel Decks: Speed vs. Cunning",0.14,0.08
"Kor Hookmaster","Duel Decks: Speed vs. Cunning",0.14,0.08
"Krenko, Mob Boss","Duel Decks: Speed vs. Cunning",4.28,1.71
"Krenko's Command","Duel Decks: Speed vs. Cunning",0.19,0.08
"Leonin Snarecaster","Duel Decks: Speed vs. Cunning",0.14,0.08
"Lightning Angel","Duel Decks: Speed vs. Cunning",0.43,0.08
"Lightning Helix","Duel Decks: Speed vs. Cunning",1.86,0.08
"Lone Missionary","Duel Decks: Speed vs. Cunning",0.33,0.08
"Mana Leak","Duel Decks: Speed vs. Cunning",0.30,0.08
"Mardu Heart-Piercer","Duel Decks: Speed vs. Cunning",0.17,0.08
"Master Decoy","Duel Decks: Speed vs. Cunning",0.14,0.08
"Mountain (35)","Duel Decks: Speed vs. Cunning",0.13,0.08
"Mountain (36)","Duel Decks: Speed vs. Cunning",0.13,0.08
"Mountain (37)","Duel Decks: Speed vs. Cunning",0.14,0.08
"Mountain (78)","Duel Decks: Speed vs. Cunning",0.13,0.08
"Mystic Monastery","Duel Decks: Speed vs. Cunning",0.33,0.08
"Nomad Outpost","Duel Decks: Speed vs. Cunning",0.32,0.08
"Ogre Battledriver","Duel Decks: Speed vs. Cunning",0.57,0.08
"Oni of Wild Places","Duel Decks: Speed vs. Cunning",0.19,0.08
"Orcish Cannonade","Duel Decks: Speed vs. Cunning",0.14,0.08
"Plains (38)","Duel Decks: Speed vs. Cunning",0.13,0.08
"Plains (79)","Duel Decks: Speed vs. Cunning",0.13,0.08
