"Product Name",Category,"Sell Price","Buy Price"
"Abandon Reason","Eldritch Moon",0.23,0.08
"Abundant Maw","Eldritch Moon",0.24,0.08
"Advanced Stitchwing","Eldritch Moon",0.24,0.08
"Alchemist's Greeting","Eldritch Moon",0.15,0.08
"Assembled Alphas","Eldritch Moon",0.32,0.08
"Backwoods Survivalists","Eldritch Moon",0.15,0.08
"Bedlam Reveler","Eldritch Moon",2.85,0.25
"Blessed Alliance","Eldritch Moon",0.64,0.08
"Blood Mist","Eldritch Moon",0.24,0.08
Bloodbriar,"Eldritch Moon",0.17,0.08
"Bloodhall Priest","Eldritch Moon",0.34,0.08
"Bold Impaler","Eldritch Moon",0.14,0.08
"Boon of Emrakul","Eldritch Moon",0.14,0.08
"Borrowed Grace","Eldritch Moon",0.15,0.08
"Borrowed Hostility","Eldritch Moon",0.18,0.08
"Borrowed Malevolence","Eldritch Moon",0.14,0.08
"Brazen Wolves","Eldritch Moon",0.14,0.08
"Bruna, the Fading Light","Eldritch Moon",1.42,0.08
"Campaign of Vengeance","Eldritch Moon",0.24,0.08
"Cathar's Shield","Eldritch Moon",0.20,0.08
"Cemetery Recruitment","Eldritch Moon",0.18,0.08
"Certain Death","Eldritch Moon",0.14,0.08
"Checklist Card - Eldritch Moon","Eldritch Moon",0.14,0.08
"Chilling Grasp","Eldritch Moon",0.21,0.08
"Choking Restraints","Eldritch Moon",0.15,0.08
"Clear Shot","Eldritch Moon",0.23,0.08
"Coax from the Blind Eternities","Eldritch Moon",0.33,0.08
"Collective Brutality","Eldritch Moon",11.93,5.37
"Collective Defiance","Eldritch Moon",0.59,0.08
"Collective Effort","Eldritch Moon",0.48,0.08
"Conduit of Storms","Eldritch Moon",0.23,0.08
"Contingency Plan","Eldritch Moon",0.16,0.08
Convolute,"Eldritch Moon",0.15,0.08
"Courageous Outrider","Eldritch Moon",0.23,0.08
"Crop Sigil","Eldritch Moon",0.24,0.08
"Crossroads Consecrator","Eldritch Moon",0.15,0.08
Cryptbreaker,"Eldritch Moon",3.69,1.48
"Cryptolith Fragment","Eldritch Moon",0.25,0.08
"Cultist's Staff","Eldritch Moon",0.15,0.08
"Curious Homunculus","Eldritch Moon",0.31,0.08
"Dark Salvation","Eldritch Moon",0.77,0.08
"Dawn Gryff","Eldritch Moon",0.14,0.08
"Decimator of the Provinces","Eldritch Moon",0.99,0.08
"Deploy the Gatewatch","Eldritch Moon",2.20,0.25
"Deranged Whelp","Eldritch Moon",0.22,0.08
"Desperate Sentry","Eldritch Moon",0.14,0.08
Displace,"Eldritch Moon",0.19,0.08
"Distemper of the Blood","Eldritch Moon",0.17,0.08
"Distended Mindbender","Eldritch Moon",0.47,0.08
"Docent of Perfection","Eldritch Moon",1.42,0.08
"Drag Under","Eldritch Moon",0.14,0.08
"Drogskol Shieldmate","Eldritch Moon",0.21,0.08
"Drownyard Behemoth","Eldritch Moon",0.23,0.08
"Dusk Feaster","Eldritch Moon",0.23,0.08
"Elder Deep-Fiend","Eldritch Moon",0.53,0.08
"Eldrazi Horror Token","Eldritch Moon",0.18,0.08
"Eldritch Evolution","Eldritch Moon",3.99,1.60
"Emblem - Liliana, the Last Hope","Eldritch Moon",0.47,0.08
"Emblem - Tamiyo, Field Researcher","Eldritch Moon",0.44,0.08
"Emrakul, the Promised End","Eldritch Moon",23.10,10.40
"Emrakul's Evangel","Eldritch Moon",0.32,0.08
"Emrakul's Influence","Eldritch Moon",0.23,0.08
"Enlightened Maniac","Eldritch Moon",0.14,0.08
"Eternal Scourge","Eldritch Moon",0.68,0.08
"Extricator of Sin","Eldritch Moon",0.23,0.08
"Exultant Cultist","Eldritch Moon",0.14,0.08
"Faith Unbroken","Eldritch Moon",0.22,0.08
"Faithbearer Paladin","Eldritch Moon",0.15,0.08
"Falkenrath Reaver","Eldritch Moon",0.15,0.08
"Field Creeper","Eldritch Moon",0.15,0.08
"Fiend Binder","Eldritch Moon",0.15,0.08
Fogwalker,"Eldritch Moon",0.14,0.08
"Fortune's Favor","Eldritch Moon",0.22,0.08
"Foul Emissary","Eldritch Moon",0.24,0.08
"Furyblade Vampire","Eldritch Moon",0.24,0.08
"Galvanic Bombardment","Eldritch Moon",0.22,0.08
"Gavony Unhallowed","Eldritch Moon",0.15,0.08
"Geier Reach Sanitarium","Eldritch Moon",2.50,0.25
"Geist of the Archives","Eldritch Moon",0.25,0.08
"Geist of the Lonely Vigil","Eldritch Moon",0.24,0.08
"Geist-Fueled Scarecrow","Eldritch Moon",0.23,0.08
"Gisa and Geralf","Eldritch Moon",2.31,0.25
"Gisela, the Broken Blade","Eldritch Moon",8.95,3.58
"Give No Ground","Eldritch Moon",0.23,0.08
