"Product Name",Category,"Sell Price","Buy Price"
"Aerie Ouphes",Eventide,0.18,0.08
"Altar Golem",Eventide,0.47,0.08
"Antler Skulkin",Eventide,0.19,0.08
"Archon of Justice",Eventide,0.56,0.08
"Ashling, the Extinguisher",Eventide,3.96,1.58
"Balefire Liege",Eventide,16.08,7.24
"Ballynock Trapper",Eventide,0.17,0.08
"Banishing Knack",Eventide,0.28,0.08
"Battlegate Mimic",Eventide,0.17,0.08
"Batwing Brume",Eventide,1.19,0.08
"Beast Token",Eventide,0.29,0.08
"Beckon Apparition",Eventide,0.18,0.08
"Belligerent Hatchling",Eventide,0.24,0.08
"Bird Token",Eventide,0.25,0.08
"Bloodied Ghost",Eventide,0.24,0.08
"Bloom Tender",Eventide,53.40,29.37
"Cache Raiders",Eventide,0.24,0.08
"Call the Skybreaker",Eventide,0.46,0.08
"Canker Abomination",Eventide,0.24,0.08
"Cankerous Thirst",Eventide,0.23,0.08
"Cascade Bluffs",Eventide,10.44,4.70
"Cauldron Haze",Eventide,0.67,0.08
"Cenn's Enlistment",Eventide,0.19,0.08
"Chaotic Backlash",Eventide,0.24,0.08
"Cinder Pyromancer",Eventide,0.21,0.08
"Clout of the Dominus",Eventide,0.33,0.08
"Cold-Eyed Selkie",Eventide,0.75,0.08
Crackleburr,Eventide,1.69,0.08
"Crag Puca",Eventide,0.24,0.08
"Creakwood Ghoul",Eventide,0.24,0.08
"Creakwood Liege",Eventide,3.52,1.41
"Crumbling Ashes",Eventide,7.01,2.80
"Deathbringer Liege",Eventide,12.23,5.50
"Deity of Scars",Eventide,3.79,1.52
"Desecrator Hag",Eventide,0.17,0.08
"Divinity of Pride",Eventide,3.35,1.34
"Dominus of Fealty",Eventide,3.17,1.27
Doomgape,Eventide,0.75,0.08
"Double Cleave",Eventide,0.22,0.08
"Drain the Well",Eventide,0.20,0.08
"Dream Fracture",Eventide,0.39,0.08
"Dream Thief",Eventide,0.23,0.08
"Duergar Assailant",Eventide,0.18,0.08
"Duergar Cave-Guard",Eventide,0.24,0.08
"Duergar Hedge-Mage",Eventide,0.56,0.08
"Duergar Mine-Captain",Eventide,0.28,0.08
"Duskdale Wurm",Eventide,0.23,0.08
"Edge of the Divinity",Eventide,0.71,0.08
"Elemental Token (Blue/Red)",Eventide,0.28,0.08
"Endless Horizons",Eventide,8.44,3.38
Endure,Eventide,0.23,0.08
Evershrike,Eventide,1.13,0.08
"Fable of Wolf and Owl",Eventide,3.79,1.52
"Fang Skulkin",Eventide,0.21,0.08
"Favor of the Overbeing",Eventide,0.24,0.08
"Fetid Heath",Eventide,10.49,4.72
"Fiery Bombardment",Eventide,0.43,0.08
"Figure of Destiny",Eventide,1.43,0.08
"Fire at Will",Eventide,0.17,0.08
"Flame Jab",Eventide,0.21,0.08
Flickerwisp,Eventide,1.25,0.08
"Flooded Grove",Eventide,8.79,3.52
"Gift of the Deity",Eventide,0.19,0.08
"Gilder Bairn",Eventide,3.32,1.33
Glamerdye,Eventide,0.47,0.08
"Glen Elendra Archmage",Eventide,9.49,3.80
"Goat Token",Eventide,0.32,0.08
"Goblin Soldier Token",Eventide,0.23,0.08
"Grazing Kelpie",Eventide,0.18,0.08
"Groundling Pouncer",Eventide,0.24,0.08
"Gwyllion Hedge-Mage",Eventide,0.24,0.08
"Hag Hedge-Mage",Eventide,0.25,0.08
"Hallowed Burial",Eventide,1.49,0.08
"Harvest Gwyllion",Eventide,0.16,0.08
"Hatchet Bully",Eventide,0.23,0.08
Hateflayer,Eventide,2.85,0.25
"Hearthfire Hobgoblin",Eventide,0.33,0.08
"Heartlash Cinder",Eventide,0.18,0.08
"Helix Pinnacle",Eventide,21.16,9.52
"Hobgoblin Dragoon",Eventide,0.18,0.08
"Hoof Skulkin",Eventide,0.19,0.08
"Hotheaded Giant",Eventide,0.15,0.08
"Idle Thoughts",Eventide,0.24,0.08
"Impelled Giant",Eventide,0.24,0.08
"Indigo Faerie",Eventide,0.23,0.08
"Inside Out",Eventide,0.46,0.08
Inundate,Eventide,3.46,1.38
"Invert the Skies",Eventide,0.24,0.08
"Jawbone Skulkin",Eventide,0.19,0.08
"Kithkin Spellduster",Eventide,0.17,0.08
"Kithkin Zealot",Eventide,0.17,0.08
"Leering Emblem",Eventide,0.48,0.08
"Light from Within",Eventide,1.94,0.08
"Lingering Tormentor",Eventide,0.29,0.08
"Loyal Gyrfalcon",Eventide,0.24,0.08
"Marshdrinker Giant",Eventide,0.22,0.08
"Merrow Bonegnawer",Eventide,0.16,0.08
"Merrow Levitator",Eventide,0.17,0.08
"Mindwrack Liege",Eventide,2.94,0.25
"Mirror Sheen",Eventide,0.96,0.08
Monstrify,Eventide,0.15,0.08
Moonhold,Eventide,0.24,0.08
"Murkfiend Liege",Eventide,3.80,1.52
Necroskitter,Eventide,10.18,4.58
"Needle Specter",Eventide,1.61,0.08
"Nettle Sentinel",Eventide,0.75,0.08
"Nightmare Incursion",Eventide,0.87,0.08
"Nightsky Mimic",Eventide,0.24,0.08
"Nip Gwyllion",Eventide,0.24,0.08
"Nobilis of War",Eventide,0.47,0.08
"Noggle Bandit",Eventide,0.18,0.08
"Noggle Bridgebreaker",Eventide,0.16,0.08
"Noggle Hedge-Mage",Eventide,0.24,0.08
"Noggle Ransacker",Eventide,0.24,0.08
"Noxious Hatchling",Eventide,0.46,0.08
Nucklavee,Eventide,0.23,0.08
"Odious Trow",Eventide,0.19,0.08
"Oona's Grace",Eventide,0.17,0.08
"Outrage Shaman",Eventide,0.24,0.08
"Overbeing of Myth",Eventide,3.77,1.51
"Patrol Signaler",Eventide,0.29,0.08
"Phosphorescent Feast",Eventide,0.24,0.08
Primalcrux,Eventide,6.29,2.52
"Puncture Blast",Eventide,0.18,0.08
"Pyrrhic Revival",Eventide,0.48,0.08
Quillspike,Eventide,1.95,0.08
"Raven's Crime",Eventide,0.95,0.08
"Razorfin Abolisher",Eventide,0.27,0.08
"Recumbent Bliss",Eventide,0.23,0.08
"Regal Force",Eventide,1.94,0.08
"Rekindled Flame",Eventide,0.45,0.08
"Rendclaw Trow",Eventide,0.24,0.08
"Restless Apparition",Eventide,0.24,0.08
"Rise of the Hobgoblins",Eventide,3.31,1.32
"Riverfall Mimic",Eventide,0.18,0.08
"Rugged Prairie",Eventide,6.18,2.47
