"Product Name",Category,"Sell Price","Buy Price"
"Aether Tide",Exodus,0.17,0.00
Allay,Exodus,0.20,0.00
Anarchist,Exodus,0.18,0.00
"Angelic Blessing",Exodus,0.17,0.00
"Avenging Druid",Exodus,0.19,0.00
Bequeathal,Exodus,0.21,0.00
Carnophage,Exodus,0.32,0.00
Cartographer,Exodus,0.23,0.00
"Cat Burglar",Exodus,0.17,0.00
Cataclysm,Exodus,6.07,2.85
"Charging Paladin",Exodus,0.18,0.00
"Cinder Crawler",Exodus,0.16,0.00
"City of Traitors",Exodus,208.94,125.36
"Coat of Arms",Exodus,9.49,4.46
Convalescence,Exodus,0.41,0.00
"Crashing Boars",Exodus,0.22,0.00
"Culling the Weak",Exodus,1.18,0.10
Cunning,Exodus,0.17,0.00
Curiosity,Exodus,0.39,0.00
"Cursed Flesh",Exodus,0.17,0.00
"Dauthi Cutthroat",Exodus,0.25,0.00
"Dauthi Jackal",Exodus,0.20,0.00
"Dauthi Warlord",Exodus,0.35,0.00
"Death's Duet",Exodus,0.17,0.00
"Dizzying Gaze",Exodus,0.17,0.00
"Dominating Licid",Exodus,3.22,1.51
"Elven Palisade",Exodus,0.23,0.00
"Elvish Berserker",Exodus,0.16,0.00
"Entropic Specter",Exodus,0.42,0.00
Ephemeron,Exodus,0.40,0.00
Equilibrium,Exodus,7.84,3.68
"Erratic Portal",Exodus,4.55,2.14
"Ertai, Wizard Adept",Exodus,9.74,4.58
"Exalted Dragon",Exodus,0.51,0.10
"Fade Away",Exodus,0.48,0.00
"Fighting Chance",Exodus,0.56,0.10
"Flowstone Flood",Exodus,0.23,0.00
Forbid,Exodus,2.21,0.25
Fugue,Exodus,0.21,0.00
"Furnace Brood",Exodus,0.17,0.00
Grollub,Exodus,0.17,0.00
Hatred,Exodus,16.51,7.76
"High Ground",Exodus,0.27,0.00
"Jackalope Herd",Exodus,0.16,0.00
"Keeper of the Beasts",Exodus,0.23,0.00
"Keeper of the Dead",Exodus,0.24,0.00
"Keeper of the Flame",Exodus,0.23,0.00
"Keeper of the Light",Exodus,0.22,0.00
"Keeper of the Mind",Exodus,0.23,0.00
"Killer Whale",Exodus,0.23,0.00
"Kor Chant",Exodus,0.16,0.00
"Limited Resources",Exodus,0.95,0.10
"Mage il-Vec",Exodus,0.17,0.00
"Mana Breach",Exodus,4.22,1.98
Manabond,Exodus,5.31,2.50
"Maniacal Rage",Exodus,0.17,0.00
"Medicine Bag",Exodus,0.36,0.00
"Memory Crystal",Exodus,0.66,0.10
"Merfolk Looter",Exodus,0.18,0.00
"Mind Maggots",Exodus,0.23,0.00
"Mind Over Matter",Exodus,22.55,10.60
"Mindless Automaton",Exodus,0.41,0.00
Mirozel,Exodus,0.23,0.00
"Mirri, Cat Warrior",Exodus,1.87,0.10
"Mogg Assassin",Exodus,0.71,0.10
"Monstrous Hound",Exodus,0.39,0.00
Nausea,Exodus,0.18,0.00
Necrologia,Exodus,0.38,0.00
"Null Brooch",Exodus,1.29,0.10
"Oath of Druids",Exodus,3.10,1.46
"Oath of Ghouls",Exodus,4.28,2.01
"Oath of Lieges",Exodus,3.44,1.62
"Oath of Mages",Exodus,0.41,0.00
"Oath of Scholars",Exodus,0.43,0.00
"Ogre Shaman",Exodus,0.41,0.00
Onslaught,Exodus,0.19,0.00
"Paladin en-Vec",Exodus,0.81,0.10
Pandemonium,Exodus,1.57,0.10
Paroxysm,Exodus,0.23,0.00
"Peace of Mind",Exodus,0.24,0.00
"Pegasus Stampede",Exodus,0.23,0.00
Penance,Exodus,0.39,0.00
"Pit Spawn",Exodus,0.58,0.10
Plaguebearer,Exodus,0.84,0.10
"Plated Rootwalla",Exodus,0.17,0.00
"Predatory Hunger",Exodus,0.24,0.00
"Price of Progress",Exodus,2.46,0.25
"Pygmy Troll",Exodus,0.16,0.00
"Rabid Wolverines",Exodus,0.16,0.00
"Raging Goblin",Exodus,0.18,0.00
"Ravenous Baboons",Exodus,0.59,0.10
"Reaping the Rewards",Exodus,0.18,0.00
"Reckless Ogre",Exodus,0.18,0.00
Reclaim,Exodus,0.17,0.00
Reconnaissance,Exodus,8.47,3.98
"Recurring Nightmare",Exodus,21.37,10.04
Resuscitate,Exodus,0.24,0.00
"Robe of Mirrors",Exodus,0.19,0.00
"Rootwater Alligator",Exodus,0.18,0.00
"Rootwater Mystic",Exodus,0.18,0.00
"Sabertooth Wyvern",Exodus,0.24,0.00
"Scalding Salamander",Exodus,0.23,0.00
"Scare Tactics",Exodus,0.18,0.00
"School of Piranha",Exodus,0.17,0.00
Scrivener,Exodus,0.23,0.00
"Seismic Assault",Exodus,2.96,0.25
Shackles,Exodus,0.18,0.00
"Shattering Pulse",Exodus,0.23,0.00
"Shield Mate",Exodus,0.18,0.00
Skyshaper,Exodus,0.24,0.00
"Skyshroud Elite",Exodus,0.33,0.00
"Skyshroud War Beast",Exodus,0.47,0.00
Slaughter,Exodus,0.29,0.00
"Soltari Visionary",Exodus,0.24,0.00
"Song of Serenity",Exodus,0.23,0.00
"Sonic Burst",Exodus,0.18,0.00
"Soul Warden",Exodus,0.54,0.10
Spellbook,Exodus,1.74,0.10
Spellshock,Exodus,0.71,0.10
"Sphere of Resistance",Exodus,19.89,9.35
"Spike Cannibal",Exodus,0.25,0.00
"Spike Hatcher",Exodus,0.46,0.00
"Spike Rogue",Exodus,0.24,0.00
"Spike Weaver",Exodus,8.57,4.03
"Standing Troops",Exodus,0.16,0.00
"Survival of the Fittest",Exodus,94.06,44.21
"Thalakos Drifters",Exodus,0.43,0.00
"Thalakos Scout",Exodus,0.16,0.00
"Theft of Dreams",Exodus,0.18,0.00
"Thopter Squadron",Exodus,0.77,0.10
"Thrull Surgeon",Exodus,0.17,0.00
"Transmogrifying Licid",Exodus,0.24,0.00
"Treasure Hunter",Exodus,0.24,0.00
"Treasure Trove",Exodus,0.24,0.00
"Vampire Hounds",Exodus,0.18,0.00
"Volrath's Dungeon",Exodus,0.43,0.00
"Wall of Nets",Exodus,3.52,1.65
"Wayward Soul",Exodus,0.16,0.00
"Welkin Hawk",Exodus,0.18,0.00
"Whiptongue Frog",Exodus,0.16,0.00
"Wood Elves",Exodus,0.48,0.00
Workhorse,Exodus,1.86,0.10
"Zealots en-Dal",Exodus,0.21,0.00
