"Product Name",Category,"Sell Price","Buy Price"
"Abzan Advantage","Fate Reforged",0.14,0.08
"Abzan Beastmaster","Fate Reforged",0.24,0.08
"Abzan Kin-Guard","Fate Reforged",0.21,0.08
"Abzan Runemark","Fate Reforged",0.15,0.08
"Abzan Skycaptain","Fate Reforged",0.14,0.08
"Ainok Guide","Fate Reforged",0.14,0.08
"Alesha, Who Smiles at Death","Fate Reforged",0.47,0.08
"Alesha's Vanguard","Fate Reforged",0.14,0.08
"Ambush Krotiq","Fate Reforged",0.14,0.08
"Ancestral Vengeance","Fate Reforged",0.14,0.08
"Arashin Cleric","Fate Reforged",0.18,0.08
"Arashin War Beast","Fate Reforged",0.22,0.08
Arcbond,"Fate Reforged",0.37,0.08
"Archers of Qarsi","Fate Reforged",0.14,0.08
"Archfiend of Depravity","Fate Reforged",1.14,0.08
"Atarka, World Render","Fate Reforged",0.52,0.08
"Aven Skirmisher","Fate Reforged",0.14,0.08
"Aven Surveyor","Fate Reforged",0.14,0.08
"Bathe in Dragonfire","Fate Reforged",0.14,0.08
"Battle Brawler","Fate Reforged",0.23,0.08
"Battlefront Krushok","Fate Reforged",0.23,0.08
"Bloodfell Caves","Fate Reforged",0.21,0.08
"Bloodfire Enforcers","Fate Reforged",0.22,0.08
"Blossoming Sands","Fate Reforged",0.23,0.08
"Break Through the Line","Fate Reforged",0.24,0.08
"Brutal Hordechief","Fate Reforged",0.94,0.08
"Cached Defenses","Fate Reforged",0.21,0.08
"Channel Harm","Fate Reforged",0.21,0.08
"Citadel Siege","Fate Reforged",0.37,0.08
Cloudform,"Fate Reforged",0.24,0.08
"Collateral Damage","Fate Reforged",0.15,0.08
"Crucible of the Spirit Dragon","Fate Reforged",0.41,0.08
"Crux of Fate","Fate Reforged",0.86,0.08
"Cunning Strike","Fate Reforged",0.14,0.08
"Daghatar the Adamant","Fate Reforged",0.32,0.08
"Dark Deal","Fate Reforged",0.88,0.08
"Defiant Ogre","Fate Reforged",0.14,0.08
"Destructor Dragon","Fate Reforged",0.24,0.08
"Diplomacy of the Wastes","Fate Reforged",0.22,0.08
"Dismal Backwater","Fate Reforged",0.18,0.08
"Douse in Gloom","Fate Reforged",0.14,0.08
"Dragon Bell Monk","Fate Reforged",0.14,0.08
Dragonrage,"Fate Reforged",0.24,0.08
