"Product Name",Category,"Sell Price","Buy Price"
"Platinum Angel","From the Vault: Angels",7.12,3.00
"Lightning Angel","From the Vault: Angels",0.47,0.08
"Iona, Shield of Emeria","From the Vault: Angels",7.59,3.20
"Baneslayer Angel","From the Vault: Angels",14.24,6.75
"Avacyn, Angel of Hope","From the Vault: Angels",33.24,17.50
"Aurelia, the Warleader","From the Vault: Angels",12.34,5.85
"Akroma, Angel of Fury","From the Vault: Angels",2.84,0.25
"Archangel of Strife","From the Vault: Angels",0.71,0.08
"Iridescent Angel","From the Vault: Angels",0.75,0.08
"Entreat the Angels","From the Vault: Angels",1.89,0.08
"Jenara, Asura of War","From the Vault: Angels",1.89,0.08
"Serra Angel","From the Vault: Angels",1.42,0.08
"Exalted Angel","From the Vault: Angels",1.42,0.08
"Tariel, Reckoner of Souls","From the Vault: Angels",2.38,0.25
"Akroma, Angel of Wrath","From the Vault: Angels",4.74,2.00
