"Product Name",Category,"Sell Price","Buy Price"
"Decree of Annihilation","From the Vault: Annihilation",1.89,0.25
Smokestack,"From the Vault: Annihilation",5.69,2.40
"Wrath of God","From the Vault: Annihilation",9.02,3.80
Armageddon,"From the Vault: Annihilation",4.74,2.00
Cataclysm,"From the Vault: Annihilation",4.74,2.00
"Fracturing Gust","From the Vault: Annihilation",4.74,2.00
Terminus,"From the Vault: Annihilation",4.51,1.90
"Rolling Earthquake","From the Vault: Annihilation",10.44,4.95
Upheaval,"From the Vault: Annihilation",1.23,0.25
"Virtue's Ruin","From the Vault: Annihilation",0.46,0.25
"Living Death","From the Vault: Annihilation",3.33,1.40
"Martial Coup","From the Vault: Annihilation",1.89,0.25
Firespout,"From the Vault: Annihilation",0.75,0.25
