"Product Name",Category,"Sell Price","Buy Price"
"Two-Headed Dragon","From the Vault: Dragons",2.84,0.25
"Dragon Whelp","From the Vault: Dragons",0.66,0.08
"Bogardan Hellkite","From the Vault: Dragons",1.23,0.08
"Bladewing the Risen","From the Vault: Dragons",4.27,1.80
"Niv-Mizzet, the Firemind","From the Vault: Dragons",4.27,1.80
"Kokusho, the Evening Star","From the Vault: Dragons",-,-
"Shivan Dragon","From the Vault: Dragons",3.79,1.60
Dragonstorm,"From the Vault: Dragons",2.84,0.25
"Hellkite Overlord","From the Vault: Dragons",10.44,4.95
Draco,"From the Vault: Dragons",6.64,2.80
"Thunder Dragon","From the Vault: Dragons",2.84,0.25
"Nicol Bolas","From the Vault: Dragons",18.04,8.55
"Ebon Dragon","From the Vault: Dragons",2.65,0.25
"Form of the Dragon","From the Vault: Dragons",5.22,2.20
"Rith, the Awakener","From the Vault: Dragons",8.54,3.60
