"Product Name",Category,"Sell Price","Buy Price"
"Serendib Efreet","From the Vault: Exiled",0.75,0.25
"Sensei's Divining Top","From the Vault: Exiled",47.49,25.00
"Mystical Tutor","From the Vault: Exiled",12.34,5.85
"Gifts Ungiven","From the Vault: Exiled",3.32,1.40
"Strip Mine","From the Vault: Exiled",47.49,25.00
Trinisphere,"From the Vault: Exiled",56.99,32.99
Necropotence,"From the Vault: Exiled",8.55,3.60
"Goblin Lackey","From the Vault: Exiled",21.84,10.35
Balance,"From the Vault: Exiled",3.79,1.60
Channel,"From the Vault: Exiled",2.37,0.25
Skullclamp,"From the Vault: Exiled",17.09,8.10
"Kird Ape","From the Vault: Exiled",1.42,0.25
Berserk,"From the Vault: Exiled",19.00,9.00
Tinker,"From the Vault: Exiled",7.12,3.00
"Lotus Petal","From the Vault: Exiled",38.00,20.00
