"Product Name",Category,"Sell Price","Buy Price"
"Captain Sisay","From the Vault: Legends",18.99,9.00
"Kiki-Jiki, Mirror Breaker","From the Vault: Legends",18.99,9.00
"Kresh the Bloodbraided","From the Vault: Legends",3.79,1.60
"Omnath, Locus of Mana","From the Vault: Legends",23.74,11.25
Progenitus,"From the Vault: Legends",8.07,3.40
"Rafiq of the Many","From the Vault: Legends",8.07,3.40
"Mikaeus, the Lunarch","From the Vault: Legends",3.79,1.60
"Doran, the Siege Tower","From the Vault: Legends",4.27,1.80
"Visara the Dreadful","From the Vault: Legends",2.18,0.25
"Ulamog, the Infinite Gyre","From the Vault: Legends",31.34,16.50
"Oona, Queen of the Fae","From the Vault: Legends",14.24,6.75
"Teferi, Mage of Zhalfir","From the Vault: Legends",7.12,3.00
"Cao Cao, Lord of Wei","From the Vault: Legends",3.79,1.60
"Sharuum the Hegemon","From the Vault: Legends",3.32,1.40
"Sun Quan, Lord of Wu","From the Vault: Legends",12.34,5.85
