"Product Name",Category,"Sell Price","Buy Price"
"Cabal Ritual","From the Vault: Lore",3.33,1.40
"Tolaria West","From the Vault: Lore",15.19,7.20
"Mind's Desire","From the Vault: Lore",0.75,0.25
"Beseech the Queen","From the Vault: Lore",4.75,2.00
Memnarch,"From the Vault: Lore",6.17,2.60
"Glissa, the Traitor","From the Vault: Lore",1.42,0.25
"Phyrexian Processor","From the Vault: Lore",1.56,0.25
Unmask,"From the Vault: Lore",6.17,2.60
Conflux,"From the Vault: Lore",0.95,0.25
"Momir Vig, Simic Visionary","From the Vault: Lore",1.89,0.25
"Umezawa's Jitte","From the Vault: Lore",15.67,7.42
"Dark Depths","From the Vault: Lore",23.75,11.25
Helvault,"From the Vault: Lore",0.47,0.25
"Near-Death Experience","From the Vault: Lore",0.46,0.25
Obliterate,"From the Vault: Lore",1.43,0.25
