"Product Name",Category,"Sell Price","Buy Price"
"Forbidden Orchard","From the Vault: Realms",19.05,9.02
"Shivan Gorge","From the Vault: Realms",0.48,0.25
"High Market","From the Vault: Realms",5.22,2.20
"Dryad Arbor","From the Vault: Realms",23.75,11.25
Vesuva,"From the Vault: Realms",28.49,15.00
"Cephalid Coliseum","From the Vault: Realms",4.27,1.80
"Windbrisk Heights","From the Vault: Realms",2.37,0.25
"Ancient Tomb","From the Vault: Realms",27.07,14.25
"Boseiju, Who Shelters All","From the Vault: Realms",20.89,9.90
"Glacial Chasm","From the Vault: Realms",8.55,3.60
Desert,"From the Vault: Realms",2.37,0.25
"Murmuring Bosk","From the Vault: Realms",1.23,0.25
"Urborg, Tomb of Yawgmoth","From the Vault: Realms",19.00,9.00
"Maze of Ith","From the Vault: Realms",28.49,15.00
"Grove of the Burnwillows","From the Vault: Realms",9.49,4.00
