"Product Name",Category,"Sell Price","Buy Price"
Masticore,"From the Vault: Relics",1.70,0.25
"Jester's Cap","From the Vault: Relics",3.79,1.60
Mirari,"From the Vault: Relics",1.89,0.25
"Zuran Orb","From the Vault: Relics",12.34,5.85
"Sundering Titan","From the Vault: Relics",0.75,0.25
"Aether Vial","From the Vault: Relics",42.75,22.50
"Memory Jar","From the Vault: Relics",24.69,13.00
"Karn, Silver Golem","From the Vault: Relics",9.49,4.00
"Isochron Scepter","From the Vault: Relics",15.19,7.20
"Ivory Tower","From the Vault: Relics",3.60,1.52
"Mox Diamond","From the Vault: Relics",303.99,191.99
"Sol Ring","From the Vault: Relics",52.24,30.24
"Black Vise","From the Vault: Relics",1.42,0.25
"Nevinyrral's Disk","From the Vault: Relics",3.79,1.60
"Sword of Body and Mind","From the Vault: Relics",17.10,8.10
