"Product Name",Category,"Sell Price","Buy Price"
Impulse,"From the Vault: Twenty",0.75,0.25
"Thran Dynamo","From the Vault: Twenty",6.17,2.60
"Gilded Lotus","From the Vault: Twenty",7.59,3.20
"Green Sun's Zenith","From the Vault: Twenty",10.44,4.95
Char,"From the Vault: Twenty",0.32,0.25
"Dark Ritual","From the Vault: Twenty",2.37,0.25
"Jace, the Mind Sculptor","From the Vault: Twenty",123.50,78.00
"Hymn to Tourach","From the Vault: Twenty",1.42,0.25
"Tangle Wire","From the Vault: Twenty",4.74,2.00
"Chameleon Colossus","From the Vault: Twenty",2.85,0.25
"Venser, Shaper Savant","From the Vault: Twenty",7.59,3.20
"Fact or Fiction","From the Vault: Twenty",2.18,0.25
"Chainer's Edict","From the Vault: Twenty",2.37,0.25
"Cruel Ultimatum","From the Vault: Twenty",0.71,0.25
"Fyndhorn Elves","From the Vault: Twenty",9.49,4.00
"Kessig Wolf Run","From the Vault: Twenty",3.80,1.60
"Wall of Blossoms","From the Vault: Twenty",1.23,0.25
"Akroma's Vengeance","From the Vault: Twenty",0.71,0.25
"Ink-Eyes, Servant of Oni","From the Vault: Twenty",8.54,3.60
"Swords to Plowshares","From the Vault: Twenty",2.84,0.25
