"Product Name",Category,"Sell Price","Buy Price"
"Akroma's Memorial","Future Sight",20.68,9.31
"Angel of Salvation","Future Sight",0.48,0.08
"Arc Blade","Future Sight",0.35,0.08
"Arcanum Wings","Future Sight",0.47,0.08
"Augur il-Vec","Future Sight",0.19,0.08
"Augur of Skulls","Future Sight",0.41,0.08
"Aven Augur","Future Sight",0.18,0.08
"Aven Mindcensor","Future Sight",1.35,0.08
"Barren Glory","Future Sight",0.71,0.08
"Baru, Fist of Krosa","Future Sight",0.94,0.08
"Bitter Ordeal","Future Sight",14.71,6.62
"Blade of the Sixth Pride","Future Sight",0.20,0.08
"Blind Phantasm","Future Sight",0.18,0.08
"Bloodshot Trainee","Future Sight",0.23,0.08
"Bogardan Lancer","Future Sight",0.18,0.08
"Boldwyr Intimidator","Future Sight",0.24,0.08
"Bonded Fetch","Future Sight",0.29,0.08
"Bound in Silence","Future Sight",0.24,0.08
"Bridge from Below","Future Sight",13.07,5.88
"Centaur Omenreader","Future Sight",0.29,0.08
Char-Rumbler,"Future Sight",0.24,0.08
"Chronomantic Escape","Future Sight",0.34,0.08
"Cloud Key","Future Sight",14.73,6.63
Cloudseeder,"Future Sight",0.24,0.08
"Coalition Relic","Future Sight",10.65,4.79
"Cryptic Annelid","Future Sight",0.28,0.08
"Cutthroat il-Dal","Future Sight",0.18,0.08
"Cyclical Evolution","Future Sight",0.24,0.08
"Dakmor Salvage","Future Sight",1.25,0.08
"Darksteel Garrison","Future Sight",0.84,0.08
"Daybreak Coronet","Future Sight",5.07,2.03
"Death Rattle","Future Sight",0.18,0.08
"Deepcavern Imp","Future Sight",0.18,0.08
Delay,"Future Sight",6.18,2.47
"Dryad Arbor","Future Sight",14.86,6.69
"Dust of Moments","Future Sight",0.24,0.08
"Edge of Autumn","Future Sight",0.48,0.08
"Emberwilde Augur","Future Sight",0.17,0.08
"Emblem of the Warmind","Future Sight",0.24,0.08
Epochrasite,"Future Sight",0.56,0.08
"Even the Odds","Future Sight",0.25,0.08
"Fatal Attraction","Future Sight",0.18,0.08
"Festering March","Future Sight",0.24,0.08
Fleshwrither,"Future Sight",0.90,0.08
"Flowstone Embrace","Future Sight",0.17,0.08
"Fomori Nomad","Future Sight",0.18,0.08
"Force of Savagery","Future Sight",1.33,0.08
Foresee,"Future Sight",0.22,0.08
"Frenzy Sliver","Future Sight",0.24,0.08
"Gathan Raiders","Future Sight",0.19,0.08
Ghostfire,"Future Sight",0.18,0.08
"Gibbering Descent","Future Sight",1.12,0.08
"Gift of Granite","Future Sight",0.18,0.08
"Glittering Wish","Future Sight",6.64,2.66
"Goldmeadow Lookout","Future Sight",0.24,0.08
"Grave Peril","Future Sight",0.17,0.08
"Grave Scrabbler","Future Sight",0.44,0.08
"Graven Cairns","Future Sight",4.84,1.94
"Grinning Ignus","Future Sight",0.20,0.08
"Grove of the Burnwillows","Future Sight",19.56,8.80
"Haze of Rage","Future Sight",0.81,0.08
"Heartwood Storyteller","Future Sight",6.65,2.66
"Henchfiend of Ukor","Future Sight",0.18,0.08
"Homing Sliver","Future Sight",0.69,0.08
"Horizon Canopy","Future Sight",66.47,36.56
"Ichor Slick","Future Sight",0.18,0.08
"Imperial Mask","Future Sight",0.47,0.08
Imperiosaur,"Future Sight",0.24,0.08
"Infiltrator il-Kor","Future Sight",0.19,0.08
"Intervention Pact","Future Sight",2.62,0.25
"Jhoira of the Ghitu","Future Sight",1.88,0.08
"Judge Unworthy","Future Sight",0.19,0.08
"Kavu Primarch","Future Sight",0.16,0.08
"Keldon Megaliths","Future Sight",0.24,0.08
"Knight of Sursi","Future Sight",0.19,0.08
"Korlash, Heir to Blackblade","Future Sight",4.75,1.90
"Leaden Fists","Future Sight",0.17,0.08
"Linessa, Zephyr Mage","Future Sight",0.57,0.08
"Llanowar Augur","Future Sight",0.23,0.08
"Llanowar Empath","Future Sight",0.17,0.08
"Llanowar Mentor","Future Sight",0.47,0.08
"Llanowar Reborn","Future Sight",1.44,0.08
"Logic Knot","Future Sight",1.18,0.08
"Lost Auramancers","Future Sight",0.94,0.08
"Lost Hours","Future Sight",0.17,0.08
"Lucent Liminid","Future Sight",0.18,0.08
"Lumithread Field","Future Sight",0.23,0.08
"Lymph Sliver","Future Sight",0.24,0.08
"Maelstrom Djinn","Future Sight",0.47,0.08
"Magus of the Abyss","Future Sight",0.52,0.08
"Magus of the Future","Future Sight",1.89,0.08
"Magus of the Moat","Future Sight",7.11,2.84
"Magus of the Moon","Future Sight",7.50,3.00
"Magus of the Vineyard","Future Sight",0.95,0.08
"Marshaling Cry","Future Sight",0.18,0.08
"Mass of Ghouls","Future Sight",0.17,0.08
"Mesmeric Sliver","Future Sight",0.24,0.08
"Minions' Murmurs","Future Sight",0.24,0.08
"Mistmeadow Skulk","Future Sight",0.24,0.08
"Molten Disaster","Future Sight",0.48,0.08
"Muraganda Petroglyphs","Future Sight",5.81,2.32
"Mystic Speculation","Future Sight",1.46,0.08
"Nacatl War-Pride","Future Sight",1.61,0.08
Narcomoeba,"Future Sight",2.04,0.25
"Nessian Courser","Future Sight",0.17,0.08
"New Benalia","Future Sight",0.24,0.08
Nihilith,"Future Sight",0.91,0.08
"Nimbus Maze","Future Sight",4.72,1.89
Nix,"Future Sight",1.61,0.08
"Oblivion Crown","Future Sight",0.19,0.08
"Oriss, Samite Guardian","Future Sight",0.95,0.08
"Pact of Negation","Future Sight",19.94,8.97
"Pact of the Titan","Future Sight",2.75,0.25
"Patrician's Scorn","Future Sight",0.23,0.08
"Petrified Plating","Future Sight",0.17,0.08
"Phosphorescent Feast","Future Sight",0.24,0.08
"Pooling Venom","Future Sight",0.45,0.08
"Putrid Cyclops","Future Sight",0.17,0.08
"Pyromancer's Swath","Future Sight",0.70,0.08
Quagnoth,"Future Sight",0.46,0.08
"Quiet Disrepair","Future Sight",0.19,0.08
"Ramosian Revivalist","Future Sight",0.24,0.08
"Ravaging Riftwurm","Future Sight",0.31,0.08
"Reality Strobe","Future Sight",0.47,0.08
"Riddle of Lightning","Future Sight",0.18,0.08
"Rift Elemental","Future Sight",0.21,0.08
Riftsweeper,"Future Sight",1.85,0.08
"Rites of Flourishing","Future Sight",3.31,1.32
"River of Tears","Future Sight",3.56,1.42
Saltskitter,"Future Sight",0.18,0.08
"Samite Censer-Bearer","Future Sight",0.18,0.08
"Sarcomite Myr","Future Sight",0.20,0.08
"Scourge of Kher Ridges","Future Sight",3.32,1.33
"Scout's Warning","Future Sight",1.53,0.08
"Second Wind","Future Sight",0.28,0.08
"Seht's Tiger","Future Sight",0.63,0.08
"Shah of Naar Isle","Future Sight",0.47,0.08
"Shapeshifter's Marrow","Future Sight",0.47,0.08
"Shimian Specter","Future Sight",0.47,0.08
"Shivan Sand-Mage","Future Sight",0.53,0.08
"Skirk Ridge Exhumer","Future Sight",0.33,0.08
"Skizzik Surger","Future Sight",0.24,0.08
"Slaughter Pact","Future Sight",3.79,1.52
"Sliver Legion","Future Sight",107.72,64.63
Sliversmith,"Future Sight",0.37,0.08
"Snake Cult Initiation","Future Sight",0.31,0.08
"Soultether Golem","Future Sight",0.24,0.08
Sparkspitter,"Future Sight",0.24,0.08
"Spellweaver Volute","Future Sight",2.13,0.25
"Spellwild Ouphe","Future Sight",0.24,0.08
"Spin into Myth","Future Sight",0.35,0.08
"Spirit en-Dal","Future Sight",0.29,0.08
"Sporoloth Ancient","Future Sight",0.21,0.08
"Sprout Swarm","Future Sight",0.89,0.08
"Steamflogger Boss","Future Sight",1.43,0.08
"Storm Entity","Future Sight",0.29,0.08
"Street Wraith","Future Sight",4.75,1.90
"Stronghold Rats","Future Sight",0.78,0.08
"Summoner's Pact","Future Sight",17.48,7.87
"Sword of the Meek","Future Sight",21.35,9.61
"Take Possession","Future Sight",0.47,0.08
Tarmogoyf,"Future Sight",80.74,44.41
"Tarox Bladewing","Future Sight",0.48,0.08
"Thornweald Archer","Future Sight",0.21,0.08
"Thunderblade Charge","Future Sight",0.46,0.08
"Tolaria West","Future Sight",13.01,5.85
Tombstalker,"Future Sight",2.32,0.25
"Unblinking Bleb","Future Sight",0.24,0.08
"Utopia Mycon","Future Sight",4.89,1.96
"Vedalken Aethermage","Future Sight",0.30,0.08
"Veilstone Amulet","Future Sight",4.99,2.00
"Venser, Shaper Savant","Future Sight",7.83,3.13
"Venser's Diffusion","Future Sight",0.17,0.08
"Virulent Sliver","Future Sight",1.16,0.08
Whetwheel,"Future Sight",0.46,0.08
"Whip-Spine Drake","Future Sight",0.17,0.08
"Witch's Mist","Future Sight",0.24,0.08
"Wrap in Vigor","Future Sight",0.26,0.08
"Yixlid Jailer","Future Sight",4.75,1.90
"Zoetic Cavern","Future Sight",0.24,0.08
"Lost Hours - Foil","Future Sight",0.12,0.08
"Pooling Venom - Foil","Future Sight",1.00,0.08
"Grave Scrabbler - Foil","Future Sight",4.11,1.64
"Kavu Primarch - Foil","Future Sight",0.19,0.08
"Nessian Courser - Foil","Future Sight",0.28,0.08
