"Product Name",Category,"Sell Price","Buy Price"
"Abbey Gargoyles",Homelands,0.23,0.00
"Abbey Matron",Homelands,0.15,0.00
"Abbey Matron [Version 2]",Homelands,0.24,0.00
"Aether Storm",Homelands,0.23,0.00
"Aliban's Tower",Homelands,0.17,0.00
"Aliban's Tower [Version 2]",Homelands,0.34,0.00
Ambush,Homelands,0.18,0.00
"Ambush Party",Homelands,0.15,0.00
"Ambush Party [Version 2]",Homelands,0.12,0.00
"Anaba Ancestor",Homelands,0.86,0.10
"Anaba Bodyguard",Homelands,0.23,0.00
"Anaba Bodyguard [Version 2]",Homelands,0.50,0.00
"Anaba Shaman",Homelands,0.19,0.00
"Anaba Shaman [Version 2]",Homelands,0.54,0.10
"Anaba Spirit Crafter",Homelands,1.89,0.10
"An-Havva Constable",Homelands,0.37,0.00
"An-Havva Inn",Homelands,0.24,0.00
"An-Havva Township",Homelands,0.24,0.00
"An-Zerrin Ruins",Homelands,1.89,0.10
"Apocalypse Chime",Homelands,0.82,0.10
"Autumn Willow",Homelands,1.48,0.10
"Aysen Abbey",Homelands,0.24,0.00
"Aysen Bureaucrats",Homelands,0.18,0.00
"Aysen Bureaucrats [Version 2]",Homelands,0.18,0.00
"Aysen Crusader",Homelands,1.31,0.10
"Aysen Highway",Homelands,0.48,0.00
"Baki's Curse",Homelands,0.61,0.10
"Baron Sengir",Homelands,2.84,0.25
"Beast Walkers",Homelands,0.61,0.10
"Black Carriage",Homelands,1.14,0.10
"Broken Visage",Homelands,0.38,0.00
Carapace,Homelands,0.22,0.00
"Carapace [Version 2]",Homelands,0.17,0.00
"Castle Sengir",Homelands,0.24,0.00
"Cemetery Gate",Homelands,0.21,0.00
"Cemetery Gate [Version 2]",Homelands,0.29,0.00
"Chain Stasis",Homelands,0.81,0.10
Chandler,Homelands,0.22,0.00
"Clockwork Gnomes",Homelands,0.20,0.00
"Clockwork Steed",Homelands,0.19,0.00
"Clockwork Swarm",Homelands,0.18,0.00
"Coral Reef",Homelands,0.17,0.00
"Dark Maze",Homelands,0.20,0.00
"Dark Maze [Version 2]",Homelands,0.28,0.00
"Daughter of Autumn",Homelands,0.47,0.00
"Death Speakers",Homelands,0.29,0.00
Didgeridoo,Homelands,4.28,2.01
"Drudge Spell",Homelands,0.24,0.00
"Dry Spell",Homelands,0.20,0.00
"Dry Spell [Version 2]",Homelands,0.27,0.00
"Dwarven Pony",Homelands,0.66,0.10
"Dwarven Sea Clan",Homelands,0.65,0.10
"Dwarven Trader",Homelands,0.19,0.00
"Dwarven Trader [Version 2]",Homelands,0.25,0.00
"Ebony Rhino",Homelands,0.21,0.00
"Eron the Relentless",Homelands,0.24,0.00
Evaporate,Homelands,0.22,0.00
"Faerie Noble",Homelands,1.36,0.10
"Feast of the Unicorn",Homelands,0.20,0.00
"Feast of the Unicorn [Version 2]",Homelands,0.36,0.00
"Feroz's Ban",Homelands,0.38,0.00
"Folk of An-Havva",Homelands,0.19,0.00
"Folk of An-Havva [Version 2]",Homelands,0.24,0.00
Forget,Homelands,0.46,0.00
"Funeral March",Homelands,0.18,0.00
"Ghost Hounds",Homelands,0.24,0.00
"Giant Albatross",Homelands,0.17,0.00
"Giant Albatross [Version 2]",Homelands,0.10,0.00
"Giant Oyster",Homelands,0.24,0.00
"Grandmother Sengir",Homelands,0.51,0.10
"Greater Werewolf",Homelands,0.19,0.00
"Hazduhr the Abbot",Homelands,0.63,0.10
Headstone,Homelands,0.19,0.00
"Heart Wolf",Homelands,0.58,0.10
"Hungry Mist [Version 1]",Homelands,0.20,0.00
"Hungry Mist [Version 2]",Homelands,0.28,0.00
"Ihsan's Shade",Homelands,0.26,0.00
"Irini Sengir",Homelands,0.24,0.00
"Ironclaw Curse",Homelands,0.45,0.00
Jinx,Homelands,0.19,0.00
Joven,Homelands,0.23,0.00
"Joven's Ferrets",Homelands,0.23,0.00
"Joven's Tools",Homelands,0.23,0.00
"Koskun Falls",Homelands,5.47,2.57
"Koskun Keep",Homelands,0.24,0.00
"Labyrinth Minotaur",Homelands,0.21,0.00
"Labyrinth Minotaur [Version 2]",Homelands,0.14,0.00
"Leaping Lizard",Homelands,0.19,0.00
Leeches,Homelands,1.16,0.10
"Mammoth Harness",Homelands,0.71,0.10
Marjhan,Homelands,0.53,0.10
"Memory Lapse",Homelands,0.21,0.00
"Memory Lapse [Version 2]",Homelands,0.21,0.00
"Merchant Scroll",Homelands,4.23,1.99
"Mesa Falcon [Version 1]",Homelands,0.18,0.00
"Mesa Falcon [Version 2]",Homelands,0.12,0.00
"Mystic Decree",Homelands,1.89,0.10
Narwhal,Homelands,1.87,0.10
"Orcish Mine",Homelands,0.22,0.00
"Primal Order",Homelands,0.48,0.00
Prophecy,Homelands,0.19,0.00
"Rashka the Slayer",Homelands,0.23,0.00
"Reef Pirates [Version 1]",Homelands,0.19,0.00
"Reef Pirates [Version 2]",Homelands,0.17,0.00
Renewal,Homelands,0.21,0.00
Retribution,Homelands,0.24,0.00
"Reveka, Wizard Savant",Homelands,0.71,0.10
"Root Spider",Homelands,0.24,0.00
Roots,Homelands,0.23,0.00
Roterothopter,Homelands,0.23,0.00
"Rysorian Badger",Homelands,0.65,0.10
"Samite Alchemist",Homelands,0.20,0.00
"Samite Alchemist [Version 2]",Homelands,0.17,0.00
"Sea Sprite",Homelands,0.27,0.00
"Sea Troll",Homelands,0.24,0.00
"Sengir Autocrat",Homelands,0.36,0.00
"Sengir Bats",Homelands,0.20,0.00
"Sengir Bats [Version 2]",Homelands,0.26,0.00
"Serra Aviary",Homelands,1.64,0.10
"Serra Bestiary",Homelands,0.18,0.00
"Serra Inquisitors",Homelands,0.23,0.00
"Serra Paladin",Homelands,0.17,0.00
"Serrated Arrows",Homelands,0.83,0.10
Shrink,Homelands,0.19,0.00
"Shrink [Version 2]",Homelands,0.27,0.00
"Soraya the Falconer",Homelands,2.13,0.25
"Spectral Bears",Homelands,0.70,0.10
"Timmerian Fiends",Homelands,0.98,0.10
Torture,Homelands,0.21,0.00
"Torture [Version 2]",Homelands,0.22,0.00
"Trade Caravan",Homelands,0.22,0.00
"Trade Caravan [Version 2]",Homelands,0.14,0.00
Truce,Homelands,0.69,0.10
"Veldrane of Sengir",Homelands,0.52,0.10
"Wall of Kelp",Homelands,6.65,3.13
"Willow Faerie",Homelands,0.24,0.00
"Willow Faerie [Version 2]",Homelands,0.45,0.00
"Willow Priestess",Homelands,3.79,1.78
"Winter Sky",Homelands,1.62,0.10
"Wizards' School",Homelands,0.24,0.00
