"Product Name",Category,"Sell Price","Buy Price"
"Abandoned Sarcophagus","Hour of Devastation",0.46,0.00
Abrade,"Hour of Devastation",1.90,0.25
"Accursed Horde","Hour of Devastation",0.24,0.00
"Act of Heroism","Hour of Devastation",0.14,0.00
"Adorned Pouncer","Hour of Devastation",0.71,0.10
"Adorned Pouncer // Horse Double-sided Token","Hour of Devastation",0.24,0.00
"Adorned Pouncer // Warrior Double-sided Token","Hour of Devastation",0.21,0.00
"Adorned Pouncer Token","Hour of Devastation",0.31,0.00
"Aerial Guide","Hour of Devastation",0.14,0.00
Ambuscade,"Hour of Devastation",0.14,0.00
"Ammit Eternal","Hour of Devastation",0.58,0.10
"Angel of Condemnation","Hour of Devastation",0.44,0.00
"Angel of the God-Pharaoh","Hour of Devastation",0.24,0.00
"Apocalypse Demon","Hour of Devastation",0.32,0.00
"Appeal // Authority","Hour of Devastation",0.24,0.00
"Aven of Enduring Hope","Hour of Devastation",0.14,0.00
"Aven Reedstalker","Hour of Devastation",0.14,0.00
"Avid Reclaimer","Hour of Devastation",0.24,0.00
"Banewhip Punisher","Hour of Devastation",0.24,0.00
"Beneath the Sands","Hour of Devastation",0.14,0.00
"Bitterbow Sharpshooters","Hour of Devastation",0.14,0.00
"Bloodwater Entity","Hour of Devastation",0.24,0.00
"Blur of Blades","Hour of Devastation",0.14,0.00
"Bontu's Last Reckoning","Hour of Devastation",1.37,0.10
"Brambleweft Behemoth","Hour of Devastation",0.18,0.00
"Burning-Fist Minotaur","Hour of Devastation",0.23,0.00
"Carrion Screecher","Hour of Devastation",0.14,0.00
"Champion of Wits","Hour of Devastation",0.71,0.10
"Champion of Wits // Insect Double-sided Token","Hour of Devastation",0.30,0.00
"Champion of Wits // Warrior Double-sided Token","Hour of Devastation",0.12,0.00
"Champion of Wits Token","Hour of Devastation",0.24,0.00
"Chandra's Defeat","Hour of Devastation",0.23,0.00
"Chaos Maw","Hour of Devastation",0.29,0.00
"Cinder Barrens","Hour of Devastation",0.19,0.00
"Claim // Fame","Hour of Devastation",0.28,0.00
"Consign // Oblivion","Hour of Devastation",0.24,0.00
"Countervailing Winds","Hour of Devastation",0.16,0.00
"Crash Through","Hour of Devastation",0.16,0.00
"Crested Sunmare","Hour of Devastation",4.17,2.06
"Crook of Condemnation","Hour of Devastation",0.21,0.00
"Crypt of the Eternals","Hour of Devastation",0.24,0.00
"Cunning Survivor","Hour of Devastation",0.14,0.00
"Dagger of the Worthy","Hour of Devastation",0.23,0.00
"Dauntless Aven","Hour of Devastation",0.14,0.00
"Defiant Khenra","Hour of Devastation",0.14,0.00
"Desert of the Fervent","Hour of Devastation",0.18,0.00
"Desert of the Glorified","Hour of Devastation",0.17,0.00
"Desert of the Indomitable","Hour of Devastation",0.19,0.00
"Desert of the Mindful","Hour of Devastation",0.18,0.00
"Desert of the True","Hour of Devastation",0.19,0.00
"Desert's Hold","Hour of Devastation",0.23,0.00
"Devotee of Strength","Hour of Devastation",0.21,0.00
"Disposal Mummy","Hour of Devastation",0.14,0.00
"Djeru, With Eyes Open","Hour of Devastation",0.45,0.00
"Djeru's Renunciation","Hour of Devastation",0.14,0.00
Doomfall,"Hour of Devastation",0.29,0.00
Dreamstealer,"Hour of Devastation",0.37,0.00
"Dreamstealer // Insect Double-sided Token","Hour of Devastation",0.32,0.00
"Dreamstealer // Warrior Double-sided Token","Hour of Devastation",0.10,0.00
"Dreamstealer Token","Hour of Devastation",0.19,0.00
"Driven // Despair","Hour of Devastation",0.42,0.00
"Dune Diviner","Hour of Devastation",0.21,0.00
"Dunes of the Dead","Hour of Devastation",0.24,0.00
"Dutiful Servants","Hour of Devastation",0.14,0.00
"Earthshaker Khenra","Hour of Devastation",0.58,0.10
"Earthshaker Khenra // Cat Double-sided Token","Hour of Devastation",0.17,0.00
"Earthshaker Khenra // Zombie Double-sided Token","Hour of Devastation",0.22,0.00
"Earthshaker Khenra Token","Hour of Devastation",0.24,0.00
"Endless Sands","Hour of Devastation",0.47,0.00
"Eternal of Harsh Truths","Hour of Devastation",0.24,0.00
"Farm // Market","Hour of Devastation",0.24,0.00
"Feral Prowler","Hour of Devastation",0.14,0.00
"Fervent Paincaster","Hour of Devastation",0.23,0.00
"Firebrand Archer","Hour of Devastation",0.24,0.00
"Forest (189) - Full Art","Hour of Devastation",0.29,0.00
"Forest (198)","Hour of Devastation",0.15,0.00
"Forest (199)","Hour of Devastation",0.17,0.00
"Fraying Sanity","Hour of Devastation",2.64,0.25
"Frilled Sandwalla","Hour of Devastation",0.14,0.00
"Frontline Devastator","Hour of Devastation",0.14,0.00
"Gideon's Defeat","Hour of Devastation",0.23,0.00
"Gift of Strength","Hour of Devastation",0.14,0.00
"Gilded Cerodon","Hour of Devastation",0.14,0.00
"God-Pharaoh's Faithful","Hour of Devastation",0.14,0.00
"God-Pharaoh's Gift","Hour of Devastation",0.66,0.10
"Granitic Titan","Hour of Devastation",0.14,0.00
"Graven Abomination","Hour of Devastation",0.14,0.00
"Grind // Dust","Hour of Devastation",0.33,0.00
"Grisly Survivor","Hour of Devastation",0.14,0.00
"Harrier Naga","Hour of Devastation",0.14,0.00
"Hashep Oasis","Hour of Devastation",0.33,0.00
"Hazoret's Undying Fury","Hour of Devastation",0.32,0.00
"Hollow One","Hour of Devastation",1.35,0.10
"Hope Tender","Hour of Devastation",0.23,0.00
"Horse // Warrior Double-sided Token","Hour of Devastation",0.29,0.00
"Horse // Zombie Double-sided Token","Hour of Devastation",0.24,0.00
"Horse Token","Hour of Devastation",0.59,0.10
"Hostile Desert","Hour of Devastation",0.47,0.00
"Hour of Devastation","Hour of Devastation",0.72,0.10
"Hour of Eternity","Hour of Devastation",0.32,0.00
"Hour of Glory","Hour of Devastation",0.29,0.00
"Hour of Promise","Hour of Devastation",0.94,0.10
"Hour of Revelation","Hour of Devastation",0.72,0.10
"Ifnir Deadlands","Hour of Devastation",0.46,0.00
"Imaginary Threats","Hour of Devastation",0.24,0.00
"Imminent Doom","Hour of Devastation",0.32,0.00
"Inferno Jet","Hour of Devastation",0.23,0.00
"Insect // Warrior Double-sided Token","Hour of Devastation",0.36,0.00
"Insect // Zombie Double-sided Token","Hour of Devastation",0.35,0.00
"Insect Token","Hour of Devastation",0.95,0.10
"Ipnu Rivulet","Hour of Devastation",0.24,0.00
"Island (186) - Full Art","Hour of Devastation",0.34,0.00
"Island (192)","Hour of Devastation",0.19,0.00
"Island (193)","Hour of Devastation",0.16,0.00
"Jace's Defeat","Hour of Devastation",0.23,0.00
"Kefnet's Last Word","Hour of Devastation",0.35,0.00
"Khenra Eternal","Hour of Devastation",0.14,0.00
"Khenra Scrapper","Hour of Devastation",0.14,0.00
"Kindled Fury","Hour of Devastation",0.14,0.00
"Leave // Chance","Hour of Devastation",0.37,0.00
"Lethal Sting","Hour of Devastation",0.14,0.00
"Life Goes On","Hour of Devastation",0.18,0.00
"Liliana's Defeat","Hour of Devastation",0.24,0.00
"Lurching Rotbeast","Hour of Devastation",0.14,0.00
Magmaroth,"Hour of Devastation",0.22,0.00
