"Product Name",Category,"Sell Price","Buy Price"
"Abyssal Specter","Ice Age",0.28,0.08
"Adarkar Sentinel","Ice Age",0.24,0.08
"Adarkar Unicorn","Ice Age",0.17,0.08
"Adarkar Wastes","Ice Age",7.80,3.12
"Aegis of the Meek","Ice Age",0.72,0.08
Aggression,"Ice Age",0.24,0.08
"Altar of Bone","Ice Age",4.75,1.90
"Amulet of Quoz","Ice Age",0.81,0.08
Anarchy,"Ice Age",0.33,0.08
"Arctic Foxes","Ice Age",0.18,0.08
"Arcum's Sleigh","Ice Age",0.24,0.08
"Arcum's Weathervane","Ice Age",0.24,0.08
"Arcum's Whistle","Ice Age",0.24,0.08
"Arenson's Aura","Ice Age",0.19,0.08
"Armor of Faith","Ice Age",0.14,0.08
"Arnjlot's Ascent","Ice Age",0.14,0.08
"Ashen Ghoul","Ice Age",0.28,0.08
Aurochs,"Ice Age",0.17,0.08
Avalanche,"Ice Age",0.24,0.08
"Balduvian Barbarians","Ice Age",0.14,0.08
"Balduvian Bears","Ice Age",0.25,0.08
"Balduvian Conjurer","Ice Age",0.24,0.08
"Balduvian Hydra","Ice Age",0.77,0.08
"Balduvian Shaman","Ice Age",0.18,0.08
"Barbarian Guides","Ice Age",0.14,0.08
"Barbed Sextant","Ice Age",0.15,0.08
"Baton of Morale","Ice Age",0.24,0.08
"Battle Cry","Ice Age",0.24,0.08
"Battle Frenzy","Ice Age",0.14,0.08
"Binding Grasp","Ice Age",0.24,0.08
"Black Scarab","Ice Age",0.24,0.08
"Blessed Wine","Ice Age",0.15,0.08
"Blinking Spirit","Ice Age",0.47,0.08
Blizzard,"Ice Age",0.74,0.08
"Blue Scarab","Ice Age",0.24,0.08
"Bone Shaman","Ice Age",0.14,0.08
Brainstorm,"Ice Age",0.94,0.08
"Brand of Ill Omen","Ice Age",1.10,0.08
"Breath of Dreams","Ice Age",0.24,0.08
"Brine Shaman","Ice Age",0.17,0.08
"Brown Ouphe","Ice Age",0.17,0.08
Brushland,"Ice Age",5.69,2.28
"Burnt Offering","Ice Age",0.23,0.08
"Call to Arms","Ice Age",0.92,0.08
"Caribou Range","Ice Age",0.46,0.08
"Celestial Sword","Ice Age",0.41,0.08
"Centaur Archer","Ice Age",0.24,0.08
"Chaos Lord","Ice Age",0.43,0.08
