"Product Name",Category,"Sell Price","Buy Price"
"Abyssal Persecutor","Iconic Masters",0.56,0.08
"Abzan Battle Priest","Iconic Masters",0.24,0.01
"Abzan Falconer","Iconic Masters",0.24,0.01
"Aerial Predation","Iconic Masters",0.15,0.00
"Aether Vial","Iconic Masters",40.94,20.47
Aetherize,"Iconic Masters",0.32,0.01
"Ainok Bond-Kin","Iconic Masters",0.15,0.00
"Ajani's Pridemate","Iconic Masters",0.24,0.01
"Amass the Components","Iconic Masters",0.15,0.00
"Ancestral Vision","Iconic Masters",9.11,3.64
"Angel of Mercy","Iconic Masters",0.15,0.00
"Angel Token (001)","Iconic Masters",0.20,0.00
"Angelic Accord","Iconic Masters",0.31,0.01
"Anger of the Gods","Iconic Masters",3.28,1.31
"Archangel of Thune","Iconic Masters",14.95,6.73
"Assault Formation","Iconic Masters",0.69,0.01
"Auriok Champion","Iconic Masters",13.07,5.88
"Austere Command","Iconic Masters",7.32,2.93
"Avacyn, Angel of Hope","Iconic Masters",27.85,13.93
"Azorius Chancery","Iconic Masters",0.24,0.01
"Azorius Charm","Iconic Masters",0.24,0.01
"Bala Ged Scorpion","Iconic Masters",0.14,0.00
"Balustrade Spy","Iconic Masters",0.17,0.00
"Battle-Rattle Shaman","Iconic Masters",0.15,0.00
"Beast Token (007)","Iconic Masters",0.14,0.00
"Benevolent Ancestor","Iconic Masters",0.15,0.00
Bewilder,"Iconic Masters",0.17,0.00
"Bird Token (002)","Iconic Masters",0.17,0.00
"Bladewing the Risen","Iconic Masters",0.30,0.01
"Bladewing's Thrall","Iconic Masters",0.23,0.01
"Blinding Mage","Iconic Masters",0.15,0.00
"Blizzard Specter","Iconic Masters",0.24,0.01
"Blood Baron of Vizkopa","Iconic Masters",0.47,0.08
Bloodghast,"Iconic Masters",17.85,8.03
"Bogardan Hellkite","Iconic Masters",0.47,0.08
"Bogbrew Witch","Iconic Masters",0.22,0.01
"Borderland Marauder","Iconic Masters",0.14,0.00
"Boros Garrison","Iconic Masters",0.27,0.01
"Bubbling Cauldron","Iconic Masters",0.22,0.01
"Burrenton Forge-Tender","Iconic Masters",0.28,0.01
"Butcher's Glee","Iconic Masters",0.14,0.00
