"Product Name",Category,"Sell Price","Buy Price"
"Abattoir Ghoul",Innistrad,0.23,0.00
"Abbey Griffin",Innistrad,0.15,0.00
"Altar's Reap",Innistrad,0.14,0.00
"Ambush Viper",Innistrad,0.17,0.00
"Ancient Grudge",Innistrad,0.29,0.00
"Angel of Flight Alabaster",Innistrad,0.39,0.00
"Angel Token",Innistrad,0.94,0.10
"Angelic Overseer",Innistrad,1.89,0.10
"Armored Skaab",Innistrad,0.18,0.00
"Army of the Damned",Innistrad,1.89,0.10
"Ashmouth Hound",Innistrad,0.16,0.00
"Avacynian Priest",Innistrad,0.15,0.00
"Avacyn's Pilgrim",Innistrad,0.19,0.00
"Back from the Brink",Innistrad,0.35,0.00
"Balefire Dragon",Innistrad,9.41,4.42
"Battleground Geist",Innistrad,0.23,0.00
"Bitterheart Witch",Innistrad,0.24,0.00
"Blasphemous Act",Innistrad,3.83,1.80
"Blazing Torch",Innistrad,0.18,0.00
"Bloodcrazed Neonate",Innistrad,0.15,0.00
"Bloodgift Demon",Innistrad,1.35,0.10
"Bloodline Keeper",Innistrad,7.56,3.55
"Bonds of Faith",Innistrad,0.18,0.00
"Boneyard Wurm",Innistrad,0.24,0.00
"Brain Weevil",Innistrad,0.14,0.00
Bramblecrush,Innistrad,0.21,0.00
"Brimstone Volley",Innistrad,0.19,0.00
"Bump in the Night",Innistrad,0.22,0.00
"Burning Vengeance",Innistrad,0.23,0.00
"Butcher's Cleaver",Innistrad,0.24,0.00
"Cackling Counterpart",Innistrad,0.45,0.00
"Caravan Vigil",Innistrad,0.19,0.00
"Cellar Door",Innistrad,0.24,0.00
"Champion of the Parish",Innistrad,3.33,1.57
"Chapel Geist",Innistrad,0.15,0.00
"Charmbreaker Devils",Innistrad,0.42,0.00
"Checklist Card - Innistrad",Innistrad,0.24,0.00
"Civilized Scholar",Innistrad,0.23,0.00
Claustrophobia,Innistrad,0.15,0.00
"Clifftop Retreat",Innistrad,3.92,1.84
"Cloistered Youth",Innistrad,0.24,0.00
"Cobbled Wings",Innistrad,0.15,0.00
"Corpse Lunge",Innistrad,0.15,0.00
"Creeping Renaissance",Innistrad,0.67,0.10
"Creepy Doll",Innistrad,0.47,0.00
"Crossway Vampire",Innistrad,0.18,0.00
Curiosity,Innistrad,0.30,0.00
"Curse of Death's Hold",Innistrad,0.47,0.00
"Curse of Oblivion",Innistrad,0.15,0.00
"Curse of Stalked Prey",Innistrad,0.40,0.00
"Curse of the Bloody Tome",Innistrad,0.23,0.00
"Curse of the Nightly Hunt",Innistrad,0.23,0.00
"Curse of the Pierced Heart",Innistrad,0.30,0.00
"Darkthicket Wolf",Innistrad,0.18,0.00
"Daybreak Ranger",Innistrad,0.67,0.10
"Dead Weight",Innistrad,0.18,0.00
"Dearly Departed",Innistrad,0.37,0.00
"Delver of Secrets",Innistrad,1.66,0.10
"Demon Token",Innistrad,0.24,0.00
"Demonmail Hauberk",Innistrad,0.23,0.00
"Deranged Assistant",Innistrad,0.18,0.00
"Desperate Ravings",Innistrad,0.23,0.00
"Devil's Play",Innistrad,0.38,0.00
"Diregraf Ghoul",Innistrad,0.23,0.00
"Disciple of Griselbrand",Innistrad,0.23,0.00
Dissipate,Innistrad,0.28,0.00
"Divine Reckoning",Innistrad,0.48,0.00
"Doomed Traveler",Innistrad,0.19,0.00
"Dream Twist",Innistrad,0.19,0.00
"Elder Cathar",Innistrad,0.16,0.00
"Elder of Laurels",Innistrad,0.35,0.00
"Elite Inquisitor",Innistrad,0.47,0.00
"Endless Ranks of the Dead",Innistrad,5.27,2.48
"Essence of the Wild",Innistrad,0.73,0.10
"Evil Twin",Innistrad,0.46,0.00
"Falkenrath Marauders",Innistrad,0.44,0.00
"Falkenrath Noble",Innistrad,0.25,0.00
"Feeling of Dread",Innistrad,0.19,0.00
"Feral Ridgewolf",Innistrad,0.15,0.00
"Festerhide Boar",Innistrad,0.18,0.00
"Fiend Hunter",Innistrad,0.24,0.00
"Forbidden Alchemy",Innistrad,0.20,0.00
"Forest (262)",Innistrad,0.23,0.00
"Forest (263)",Innistrad,0.24,0.00
"Forest (264)",Innistrad,0.24,0.00
"Fortress Crab",Innistrad,0.14,0.00
"Frightful Delusion",Innistrad,0.15,0.00
"Full Moon's Rise",Innistrad,0.38,0.00
"Furor of the Bitten",Innistrad,0.17,0.00
"Gallows Warden",Innistrad,0.20,0.00
"Galvanic Juggernaut",Innistrad,0.23,0.00
"Garruk Relentless",Innistrad,4.00,1.88
"Gatstaf Shepherd",Innistrad,0.24,0.00
"Gavony Township",Innistrad,4.51,2.12
"Geist of Saint Traft",Innistrad,8.55,4.02
"Geistcatcher's Rig",Innistrad,0.23,0.00
Geistflame,Innistrad,0.17,0.00
"Geist-Honored Monk",Innistrad,0.37,0.00
"Ghost Quarter",Innistrad,1.43,0.10
"Ghostly Possession",Innistrad,0.15,0.00
"Ghoulcaller's Bell",Innistrad,0.18,0.00
"Ghoulcaller's Chant",Innistrad,0.24,0.00
Ghoulraiser,Innistrad,0.17,0.00
"Gnaw to the Bone",Innistrad,0.24,0.00
"Grasp of Phantoms",Innistrad,0.20,0.00
"Grave Bramble",Innistrad,0.15,0.00
"Graveyard Shovel",Innistrad,0.20,0.00
"Grimgrin, Corpse-Born",Innistrad,5.01,2.35
"Grimoire of the Dead",Innistrad,3.58,1.68
"Grizzled Outcasts",Innistrad,0.19,0.00
"Gruesome Deformity",Innistrad,0.16,0.00
"Gutter Grime",Innistrad,0.36,0.00
"Hamlet Captain",Innistrad,0.24,0.00
"Hanweir Watchkeep",Innistrad,0.24,0.00
"Harvest Pyre",Innistrad,0.18,0.00
"Heartless Summoning",Innistrad,2.24,0.25
"Heretic's Punishment",Innistrad,0.33,0.00
"Hinterland Harbor",Innistrad,6.02,2.83
"Hollowhenge Scavenger",Innistrad,0.22,0.00
"Homunculus Token",Innistrad,0.19,0.00
"Hysterical Blindness",Innistrad,0.14,0.00
"Infernal Plunge",Innistrad,0.19,0.00
"Inquisitor's Flail",Innistrad,0.28,0.00
"Instigator Gang",Innistrad,0.74,0.10
"Intangible Virtue",Innistrad,0.26,0.00
"Into the Maw of Hell",Innistrad,0.22,0.00
"Invisible Stalker",Innistrad,1.49,0.10
"Island (253)",Innistrad,0.21,0.00
"Island (254)",Innistrad,0.24,0.00
"Island (255)",Innistrad,0.19,0.00
"Isolated Chapel",Innistrad,4.75,2.23
"Kessig Cagebreakers",Innistrad,0.43,0.00
"Kessig Wolf",Innistrad,0.14,0.00
"Kessig Wolf Run",Innistrad,3.79,1.78
Kindercatch,Innistrad,0.16,0.00
"Kruin Outlaw",Innistrad,1.00,0.10
"Laboratory Maniac",Innistrad,3.30,1.55
"Lantern Spirit",Innistrad,0.23,0.00
"Liliana of the Veil",Innistrad,78.75,37.01
"Lost in the Mist",Innistrad,0.17,0.00
"Ludevic's Test Subject",Innistrad,0.46,0.00
Lumberknot,Innistrad,0.23,0.00
"Make a Wish",Innistrad,0.23,0.00
"Makeshift Mauler",Innistrad,0.15,0.00
"Manor Gargoyle",Innistrad,0.34,0.00
"Manor Skeleton",Innistrad,0.15,0.00
"Markov Patrician",Innistrad,0.17,0.00
"Mask of Avacyn",Innistrad,0.75,0.10
"Mausoleum Guard",Innistrad,0.21,0.00
"Maw of the Mire",Innistrad,0.14,0.00
"Mayor of Avabruck",Innistrad,2.30,0.25
"Memory's Journey",Innistrad,0.25,0.00
"Mentor of the Meek",Innistrad,0.67,0.10
"Midnight Haunting",Innistrad,0.24,0.00
"Mikaeus, the Lunarch",Innistrad,4.55,2.14
Mindshrieker,Innistrad,0.56,0.10
"Mirror-Mad Phantasm",Innistrad,0.73,0.10
"Moan of the Unhallowed",Innistrad,0.23,0.00
"Moldgraf Monstrosity",Innistrad,0.39,0.00
"Moment of Heroism",Innistrad,0.15,0.00
"Moon Heron",Innistrad,0.14,0.00
Moonmist,Innistrad,0.33,0.00
"Moorland Haunt",Innistrad,0.48,0.00
"Morkrut Banshee",Innistrad,0.22,0.00
"Mountain (259)",Innistrad,0.19,0.00
"Mountain (260)",Innistrad,0.23,0.00
"Mountain (261)",Innistrad,0.18,0.00
Mulch,Innistrad,0.20,0.00
"Murder of Crows",Innistrad,0.21,0.00
Naturalize,Innistrad,0.18,0.00
"Nephalia Drownyard",Innistrad,0.52,0.10
Nevermore,Innistrad,0.94,0.10
"Night Revelers",Innistrad,0.15,0.00
"Night Terrors",Innistrad,0.14,0.00
"Nightbird's Clutches",Innistrad,0.14,0.00
"Olivia Voldaren",Innistrad,3.83,1.80
"One-Eyed Scarecrow",Innistrad,0.18,0.00
"Ooze Token",Innistrad,0.20,0.00
"Orchard Spirit",Innistrad,0.16,0.00
"Parallel Lives",Innistrad,15.69,7.37
Paraselene,Innistrad,0.22,0.00
"Past in Flames",Innistrad,6.93,3.26
"Pitchburn Devils",Innistrad,0.15,0.00
"Plains (250)",Innistrad,0.21,0.00
"Plains (251)",Innistrad,0.21,0.00
"Plains (252)",Innistrad,0.16,0.00
"Prey Upon",Innistrad,0.18,0.00
"Purify the Grave",Innistrad,0.24,0.00
"Rage Thrower",Innistrad,0.23,0.00
"Rakish Heir",Innistrad,0.24,0.00
"Rally the Peasants",Innistrad,0.24,0.00
"Ranger's Guile",Innistrad,0.18,0.00
"Reaper from the Abyss",Innistrad,1.31,0.10
Rebuke,Innistrad,0.15,0.00
