"Product Name",Category,"Sell Price","Buy Price"
Absorb,Invasion,7.57,3.56
Addle,Invasion,0.24,0.00
"Aether Rift",Invasion,0.48,0.00
"Aggressive Urge",Invasion,0.18,0.00
"Agonizing Demise",Invasion,0.17,0.00
"Alabaster Leech",Invasion,0.40,0.00
"Alloy Golem",Invasion,0.23,0.00
"Ancient Kavu",Invasion,0.18,0.00
"Ancient Spring",Invasion,0.18,0.00
"Andradite Leech",Invasion,0.36,0.00
"Angel of Mercy",Invasion,0.23,0.00
"Angelic Shield",Invasion,0.24,0.00
Annihilate,Invasion,0.23,0.00
"Archaeological Dig",Invasion,0.31,0.00
"Ardent Soldier",Invasion,0.17,0.00
"Armadillo Cloak",Invasion,0.44,0.00
"Armored Guardian",Invasion,0.42,0.00
"Artifact Mutation",Invasion,1.89,0.10
"Assault // Battery",Invasion,0.24,0.00
"Atalya, Samite Master",Invasion,0.55,0.10
"Aura Mutation",Invasion,1.54,0.10
"Aura Shards",Invasion,14.73,6.92
Backlash,Invasion,0.56,0.10
"Barrin's Spite",Invasion,0.45,0.00
"Barrin's Unmaking",Invasion,0.17,0.00
"Benalish Emissary",Invasion,0.24,0.00
"Benalish Heralds",Invasion,0.24,0.00
"Benalish Lancer",Invasion,0.18,0.00
"Benalish Trapper",Invasion,0.17,0.00
"Bend or Break",Invasion,0.46,0.00
Bind,Invasion,0.94,0.10
"Blazing Specter",Invasion,0.59,0.10
"Blind Seer",Invasion,0.47,0.00
"Blinding Light",Invasion,0.23,0.00
"Bloodstone Cameo",Invasion,0.23,0.00
"Blurred Mongoose",Invasion,0.42,0.00
"Bog Initiate",Invasion,0.18,0.00
"Breaking Wave",Invasion,0.47,0.00
"Breath of Darigaaz",Invasion,0.24,0.00
"Callous Giant",Invasion,0.35,0.00
"Canopy Surge",Invasion,0.24,0.00
"Capashen Unicorn",Invasion,0.19,0.00
"Captain Sisay",Invasion,17.06,8.02
"Cauldron Dance",Invasion,0.30,0.00
"Chaotic Strike",Invasion,2.06,0.25
"Charging Troll",Invasion,0.24,0.00
"Chromatic Sphere",Invasion,0.88,0.10
"Cinder Shade",Invasion,0.23,0.00
"Coalition Victory",Invasion,0.54,0.10
"Coastal Tower",Invasion,0.45,0.00
"Collapsing Borders",Invasion,0.36,0.00
"Collective Restraint",Invasion,8.83,4.15
Cremate,Invasion,0.23,0.00
"Crimson Acolyte",Invasion,0.20,0.00
"Crosis, the Purger",Invasion,2.03,0.25
"Crosis's Attendant",Invasion,0.24,0.00
"Crown of Flames",Invasion,0.17,0.00
"Crusading Knight",Invasion,0.70,0.10
"Crypt Angel",Invasion,0.82,0.10
"Crystal Spray",Invasion,0.40,0.00
"Cursed Flesh",Invasion,0.16,0.00
"Darigaaz, the Igniter",Invasion,0.90,0.10
"Darigaaz's Attendant",Invasion,0.23,0.00
"Death or Glory",Invasion,0.45,0.00
"Defiling Tears",Invasion,0.23,0.00
"Desperate Research",Invasion,0.46,0.00
"Devouring Strossus",Invasion,0.44,0.00
"Dismantling Blow",Invasion,0.21,0.00
Disrupt,Invasion,0.26,0.00
"Distorting Wake",Invasion,0.43,0.00
"Divine Presence",Invasion,0.48,0.00
"Do or Die",Invasion,1.70,0.10
"Drake-Skull Cameo",Invasion,0.23,0.00
"Dream Thrush",Invasion,0.18,0.00
Dredge,Invasion,0.25,0.00
"Dromar, the Banisher",Invasion,2.99,0.25
"Dromar's Attendant",Invasion,0.23,0.00
"Dueling Grounds",Invasion,4.81,2.26
Duskwalker,Invasion,0.15,0.00
"Elfhame Palace",Invasion,0.26,0.00
"Elfhame Sanctuary",Invasion,0.34,0.00
"Elvish Champion",Invasion,5.69,2.67
"Empress Galina",Invasion,10.86,5.10
"Essence Leak",Invasion,0.23,0.00
Exclude,Invasion,0.31,0.00
"Exotic Curse",Invasion,0.16,0.00
"Explosive Growth",Invasion,0.18,0.00
"Fact or Fiction",Invasion,3.51,1.65
"Faerie Squadron",Invasion,0.18,0.00
"Fertile Ground",Invasion,0.19,0.00
"Fight or Flight",Invasion,0.46,0.00
"Firebrand Ranger",Invasion,0.23,0.00
"Fires of Yavimaya",Invasion,0.33,0.00
Firescreamer,Invasion,0.17,0.00
"Forest (347)",Invasion,0.80,0.10
"Forest (348)",Invasion,0.24,0.00
"Forest (349)",Invasion,0.24,0.00
"Forest (350)",Invasion,0.33,0.00
"Frenzied Tilling",Invasion,0.16,0.00
"Galina's Knight",Invasion,0.18,0.00
