"Product Name",Category,"Sell Price","Buy Price"
"Abomination of Gudul","Khans of Tarkir",0.18,0.00
"Abzan Ascendancy","Khans of Tarkir",0.33,0.08
"Abzan Banner","Khans of Tarkir",0.17,0.00
"Abzan Battle Priest","Khans of Tarkir",0.24,0.01
"Abzan Charm","Khans of Tarkir",0.24,0.01
"Abzan Falconer","Khans of Tarkir",0.20,0.01
"Abzan Guide","Khans of Tarkir",0.15,0.00
"Act of Treason","Khans of Tarkir",0.14,0.00
"Ainok Bond-Kin","Khans of Tarkir",0.15,0.00
"Ainok Tracker","Khans of Tarkir",0.14,0.00
"Alabaster Kirin","Khans of Tarkir",0.14,0.00
"Alpine Grizzly","Khans of Tarkir",0.18,0.00
"Altar of the Brood","Khans of Tarkir",2.95,0.25
"Anafenza, the Foremost","Khans of Tarkir",2.38,0.25
"Ankle Shanker","Khans of Tarkir",0.29,0.08
"Arc Lightning","Khans of Tarkir",0.22,0.01
"Archers' Parapet","Khans of Tarkir",0.14,0.00
"Armament Corps","Khans of Tarkir",0.23,0.01
"Arrow Storm","Khans of Tarkir",0.14,0.00
"Ashcloud Phoenix","Khans of Tarkir",0.61,0.25
"Avalanche Tusker","Khans of Tarkir",0.28,0.08
"Awaken the Bear","Khans of Tarkir",0.14,0.00
"Barrage of Boulders","Khans of Tarkir",0.15,0.00
"Bear Token","Khans of Tarkir",0.24,0.00
"Bear's Companion","Khans of Tarkir",0.23,0.01
"Become Immense","Khans of Tarkir",0.31,0.01
"Bellowing Saddlebrute","Khans of Tarkir",0.23,0.01
"Bird Token","Khans of Tarkir",0.69,0.00
"Bitter Revelation","Khans of Tarkir",0.15,0.00
"Blinding Spray","Khans of Tarkir",0.21,0.01
"Bloodfell Caves","Khans of Tarkir",0.22,0.00
"Bloodfire Expert","Khans of Tarkir",0.15,0.00
"Bloodfire Mentor","Khans of Tarkir",0.14,0.00
"Bloodsoaked Champion","Khans of Tarkir",0.47,0.08
"Bloodstained Mire","Khans of Tarkir",28.49,14.25
"Blossoming Sands","Khans of Tarkir",0.20,0.00
"Brave the Sands","Khans of Tarkir",0.56,0.01
"Briber's Purse","Khans of Tarkir",0.24,0.01
"Bring Low","Khans of Tarkir",0.14,0.00
"Burn Away","Khans of Tarkir",0.24,0.01
"Butcher of the Horde","Khans of Tarkir",0.32,0.08
Cancel,"Khans of Tarkir",0.15,0.00
"Canyon Lurkers","Khans of Tarkir",0.15,0.00
"Chief of the Edge","Khans of Tarkir",0.24,0.01
"Chief of the Scale","Khans of Tarkir",0.23,0.01
"Clever Impersonator","Khans of Tarkir",5.69,2.28
"Crackling Doom","Khans of Tarkir",0.46,0.08
"Cranial Archive","Khans of Tarkir",0.22,0.01
"Crater's Claws","Khans of Tarkir",0.35,0.08
"Crippling Chill","Khans of Tarkir",0.14,0.00
"Dazzling Ramparts","Khans of Tarkir",0.23,0.01
"Dead Drop","Khans of Tarkir",0.23,0.01
"Death Frenzy","Khans of Tarkir",0.24,0.01
"Debilitating Injury","Khans of Tarkir",0.14,0.00
"Defiant Strike","Khans of Tarkir",0.22,0.00
"Deflecting Palm","Khans of Tarkir",1.42,0.08
Despise,"Khans of Tarkir",0.24,0.01
"Dig Through Time","Khans of Tarkir",1.55,0.08
"Disdainful Stroke","Khans of Tarkir",0.17,0.00
"Dismal Backwater","Khans of Tarkir",0.20,0.00
"Disowned Ancestor","Khans of Tarkir",0.14,0.00
"Dragon Grip","Khans of Tarkir",0.23,0.01
"Dragon Throne of Tarkir","Khans of Tarkir",0.38,0.08
"Dragon's Eye Savants","Khans of Tarkir",0.24,0.01
"Dragonscale Boon","Khans of Tarkir",0.14,0.00
"Dragon-Style Twins","Khans of Tarkir",0.32,0.08
Duneblast,"Khans of Tarkir",0.33,0.08
"Dutiful Return","Khans of Tarkir",0.14,0.00
"Efreet Weaponmaster","Khans of Tarkir",0.14,0.00
"Emblem - Sarkhan, the Dragonspeaker","Khans of Tarkir",0.28,0.00
"Emblem - Sorin, Solemn Visitor","Khans of Tarkir",0.45,0.00
"Embodiment of Spring","Khans of Tarkir",0.15,0.00
"Empty the Pits","Khans of Tarkir",0.67,0.25
"End Hostilities","Khans of Tarkir",0.41,0.08
Erase,"Khans of Tarkir",0.15,0.00
"Feat of Resistance","Khans of Tarkir",0.20,0.00
"Feed the Clan","Khans of Tarkir",0.19,0.00
"Firehoof Cavalry","Khans of Tarkir",0.14,0.00
"Flooded Strand","Khans of Tarkir",23.74,10.68
"Flying Crane Technique","Khans of Tarkir",0.29,0.08
"Force Away","Khans of Tarkir",0.14,0.00
"Forest (266)","Khans of Tarkir",0.23,0.00
"Forest (267)","Khans of Tarkir",0.24,0.00
"Forest (268)","Khans of Tarkir",0.19,0.00
"Forest (269)","Khans of Tarkir",0.24,0.00
"Frontier Bivouac","Khans of Tarkir",0.30,0.01
"Ghostfire Blade","Khans of Tarkir",0.48,0.08
"Glacial Stalker","Khans of Tarkir",0.15,0.00
"Goblin Token","Khans of Tarkir",0.21,0.00
Goblinslide,"Khans of Tarkir",0.24,0.01
"Grim Haruspex","Khans of Tarkir",1.50,0.08
"Gurmag Swiftwing","Khans of Tarkir",0.24,0.01
"Hardened Scales","Khans of Tarkir",4.05,1.62
"Heart-Piercer Bow","Khans of Tarkir",0.24,0.01
"Heir of the Wilds","Khans of Tarkir",0.22,0.01
