"Product Name",Category,"Sell Price","Buy Price"
Abomination,Legends,1.90,0.10
"Acid Rain",Legends,61.74,29.02
"Active Volcano",Legends,0.46,0.00
"Adun Oakenshield",Legends,75.97,35.71
"Adventurers' Guildhouse",Legends,4.74,2.23
"Aerathi Berserker",Legends,1.86,0.10
"Aisling Leprechaun",Legends,0.49,0.00
"Akron Legionnaire",Legends,8.21,3.86
"Al-abara's Carpet",Legends,33.24,15.62
"Alabaster Potion",Legends,0.28,0.00
"Alchor's Tomb",Legends,20.42,9.60
"All Hallow's Eve",Legends,299.25,179.55
"Amrou Kithkin",Legends,0.29,0.00
"Angelic Voices",Legends,18.48,8.69
"Angus Mackenzie",Legends,225.14,135.08
"Anti-Magic Aura",Legends,0.48,0.00
Arboria,Legends,9.49,4.46
"Arcades Sabboth",Legends,30.94,14.54
"Arena of the Ancients",Legends,23.14,10.88
"Avoid Fate",Legends,3.83,1.80
"Axelrod Gunnarson",Legends,13.77,6.47
"Ayesha Tanaka",Legends,12.80,6.02
"Azure Drake",Legends,4.01,1.88
Backdraft,Legends,0.94,0.10
Backfire,Legends,2.51,0.25
"Barbary Apes",Legends,0.47,0.00
"Barktooth Warbeard",Legends,2.37,0.25
"Bartel Runeaxe",Legends,23.28,10.94
"Beasts of Bogardan",Legends,1.04,0.10
"Black Mana Battery",Legends,2.13,0.25
"Blazing Effigy",Legends,0.27,0.00
Blight,Legends,4.80,2.26
"Blood Lust",Legends,12.82,6.03
"Blue Mana Battery",Legends,1.42,0.10
Boomerang,Legends,1.42,0.10
"Boris Devilboon",Legends,15.63,7.35
"Brine Hag",Legends,1.41,0.10
"Bronze Horse",Legends,13.63,6.41
"Carrion Ants",Legends,11.13,5.23
"Cat Warriors",Legends,0.27,0.00
"Cathedral of Serra",Legends,6.24,2.93
"Caverns of Despair",Legends,42.74,20.09
"Chain Lightning",Legends,9.54,4.48
"Chains of Mephistopheles",Legends,759.05,455.43
Chromium,Legends,36.54,17.17
Cleanse,Legends,28.49,13.39
"Clergy of the Holy Nimbus",Legends,0.47,0.00
Cocoon,Legends,0.95,0.10
"Concordant Crossroads",Legends,126.09,75.65
