"Product Name",Category,"Sell Price","Buy Price"
"Akroma, Angel of Wrath",Legions,3.48,1.64
"Akroma's Devoted",Legions,0.24,0.00
"Aphetto Exterminator",Legions,0.24,0.00
"Aven Envoy",Legions,0.17,0.00
"Aven Redeemer",Legions,0.15,0.00
"Aven Warhawk",Legions,0.24,0.00
"Bane of the Living",Legions,0.47,0.00
"Beacon of Destiny",Legions,0.39,0.00
"Berserk Murlodont",Legions,0.19,0.00
"Blade Sliver",Legions,0.48,0.00
"Blood Celebrant",Legions,0.24,0.00
"Bloodstoke Howler",Legions,0.14,0.00
"Branchsnap Lorian",Legions,0.24,0.00
Brontotherium,Legions,0.24,0.00
"Brood Sliver",Legions,7.60,3.57
"Caller of the Claw",Legions,1.29,0.10
"Canopy Crawler",Legions,0.24,0.00
"Celestial Gatekeeper",Legions,1.42,0.10
"Cephalid Pathmage",Legions,0.17,0.00
"Chromeshell Crab",Legions,0.47,0.00
Clickslither,Legions,0.47,0.00
"Cloudreach Cavalry",Legions,0.24,0.00
"Corpse Harvester",Legions,1.08,0.10
"Covert Operative",Legions,0.19,0.00
"Crested Craghorn",Legions,0.14,0.00
"Crookclaw Elder",Legions,0.26,0.00
"Crypt Sliver",Legions,0.48,0.00
"Dark Supplicant",Legions,0.24,0.00
"Daru Mender",Legions,0.24,0.00
"Daru Sanctifier",Legions,0.15,0.00
"Daru Stinger",Legions,0.16,0.00
"Deathmark Prelate",Legions,0.23,0.00
"Defender of the Order",Legions,0.39,0.00
"Defiant Elf",Legions,0.19,0.00
"Deftblade Elite",Legions,0.67,0.10
Dermoplasm,Legions,0.48,0.00
"Dreamborn Muse",Legions,0.94,0.10
"Drinker of Sorrow",Legions,0.39,0.00
"Dripping Dead",Legions,0.15,0.00
Earthblighter,Legions,0.24,0.00
"Echo Tracer",Legions,0.21,0.00
"Elvish Soultiller",Legions,0.52,0.10
"Embalmed Brawler",Legions,0.14,0.00
"Enormous Baloth",Legions,0.24,0.00
"Essence Sliver",Legions,2.81,0.25
"Feral Throwback",Legions,0.38,0.00
"Flamewave Invoker",Legions,0.19,0.00
"Frenetic Raptor",Legions,0.23,0.00
"Fugitive Wizard",Legions,0.16,0.00
"Gempalm Avenger",Legions,0.19,0.00
"Gempalm Incinerator",Legions,0.71,0.10
"Gempalm Polluter",Legions,0.56,0.10
"Gempalm Sorcerer",Legions,0.24,0.00
"Gempalm Strider",Legions,0.24,0.00
"Ghastly Remains",Legions,0.40,0.00
"Glintwing Invoker",Legions,0.14,0.00
"Glowering Rogon",Legions,0.15,0.00
Glowrider,Legions,0.85,0.10
"Goblin Assassin",Legions,0.71,0.10
"Goblin Clearcutter",Legions,0.23,0.00
"Goblin Dynamo",Legions,0.24,0.00
"Goblin Firebug",Legions,0.15,0.00
"Goblin Goon",Legions,0.48,0.00
"Goblin Grappler",Legions,0.15,0.00
"Goblin Lookout",Legions,0.36,0.00
"Goblin Turncoat",Legions,0.17,0.00
"Graveborn Muse",Legions,2.19,0.25
"Havoc Demon",Legions,0.48,0.00
"Hollow Specter",Legions,0.41,0.00
Hundroog,Legions,0.18,0.00
"Hunter Sliver",Legions,0.24,0.00
"Imperial Hellkite",Legions,0.49,0.00
"Infernal Caretaker",Legions,0.19,0.00
"Keeneye Aven",Legions,0.15,0.00
"Keeper of the Nine Gales",Legions,0.67,0.10
"Kilnmouth Dragon",Legions,1.08,0.10
"Krosan Cloudscraper",Legions,0.49,0.00
"Krosan Vorine",Legions,0.23,0.00
"Lavaborn Muse",Legions,0.38,0.00
"Liege of the Axe",Legions,0.23,0.00
"Lowland Tracker",Legions,0.17,0.00
"Macetail Hystrodon",Legions,0.16,0.00
"Magma Sliver",Legions,7.70,3.62
"Master of the Veil",Legions,0.36,0.00
"Merchant of Secrets",Legions,0.15,0.00
"Mistform Seaswift",Legions,0.14,0.00
"Mistform Sliver",Legions,0.19,0.00
"Mistform Ultimus",Legions,0.39,0.00
"Mistform Wakecaster",Legions,0.24,0.00
"Nantuko Vigilante",Legions,0.23,0.00
"Needleshot Gourna",Legions,0.16,0.00
"Noxious Ghoul",Legions,1.40,0.10
"Patron of the Wild",Legions,0.19,0.00
"Phage the Untouchable",Legions,2.53,0.25
"Planar Guide",Legions,0.47,0.00
"Plated Sliver",Legions,0.43,0.00
"Primal Whisperer",Legions,0.59,0.10
"Primoc Escapee",Legions,0.24,0.00
"Quick Sliver",Legions,0.28,0.00
"Ridgetop Raptor",Legions,0.24,0.00
"Riptide Director",Legions,2.50,0.25
"Riptide Mangler",Legions,0.40,0.00
"Rockshard Elemental",Legions,0.42,0.00
"Root Sliver",Legions,2.68,0.25
"Scion of Darkness",Legions,1.73,0.10
"Seedborn Muse",Legions,10.61,4.99
"Shaleskin Plower",Legions,0.18,0.00
"Shifting Sliver",Legions,1.90,0.10
Skinthinner,Legions,0.20,0.00
"Skirk Alarmist",Legions,0.40,0.00
"Skirk Drill Sergeant",Legions,0.24,0.00
"Skirk Marauder",Legions,0.18,0.00
"Skirk Outrider",Legions,0.21,0.00
"Smokespew Invoker",Legions,0.14,0.00
"Sootfeather Flock",Legions,0.16,0.00
"Spectral Sliver",Legions,0.25,0.00
"Starlight Invoker",Legions,0.18,0.00
"Stoic Champion",Legions,0.24,0.00
"Stonewood Invoker",Legions,0.16,0.00
"Sunstrike Legionnaire",Legions,0.47,0.00
"Swooping Talon",Legions,0.24,0.00
"Synapse Sliver",Legions,13.43,6.31
"Timberwatch Elf",Legions,0.58,0.10
"Totem Speaker",Legions,0.24,0.00
"Toxin Sliver",Legions,6.34,2.98
"Tribal Forcemage",Legions,0.47,0.00
"Unstable Hulk",Legions,0.43,0.00
"Vexing Beetle",Legions,0.37,0.00
"Vile Deacon",Legions,0.18,0.00
"Voidmage Apprentice",Legions,0.25,0.00
"Wall of Deceit",Legions,0.27,0.00
"Wall of Hope",Legions,0.55,0.10
"Warbreak Trumpeter",Legions,0.24,0.00
"Ward Sliver",Legions,1.11,0.10
"Warped Researcher",Legions,0.21,0.00
"Weaver of Lies",Legions,0.67,0.10
"Whipgrass Entangler",Legions,0.16,0.00
"White Knight",Legions,0.23,0.00
Willbender,Legions,0.24,0.00
"Windborn Muse",Legions,3.51,1.65
"Wingbeat Warrior",Legions,0.18,0.00
"Wirewood Channeler",Legions,1.34,0.10
"Wirewood Hivemaster",Legions,0.26,0.00
"Withered Wretch",Legions,0.30,0.00
"Zombie Brute",Legions,0.24,0.00
"Goblin Goon - Foil",Legions,0.70,0.10
"Deftblade Elite - Foil",Legions,0.79,0.10
"Graveborn Muse - Foil",Legions,9.34,4.39
"Quick Sliver - Foil",Legions,3.77,1.77
"Sootfeather Flock - Foil",Legions,0.11,0.00
"Glintwing Invoker - Foil",Legions,0.08,0.00
"Mistform Ultimus - Foil",Legions,8.99,4.23
"Sunstrike Legionnaire - Foil",Legions,1.00,0.10
