"Product Name",Category,"Sell Price","Buy Price"
"Acidic Slime","Magic 2013 (M13)",0.27,0.08
"Ajani, Caller of the Pride","Magic 2013 (M13)",4.57,1.83
"Ajani's Sunstriker","Magic 2013 (M13)",0.18,0.08
"Akroma's Memorial","Magic 2013 (M13)",21.84,9.83
"Angelic Benediction","Magic 2013 (M13)",0.24,0.08
"Angel's Mercy","Magic 2013 (M13)",0.18,0.08
"Arbor Elf","Magic 2013 (M13)",0.38,0.08
Archaeomancer,"Magic 2013 (M13)",0.20,0.08
"Arctic Aven","Magic 2013 (M13)",0.22,0.08
"Arms Dealer","Magic 2013 (M13)",0.24,0.08
"Attended Knight","Magic 2013 (M13)",0.15,0.08
"Augur of Bolas","Magic 2013 (M13)",0.45,0.08
"Aven Squire","Magic 2013 (M13)",0.15,0.08
"Battle of Wits","Magic 2013 (M13)",0.37,0.08
"Battleflight Eagle","Magic 2013 (M13)",0.15,0.08
"Beast Token","Magic 2013 (M13)",0.22,0.08
"Bladetusk Boar","Magic 2013 (M13)",0.14,0.08
"Blood Reckoning","Magic 2013 (M13)",0.24,0.08
"Bloodhunter Bat","Magic 2013 (M13)",0.14,0.08
"Bloodthrone Vampire","Magic 2013 (M13)",0.16,0.08
"Bond Beetle","Magic 2013 (M13)",0.15,0.08
"Boundless Realms","Magic 2013 (M13)",4.16,1.66
"Bountiful Harvest","Magic 2013 (M13)",0.14,0.08
"Canyon Minotaur","Magic 2013 (M13)",0.14,0.08
"Captain of the Watch","Magic 2013 (M13)",0.71,0.08
"Captain's Call","Magic 2013 (M13)",0.18,0.08
"Cat Token","Magic 2013 (M13)",0.40,0.08
"Cathedral of War","Magic 2013 (M13)",1.38,0.08
"Centaur Courser","Magic 2013 (M13)",0.14,0.08
"Chandra, the Firebrand","Magic 2013 (M13)",2.36,0.25
"Chandra's Fury","Magic 2013 (M13)",0.15,0.08
Chronomaton,"Magic 2013 (M13)",0.24,0.08
"Cleaver Riot","Magic 2013 (M13)",0.21,0.08
"Clock of Omens","Magic 2013 (M13)",0.30,0.08
Clone,"Magic 2013 (M13)",0.47,0.08
"Courtly Provocateur","Magic 2013 (M13)",0.24,0.08
"Cower in Fear","Magic 2013 (M13)",0.23,0.08
Craterize,"Magic 2013 (M13)",0.14,0.08
"Crimson Muckwader","Magic 2013 (M13)",0.24,0.08
"Crippling Blight","Magic 2013 (M13)",0.14,0.08
"Crusader of Odric","Magic 2013 (M13)",0.24,0.08
"Dark Favor","Magic 2013 (M13)",0.14,0.08
"Deadly Recluse","Magic 2013 (M13)",0.15,0.08
"Diabolic Revelation","Magic 2013 (M13)",1.24,0.08
"Disciple of Bolas","Magic 2013 (M13)",2.28,0.25
Disentomb,"Magic 2013 (M13)",0.14,0.08
Divination,"Magic 2013 (M13)",0.14,0.08
"Divine Favor","Magic 2013 (M13)",0.15,0.08
"Divine Verdict","Magic 2013 (M13)",0.14,0.08
"Door to Nothingness","Magic 2013 (M13)",1.45,0.08
Downpour,"Magic 2013 (M13)",0.14,0.08
"Dragon Hatchling","Magic 2013 (M13)",0.17,0.08
"Dragonskull Summit","Magic 2013 (M13)",3.69,1.48
"Drake Token","Magic 2013 (M13)",0.50,0.08
"Drowned Catacomb","Magic 2013 (M13)",5.34,2.14
Duress,"Magic 2013 (M13)",0.18,0.08
"Duskdale Wurm","Magic 2013 (M13)",0.20,0.08
"Duskmantle Prowler","Magic 2013 (M13)",0.21,0.08
"Duty-Bound Dead","Magic 2013 (M13)",0.17,0.08
"Elderscale Wurm","Magic 2013 (M13)",2.03,0.25
"Elixir of Immortality","Magic 2013 (M13)",0.70,0.08
"Elvish Archdruid","Magic 2013 (M13)",2.19,0.25
"Elvish Visionary","Magic 2013 (M13)",0.15,0.08
"Emblem - Liliana of the Dark Realms","Magic 2013 (M13)",0.48,0.08
Encrust,"Magic 2013 (M13)",0.14,0.08
Erase,"Magic 2013 (M13)",0.16,0.08
"Essence Drain","Magic 2013 (M13)",0.14,0.08
"Essence Scatter","Magic 2013 (M13)",0.14,0.08
"Evolving Wilds","Magic 2013 (M13)",0.19,0.08
"Faerie Invaders","Magic 2013 (M13)",0.14,0.08
"Faith's Reward","Magic 2013 (M13)",0.95,0.08
Farseek,"Magic 2013 (M13)",1.33,0.08
