"Product Name",Category,"Sell Price","Buy Price"
"Burrenton Forge-Tender","Magic Modern Event Deck",0.57,0.01
"Caves of Koilos","Magic Modern Event Deck",0.94,0.08
"City of Brass","Magic Modern Event Deck",11.45,5.15
Dismember,"Magic Modern Event Deck",3.62,1.45
Duress,"Magic Modern Event Deck",0.18,0.00
"Elspeth, Knight-Errant","Magic Modern Event Deck",13.10,5.90
"Emblem - Elspeth, Knight-Errant // Soldier Token","Magic Modern Event Deck",4.74,1.90
"Ghost Quarter","Magic Modern Event Deck",1.67,0.01
"Honor of the Pure","Magic Modern Event Deck",1.89,0.08
"Inquisition of Kozilek","Magic Modern Event Deck",5.46,2.18
"Intangible Virtue","Magic Modern Event Deck",0.29,0.01
"Isolated Chapel","Magic Modern Event Deck",4.55,1.82
"Kataki, War's Wage","Magic Modern Event Deck",2.84,0.25
"Lingering Souls","Magic Modern Event Deck",0.95,0.01
"Myr // Spirit Double-Sided Token","Magic Modern Event Deck",0.19,0.00
"Path to Exile","Magic Modern Event Deck",9.49,3.80
Plains,"Magic Modern Event Deck",0.37,0.00
"Raise the Alarm","Magic Modern Event Deck",0.18,0.00
"Relic of Progenitus","Magic Modern Event Deck",4.36,1.74
"Shrine of Loyal Legions","Magic Modern Event Deck",0.24,0.01
"Soldier // Spirit Double Sided Token","Magic Modern Event Deck",0.23,0.00
"Soul Warden","Magic Modern Event Deck",0.71,0.01
"Spectral Procession","Magic Modern Event Deck",0.51,0.01
Swamp,"Magic Modern Event Deck",0.46,0.00
"Sword of Feast and Famine","Magic Modern Event Deck",61.65,33.91
"Tidehollow Sculler","Magic Modern Event Deck",1.16,0.01
"Vault of the Archangel","Magic Modern Event Deck",3.25,1.30
"Windbrisk Heights","Magic Modern Event Deck",1.23,0.08
"Zealous Persecution","Magic Modern Event Deck",0.36,0.01
