"Product Name",Category,"Sell Price","Buy Price"
"Aerial Caravan","Mercadian Masques",0.41,0.08
Afterlife,"Mercadian Masques",0.24,0.01
"Alabaster Wall","Mercadian Masques",0.18,0.00
"Alley Grifters","Mercadian Masques",0.18,0.00
"Ancestral Mask","Mercadian Masques",1.43,0.00
Armistice,"Mercadian Masques",0.43,0.08
"Arms Dealer","Mercadian Masques",0.24,0.01
Arrest,"Mercadian Masques",0.28,0.01
"Assembly Hall","Mercadian Masques",0.43,0.08
"Ballista Squad","Mercadian Masques",0.24,0.01
"Balloon Peddler","Mercadian Masques",0.17,0.00
"Barbed Wire","Mercadian Masques",0.24,0.01
"Bargaining Table","Mercadian Masques",0.46,0.08
"Battle Rampart","Mercadian Masques",0.17,0.00
"Battle Squadron","Mercadian Masques",0.42,0.08
Bifurcate,"Mercadian Masques",0.48,0.08
"Black Market","Mercadian Masques",8.67,3.47
"Blaster Mage","Mercadian Masques",0.19,0.00
"Blockade Runner","Mercadian Masques",0.17,0.00
"Blood Hound","Mercadian Masques",0.41,0.08
"Blood Oath","Mercadian Masques",0.39,0.08
"Boa Constrictor","Mercadian Masques",0.25,0.01
"Bog Smugglers","Mercadian Masques",0.16,0.00
"Bog Witch","Mercadian Masques",0.23,0.00
Brainstorm,"Mercadian Masques",1.23,0.00
Brawl,"Mercadian Masques",0.39,0.08
"Briar Patch","Mercadian Masques",0.25,0.01
Bribery,"Mercadian Masques",19.00,8.55
Buoyancy,"Mercadian Masques",0.17,0.00
"Cackling Witch","Mercadian Masques",0.25,0.01
"Caller of the Hunt","Mercadian Masques",0.56,0.08
"Cateran Brute","Mercadian Masques",0.17,0.00
"Cateran Enforcer","Mercadian Masques",0.24,0.01
"Cateran Kidnappers","Mercadian Masques",0.23,0.01
"Cateran Overlord","Mercadian Masques",0.46,0.08
"Cateran Persuader","Mercadian Masques",0.16,0.00
"Cateran Slaver","Mercadian Masques",0.47,0.08
"Cateran Summons","Mercadian Masques",0.23,0.01
"Caustic Wasps","Mercadian Masques",0.24,0.01
"Cave Sense","Mercadian Masques",0.18,0.00
Cave-In,"Mercadian Masques",0.68,0.08
"Cavern Crawler","Mercadian Masques",0.17,0.00
"Ceremonial Guard","Mercadian Masques",0.18,0.00
"Chambered Nautilus","Mercadian Masques",0.24,0.01
"Chameleon Spirit","Mercadian Masques",0.28,0.01
Charisma,"Mercadian Masques",2.35,0.25
"Charm Peddler","Mercadian Masques",0.18,0.00
"Charmed Griffin","Mercadian Masques",0.25,0.01
"Cho-Arrim Alchemist","Mercadian Masques",0.40,0.08
"Cho-Arrim Bruiser","Mercadian Masques",0.41,0.08
"Cho-Arrim Legate","Mercadian Masques",0.23,0.01
"Cho-Manno, Revolutionary","Mercadian Masques",0.48,0.08
"Cho-Manno's Blessing","Mercadian Masques",0.95,0.00
"Cinder Elemental","Mercadian Masques",0.24,0.01
