"Product Name",Category,"Sell Price","Buy Price"
"Abyssal Hunter",Mirage,0.47,0.08
"Acidic Dagger",Mirage,0.53,0.08
"Afiya Grove",Mirage,1.10,0.08
Afterlife,Mirage,0.24,0.01
Agility,Mirage,0.18,0.00
Alarum,Mirage,0.17,0.00
Aleatory,Mirage,0.43,0.01
"Amber Prison",Mirage,0.47,0.08
"Amulet of Unmaking",Mirage,0.70,0.08
"Ancestral Memories",Mirage,0.47,0.08
"Armor of Thorns",Mirage,0.18,0.00
"Armorer Guildmage",Mirage,0.18,0.00
"Ashen Powder",Mirage,0.76,0.08
"Asmira, Holy Avenger",Mirage,1.07,0.08
"Auspicious Ancestor",Mirage,0.48,0.08
"Azimaet Drake",Mirage,0.18,0.00
"Bad River",Mirage,2.69,0.25
"Barbed Foliage",Mirage,0.23,0.01
"Barbed-Back Wurm",Mirage,0.24,0.01
"Barreling Attack",Mirage,0.48,0.08
"Basalt Golem",Mirage,0.24,0.01
"Bay Falcon",Mirage,0.18,0.00
"Bazaar of Wonders",Mirage,1.32,0.08
"Benevolent Unicorn",Mirage,0.18,0.00
"Benthic Djinn",Mirage,0.52,0.08
"Binding Agony",Mirage,0.18,0.00
"Blighted Shaman",Mirage,0.24,0.01
"Blind Fury",Mirage,0.24,0.01
"Blinding Light",Mirage,0.24,0.01
"Blistering Barrier",Mirage,0.17,0.00
"Bone Harvest",Mirage,0.21,0.00
"Bone Mask",Mirage,0.71,0.08
Boomerang,Mirage,0.19,0.00
Breathstealer,Mirage,0.18,0.00
Brushwagg,Mirage,0.94,0.08
"Builder's Bane",Mirage,0.18,0.00
"Burning Palm Efreet",Mirage,0.24,0.01
"Burning Shield Askari",Mirage,0.18,0.00
"Cadaverous Bloom",Mirage,4.62,1.85
"Cadaverous Knight",Mirage,0.19,0.00
"Canopy Dragon",Mirage,0.76,0.08
Carrion,Mirage,2.54,0.25
"Catacomb Dragon",Mirage,1.27,0.08
"Celestial Dawn",Mirage,1.23,0.08
"Cerulean Wyvern",Mirage,0.23,0.01
"Chaos Charm",Mirage,0.18,0.00
Chaosphere,Mirage,3.70,1.48
"Charcoal Diamond",Mirage,2.13,0.25
"Chariot of the Sun",Mirage,0.24,0.01
"Choking Sands",Mirage,1.04,0.00
"Cinder Cloud",Mirage,0.24,0.01
"Circle of Despair",Mirage,2.61,0.25
"Civic Guildmage",Mirage,0.18,0.00
"Cloak of Invisibility",Mirage,0.18,0.00
"Consuming Ferocity",Mirage,0.24,0.01
"Coral Fighters",Mirage,0.24,0.01
"Crash of Rhinos",Mirage,0.17,0.00
"Crimson Hellkite",Mirage,0.52,0.08
"Crimson Roc",Mirage,0.24,0.01
"Crypt Cobra",Mirage,0.27,0.01
"Crystal Golem",Mirage,0.24,0.01
"Crystal Vein",Mirage,0.69,0.01
"Cursed Totem",Mirage,7.31,2.92
"Cycle of Life",Mirage,0.53,0.08
"Daring Apprentice",Mirage,0.47,0.08
"Dark Banishing",Mirage,0.18,0.00
"Dark Ritual",Mirage,0.45,0.00
"Dazzling Beauty",Mirage,0.18,0.00
Decomposition,Mirage,0.24,0.01
