"Product Name",Category,"Sell Price","Buy Price"
"Aether Spellbomb",Mirrodin,0.24,0.00
"Alpha Myr",Mirrodin,0.15,0.00
"Altar of Shadows",Mirrodin,0.48,0.00
"Altar's Light",Mirrodin,0.24,0.00
"Ancient Den",Mirrodin,2.80,0.25
Annul,Mirrodin,0.23,0.00
Arc-Slogger,Mirrodin,0.47,0.00
Arrest,Mirrodin,0.18,0.00
"Assert Authority",Mirrodin,0.24,0.00
Atog,Mirrodin,0.43,0.00
"Auriok Bladewarden",Mirrodin,0.24,0.00
"Auriok Steelshaper",Mirrodin,1.30,0.10
"Auriok Transfixer",Mirrodin,0.17,0.00
"Awe Strike",Mirrodin,0.19,0.00
"Banshee's Blade",Mirrodin,0.25,0.00
"Barter in Blood",Mirrodin,0.24,0.00
Battlegrowth,Mirrodin,0.17,0.00
"Betrayal of Flesh",Mirrodin,0.24,0.00
"Blinding Beam",Mirrodin,0.18,0.00
"Blinkmoth Urn",Mirrodin,1.25,0.10
"Blinkmoth Well",Mirrodin,0.25,0.00
Bloodscent,Mirrodin,0.23,0.00
Bonesplitter,Mirrodin,0.43,0.00
"Bosh, Iron Golem",Mirrodin,0.46,0.00
"Bottle Gnomes",Mirrodin,0.24,0.00
Broodstar,Mirrodin,0.63,0.10
"Brown Ouphe",Mirrodin,0.23,0.00
Cathodion,Mirrodin,0.24,0.00
"Chalice of the Void",Mirrodin,74.19,34.87
"Chimney Imp",Mirrodin,0.17,0.00
"Chromatic Sphere",Mirrodin,0.88,0.10
"Chrome Mox",Mirrodin,37.84,17.78
"Clockwork Beetle",Mirrodin,0.17,0.00
"Clockwork Condor",Mirrodin,0.18,0.00
"Clockwork Dragon",Mirrodin,0.58,0.10
"Clockwork Vorrac",Mirrodin,0.23,0.00
Cloudpost,Mirrodin,0.74,0.10
"Cobalt Golem",Mirrodin,0.19,0.00
"Confusion in the Ranks",Mirrodin,1.90,0.10
"Consume Spirit",Mirrodin,0.21,0.00
"Contaminated Bond",Mirrodin,0.17,0.00
"Copper Myr",Mirrodin,0.20,0.00
"Copperhoof Vorrac",Mirrodin,0.44,0.00
"Creeping Mold",Mirrodin,0.24,0.00
"Crystal Shard",Mirrodin,1.65,0.10
"Culling Scales",Mirrodin,0.47,0.00
"Damping Matrix",Mirrodin,0.70,0.10
"Dead-Iron Sledge",Mirrodin,0.24,0.00
Deconstruct,Mirrodin,0.19,0.00
