"Product Name",Category,"Sell Price","Buy Price"
"Accorder Paladin","Mirrodin Besieged",0.24,0.01
"Ardent Recruit","Mirrodin Besieged",0.15,0.00
"Banishment Decree","Mirrodin Besieged",0.14,0.00
"Black Sun's Zenith","Mirrodin Besieged",3.81,1.52
"Bladed Sentinel","Mirrodin Besieged",0.14,0.00
"Blightsteel Colossus","Mirrodin Besieged",61.75,33.96
Blightwidow,"Mirrodin Besieged",0.20,0.00
"Blisterstick Shaman","Mirrodin Besieged",0.15,0.00
"Blue Sun's Zenith","Mirrodin Besieged",2.11,0.25
Bonehoard,"Mirrodin Besieged",0.34,0.08
"Brass Squire","Mirrodin Besieged",0.38,0.01
"Burn the Impure","Mirrodin Besieged",0.16,0.00
"Caustic Hound","Mirrodin Besieged",0.15,0.00
"Choking Fumes","Mirrodin Besieged",0.22,0.01
"Concussive Bolt","Mirrodin Besieged",0.14,0.00
"Consecrated Sphinx","Mirrodin Besieged",17.50,7.88
"Contested War Zone","Mirrodin Besieged",0.45,0.08
"Copper Carapace","Mirrodin Besieged",0.16,0.00
"Core Prowler","Mirrodin Besieged",0.46,0.01
"Corrupted Conscience","Mirrodin Besieged",0.48,0.01
"Creeping Corrosion","Mirrodin Besieged",1.15,0.08
Crush,"Mirrodin Besieged",0.14,0.00
Cryptoplasm,"Mirrodin Besieged",0.87,0.08
"Darksteel Plate","Mirrodin Besieged",5.34,2.14
"Decimator Web","Mirrodin Besieged",0.47,0.08
"Distant Memories","Mirrodin Besieged",0.32,0.08
"Divine Offering","Mirrodin Besieged",0.15,0.00
"Dross Ripper","Mirrodin Besieged",0.14,0.00
"Fangren Marauder","Mirrodin Besieged",0.19,0.00
"Flayer Husk","Mirrodin Besieged",0.19,0.00
Flensermite,"Mirrodin Besieged",0.21,0.00
"Flesh-Eater Imp","Mirrodin Besieged",0.33,0.01
"Forest (154)","Mirrodin Besieged",0.17,0.00
"Forest (155)","Mirrodin Besieged",0.20,0.00
"Frantic Salvage","Mirrodin Besieged",0.14,0.00
"Fuel for the Cause","Mirrodin Besieged",0.30,0.00
Galvanoth,"Mirrodin Besieged",0.37,0.08
"Germ Token","Mirrodin Besieged",0.15,0.00
"Glissa, the Traitor","Mirrodin Besieged",1.75,0.25
"Glissa's Courier","Mirrodin Besieged",0.14,0.00
Gnathosaur,"Mirrodin Besieged",0.14,0.00
"Go for the Throat","Mirrodin Besieged",1.48,0.01
"Goblin Wardriver","Mirrodin Besieged",0.24,0.01
"Golem Token","Mirrodin Besieged",0.48,0.00
"Gore Vassal","Mirrodin Besieged",0.23,0.01
"Green Sun's Zenith","Mirrodin Besieged",9.34,3.74
"Gruesome Encore","Mirrodin Besieged",0.23,0.01
Gust-Skimmer,"Mirrodin Besieged",0.15,0.00
"Hellkite Igniter","Mirrodin Besieged",0.36,0.08
"Hero of Bladehold","Mirrodin Besieged",5.70,2.28
"Hero of Oxid Ridge","Mirrodin Besieged",0.74,0.25
"Hexplate Golem","Mirrodin Besieged",0.14,0.00
"Horrifying Revelation","Mirrodin Besieged",0.16,0.00
"Horror Token","Mirrodin Besieged",2.02,0.25
"Ichor Wellspring","Mirrodin Besieged",0.24,0.00
"Inkmoth Nexus","Mirrodin Besieged",27.03,13.52
"Into the Core","Mirrodin Besieged",0.23,0.01
"Island (148)","Mirrodin Besieged",0.22,0.00
"Island (149)","Mirrodin Besieged",0.16,0.00
"Kemba's Legion","Mirrodin Besieged",0.22,0.01
"Knowledge Pool","Mirrodin Besieged",3.36,1.34
"Koth's Courier","Mirrodin Besieged",0.14,0.00
"Kuldotha Flamefiend","Mirrodin Besieged",0.23,0.01
"Kuldotha Ringleader","Mirrodin Besieged",0.15,0.00
"Lead the Stampede","Mirrodin Besieged",0.29,0.01
"Leonin Relic-Warder","Mirrodin Besieged",0.22,0.01
"Leonin Skyhunter","Mirrodin Besieged",0.17,0.00
"Loxodon Partisan","Mirrodin Besieged",0.16,0.00
"Lumengrid Gargoyle","Mirrodin Besieged",0.23,0.01
"Magnetic Mine","Mirrodin Besieged",0.32,0.08
"Massacre Wurm","Mirrodin Besieged",20.89,9.40
"Master's Call","Mirrodin Besieged",0.16,0.00
"Melira's Keepers","Mirrodin Besieged",0.23,0.01
"Metallic Mastery","Mirrodin Besieged",0.23,0.01
"Mirran Crusader","Mirrodin Besieged",1.71,0.08
"Mirran Mettle","Mirrodin Besieged",0.14,0.00
"Mirran Spy","Mirrodin Besieged",0.14,0.00
Mirrorworks,"Mirrodin Besieged",1.22,0.08
"Mitotic Manipulation","Mirrodin Besieged",0.33,0.08
"Morbid Plunder","Mirrodin Besieged",0.14,0.00
Mortarpod,"Mirrodin Besieged",0.20,0.01
"Mountain (152)","Mirrodin Besieged",0.15,0.00
"Mountain (153)","Mirrodin Besieged",0.17,0.00
"Myr Sire","Mirrodin Besieged",0.14,0.00
"Myr Turbine","Mirrodin Besieged",1.70,0.08
"Myr Welder","Mirrodin Besieged",0.33,0.08
"Nested Ghoul","Mirrodin Besieged",0.23,0.01
"Neurok Commando","Mirrodin Besieged",0.24,0.01
Oculus,"Mirrodin Besieged",0.16,0.00
"Ogre Resister","Mirrodin Besieged",0.14,0.00
"Peace Strider","Mirrodin Besieged",0.22,0.01
Phyresis,"Mirrodin Besieged",0.28,0.00
"Phyrexian Crusader","Mirrodin Besieged",4.74,1.90
