"Product Name",Category,"Sell Price","Buy Price"
"Absorb Vis","Modern Masters",0.24,0.00
"Academy Ruins","Modern Masters",33.19,16.60
"Adarkar Valkyrie","Modern Masters",0.72,0.08
"Aether Spellbomb","Modern Masters",0.24,0.00
"Aether Vial","Modern Masters",38.00,19.00
Aethersnipe,"Modern Masters",0.24,0.00
"Amrou Scout","Modern Masters",0.24,0.00
"Amrou Seekers","Modern Masters",0.22,0.00
"Angel's Grace","Modern Masters",7.97,3.19
"Arcbound Ravager","Modern Masters",30.85,15.43
"Arcbound Stinger","Modern Masters",0.24,0.00
"Arcbound Wanderer","Modern Masters",0.24,0.00
"Arcbound Worker","Modern Masters",0.33,0.00
"Auntie's Snitch","Modern Masters",0.25,0.01
"Auriok Salvagers","Modern Masters",0.46,0.08
"Avian Changeling","Modern Masters",0.23,0.00
"Bat Token","Modern Masters",0.44,0.00
Blightspeaker,"Modern Masters",0.21,0.00
"Blinding Beam","Modern Masters",0.24,0.00
"Blind-Spot Giant","Modern Masters",0.24,0.00
"Blinkmoth Nexus","Modern Masters",5.85,2.34
"Blood Moon","Modern Masters",18.05,8.12
Bonesplitter,"Modern Masters",0.49,0.00
"Bound in Silence","Modern Masters",0.23,0.00
"Bridge from Below","Modern Masters",6.63,2.65
"Brute Force","Modern Masters",0.24,0.00
"Careful Consideration","Modern Masters",0.27,0.01
"Cenn's Enlistment","Modern Masters",0.24,0.00
"Chalice of the Void","Modern Masters",71.24,39.18
"Citanul Woodreaders","Modern Masters",0.23,0.00
"City of Brass","Modern Masters",12.34,5.55
"Cloudgoat Ranger","Modern Masters",0.25,0.01
"Cold-Eyed Selkie","Modern Masters",0.58,0.08
"Countryside Crusher","Modern Masters",1.18,0.08
"Court Homunculus","Modern Masters",0.24,0.00
"Crush Underfoot","Modern Masters",0.24,0.00
"Cryptic Command","Modern Masters",24.94,11.22
"Dakmor Salvage","Modern Masters",0.96,0.01
"Dampen Thought","Modern Masters",0.24,0.00
"Dark Confidant","Modern Masters",70.29,38.66
"Death Cloud","Modern Masters",2.72,0.25
"Death Denied","Modern Masters",0.24,0.00
"Death Rattle","Modern Masters",0.24,0.01
"Deepcavern Imp","Modern Masters",0.24,0.00
"Demigod of Revenge","Modern Masters",3.18,1.27
"Desperate Ritual","Modern Masters",1.51,0.01
"Dispeller's Capsule","Modern Masters",0.22,0.00
"Divinity of Pride","Modern Masters",2.97,0.25
"Doubling Season","Modern Masters",52.33,28.78
"Drag Down","Modern Masters",0.24,0.00
"Dragon Token","Modern Masters",0.92,0.00
Dragonstorm,"Modern Masters",1.04,0.08
"Dreamspoiler Witches","Modern Masters",0.24,0.00
"Durkwood Baloth","Modern Masters",0.22,0.00
"Earwig Squad","Modern Masters",0.83,0.08
"Echoing Courage","Modern Masters",0.24,0.00
"Echoing Truth","Modern Masters",0.84,0.00
Electrolyze,"Modern Masters",0.47,0.01
"Elemental Token","Modern Masters",0.28,0.00
"Elspeth, Knight-Errant","Modern Masters",14.11,6.35
"Emblem - Elspeth, Knight-Errant","Modern Masters",6.64,2.66
"Empty the Warrens","Modern Masters",0.47,0.00
"Engineered Explosives","Modern Masters",15.96,7.18
Epochrasite,"Modern Masters",0.34,0.01
"Errant Ephemeron","Modern Masters",0.22,0.00
"Erratic Mutation","Modern Masters",0.24,0.00
Esperzoa,"Modern Masters",0.24,0.01
"Etched Oracle","Modern Masters",0.24,0.01
"Eternal Witness","Modern Masters",4.66,1.86
"Etherium Sculptor","Modern Masters",0.34,0.00
"Ethersworn Canonist","Modern Masters",7.75,3.10
"Executioner's Capsule","Modern Masters",0.28,0.01
Extirpate,"Modern Masters",11.88,5.35
Facevaulter,"Modern Masters",0.24,0.00
"Faerie Macabre","Modern Masters",1.08,0.00
"Faerie Mechanist","Modern Masters",0.24,0.00
"Faerie Rogue Token (Blue/Black)","Modern Masters",1.50,0.00
"Festering Goblin","Modern Masters",0.24,0.00
"Feudkiller's Verdict","Modern Masters",0.29,0.01
"Fiery Fall","Modern Masters",0.24,0.00
"Figure of Destiny","Modern Masters",1.19,0.08
Flickerwisp,"Modern Masters",0.94,0.01
Frogmite,"Modern Masters",0.23,0.00
"Fury Charm","Modern Masters",0.24,0.00
"Giant Dustwasp","Modern Masters",0.24,0.00
"Giant Warrior Token","Modern Masters",0.35,0.00
"Gifts Ungiven","Modern Masters",2.85,0.25
"Glacial Ray","Modern Masters",0.24,0.00
"Gleam of Resistance","Modern Masters",0.24,0.00
"Glen Elendra Archmage","Modern Masters",6.64,2.66
Glimmervoid,"Modern Masters",8.53,3.41
"Goblin Rogue Token","Modern Masters",0.23,0.00
"Goblin Token","Modern Masters",0.24,0.00
"Grand Arbiter Augustin IV","Modern Masters",17.34,7.80
Grapeshot,"Modern Masters",0.95,0.00
"Greater Gargadon","Modern Masters",5.76,2.30
"Greater Mossdog","Modern Masters",0.24,0.00
"Grinning Ignus","Modern Masters",0.25,0.01
"Hammerheim Deadeye","Modern Masters",0.24,0.00
"Hana Kami","Modern Masters",0.21,0.00
"Hillcomber Giant","Modern Masters",0.24,0.00
"Horobi's Whisper","Modern Masters",0.24,0.01
"Illusion Token","Modern Masters",1.47,0.00
Imperiosaur,"Modern Masters",0.24,0.00
"Incremental Growth","Modern Masters",0.23,0.01
"Ivory Giant","Modern Masters",0.22,0.00
"Jhoira of the Ghitu","Modern Masters",1.49,0.08
"Jugan, the Rising Star","Modern Masters",1.81,0.25
"Kataki, War's Wage","Modern Masters",2.84,0.25
"Keiga, the Tide Star","Modern Masters",2.44,0.25
"Kiki-Jiki, Mirror Breaker","Modern Masters",12.34,5.55
"Kira, Great Glass-Spinner","Modern Masters",13.10,5.90
"Kitchen Finks","Modern Masters",2.05,0.25
"Kithkin Greatheart","Modern Masters",0.24,0.00
"Kithkin Soldier Token","Modern Masters",0.22,0.00
"Knight of the Reliquary","Modern Masters",3.46,1.38
"Kodama's Reach","Modern Masters",1.89,0.00
"Kokusho, the Evening Star","Modern Masters",9.47,3.79
"Krosan Grip","Modern Masters",3.14,1.26
"Latchkey Faerie","Modern Masters",0.24,0.00
"Lava Spike","Modern Masters",3.77,1.51
"Life from the Loam","Modern Masters",19.64,8.84
"Lightning Helix","Modern Masters",1.89,0.01
"Logic Knot","Modern Masters",1.14,0.00
"Lotus Bloom","Modern Masters",8.54,3.42
"Mad Auntie","Modern Masters",0.47,0.01
"Maelstrom Pulse","Modern Masters",4.41,1.76
Manamorphose,"Modern Masters",17.10,7.70
"Marsh Flitter","Modern Masters",0.27,0.01
"Masked Admirers","Modern Masters",0.28,0.01
Meadowboon,"Modern Masters",0.24,0.01
"Meloku the Clouded Mirror","Modern Masters",0.84,0.08
"Mind Funeral","Modern Masters",3.90,1.56
"Mogg War Marshal","Modern Masters",0.79,0.00
"Moldervine Cloak","Modern Masters",0.23,0.00
"Molten Disaster","Modern Masters",0.47,0.08
"Mothdust Changeling","Modern Masters",0.24,0.00
Mulldrifter,"Modern Masters",1.21,0.01
"Murderous Redcap","Modern Masters",0.61,0.01
"Myr Enforcer","Modern Masters",0.25,0.00
"Myr Retriever","Modern Masters",1.42,0.01
"Nantuko Shaman","Modern Masters",0.24,0.00
Narcomoeba,"Modern Masters",1.00,0.01
"Oona, Queen of the Fae","Modern Masters",8.56,3.42
"Otherworldly Journey","Modern Masters",0.21,0.00
"Pact of Negation","Modern Masters",17.39,7.83
"Pallid Mycoderm","Modern Masters",0.22,0.00
"Paradise Mantle","Modern Masters",2.77,0.25
"Pardic Dragon","Modern Masters",0.24,0.01
"Path to Exile","Modern Masters",9.07,3.63
"Peer Through Depths","Modern Masters",0.24,0.00
"Penumbra Spider","Modern Masters",0.23,0.00
Peppersmoke,"Modern Masters",0.24,0.00
"Perilous Research","Modern Masters",0.25,0.00
Pestermite,"Modern Masters",0.48,0.00
"Petals of Insight","Modern Masters",0.24,0.00
Phthisis,"Modern Masters",0.24,0.01
Plumeveil,"Modern Masters",0.28,0.01
Progenitus,"Modern Masters",8.83,3.53
"Pyrite Spellbomb","Modern Masters",0.23,0.00
"Pyromancer's Swath","Modern Masters",0.52,0.08
"Rathi Trapper","Modern Masters",0.24,0.00
"Raven's Crime","Modern Masters",1.11,0.00
"Reach of Branches","Modern Masters",0.33,0.01
"Reach Through Mists","Modern Masters",0.24,0.00
"Relic of Progenitus","Modern Masters",4.24,1.70
Reveillark,"Modern Masters",2.14,0.25
"Rift Bolt","Modern Masters",0.86,0.00
"Rift Elemental","Modern Masters",0.24,0.00
Riftsweeper,"Modern Masters",2.13,0.25
"Riftwing Cloudskate","Modern Masters",0.24,0.01
"Rude Awakening","Modern Masters",0.52,0.08
"Runed Stalactite","Modern Masters",0.24,0.00
"Ryusei, the Falling Star","Modern Masters",1.34,0.25
"Saltfield Recluse","Modern Masters",0.24,0.00
"Sanctum Gargoyle","Modern Masters",0.24,0.00
Sandsower,"Modern Masters",0.24,0.01
"Saproling Token","Modern Masters",0.24,0.00
"Sarkhan Vol","Modern Masters",7.80,3.12
"Scion of Oona","Modern Masters",6.37,2.55
"Search for Tomorrow","Modern Masters",0.38,0.00
"Shrapnel Blast","Modern Masters",0.29,0.01
"Skeletal Vampire","Modern Masters",0.47,0.08
"Skyreach Manta","Modern Masters",0.24,0.00
"Slaughter Pact","Modern Masters",3.38,1.35
"Soldier Token","Modern Masters",1.49,0.00
"Spell Snare","Modern Masters",1.25,0.01
"Spellstutter Sprite","Modern Masters",2.34,0.25
"Spider Token (Black)","Modern Masters",0.36,0.00
"Sporesower Thallid","Modern Masters",0.42,0.01
"Sporoloth Ancient","Modern Masters",0.24,0.00
"Squee, Goblin Nabob","Modern Masters",2.12,0.25
Stingscourger,"Modern Masters",0.24,0.00
"Stinkdrinker Daredevil","Modern Masters",0.24,0.00
"Stinkweed Imp","Modern Masters",1.43,0.00
"Stir the Pride","Modern Masters",0.23,0.01
"Stonehewer Giant","Modern Masters",7.70,3.08
"Street Wraith","Modern Masters",2.83,0.25
"Sudden Shock","Modern Masters",0.47,0.01
"Summoner's Pact","Modern Masters",13.71,6.17
"Sword of Fire and Ice","Modern Masters",98.75,54.31
"Sword of Light and Shadow","Modern Masters",56.75,31.21
"Sylvan Bounty","Modern Masters",0.24,0.00
"Syphon Life","Modern Masters",0.24,0.00
"Take Possession","Modern Masters",0.28,0.01
"Tar Pitcher","Modern Masters",0.24,0.01
Tarmogoyf,"Modern Masters",56.99,31.34
"Terashi's Grasp","Modern Masters",0.24,0.01
"Terramorphic Expanse","Modern Masters",0.24,0.00
"Test of Faith","Modern Masters",0.24,0.00
Thallid,"Modern Masters",0.25,0.00
"Thallid Germinator","Modern Masters",0.21,0.00
"Thallid Shell-Dweller","Modern Masters",0.25,0.00
"Thieving Sprite","Modern Masters",0.24,0.00
"Thirst for Knowledge","Modern Masters",0.77,0.01
"Thundercloud Shaman","Modern Masters",0.24,0.01
"Thundering Giant","Modern Masters",0.24,0.00
"Tidehollow Sculler","Modern Masters",1.27,0.01
Tombstalker,"Modern Masters",1.59,0.08
"Tooth and Nail","Modern Masters",18.24,8.21
"Torrent of Stone","Modern Masters",0.24,0.00
"Traumatic Visions","Modern Masters",0.24,0.00
"Treefolk Shaman Token","Modern Masters",0.46,0.00
"Tribal Flames","Modern Masters",0.24,0.01
"Tromp the Domains","Modern Masters",0.23,0.01
"Trygon Predator","Modern Masters",0.43,0.01
"Vedalken Dismisser","Modern Masters",0.24,0.00
"Vedalken Shackles","Modern Masters",9.28,3.71
"Vendilion Clique","Modern Masters",23.74,10.68
"Verdeloth the Ancient","Modern Masters",1.47,0.08
"Veteran Armorer","Modern Masters",0.24,0.00
"Vivid Crag","Modern Masters",0.38,0.01
"Vivid Creek","Modern Masters",0.41,0.01
"Vivid Grove","Modern Masters",0.38,0.01
"Vivid Marsh","Modern Masters",0.50,0.01
"Vivid Meadow","Modern Masters",0.48,0.01
"Walker of the Grove","Modern Masters",0.24,0.00
"Warren Pilferers","Modern Masters",0.24,0.00
"Warren Weirding","Modern Masters",0.24,0.00
"War-Spike Changeling","Modern Masters",0.24,0.00
"Woodfall Primus","Modern Masters",3.27,1.31
"Worm Harvest","Modern Masters",0.33,0.01
"Worm Token","Modern Masters",0.48,0.00
"Yosei, the Morning Star","Modern Masters",2.46,0.25
"Zombie Token","Modern Masters",0.70,0.00
"Arcbound Stinger - Foil","Modern Masters",0.24,0.00
"Engineered Explosives - Foil","Modern Masters",29.74,15.65
"Hammerheim Deadeye - Foil","Modern Masters",0.24,0.00
"Mind Funeral - Foil","Modern Masters",2.75,0.25
"Pardic Dragon - Foil","Modern Masters",0.24,0.01
"Auriok Salvagers - Foil","Modern Masters",3.32,1.40
"Esperzoa - Foil","Modern Masters",0.24,0.01
"Citanul Woodreaders - Foil","Modern Masters",0.24,0.00
"Skyreach Manta - Foil","Modern Masters",0.24,0.00
"Vivid Marsh - Foil","Modern Masters",1.19,0.01
"Glen Elendra Archmage - Foil","Modern Masters",10.60,5.02
"Dampen Thought - Foil","Modern Masters",0.24,0.00
"Pyrite Spellbomb - Foil","Modern Masters",0.24,0.00
"Sanctum Gargoyle - Foil","Modern Masters",0.24,0.00
"Stinkweed Imp - Foil","Modern Masters",2.31,0.25
"Vedalken Shackles - Foil","Modern Masters",11.29,5.35
"Adarkar Valkyrie - Foil","Modern Masters",1.89,0.08
"Blind-Spot Giant - Foil","Modern Masters",0.24,0.00
"Lotus Bloom - Foil","Modern Masters",8.34,3.51
"Festering Goblin - Foil","Modern Masters",0.24,0.00
"Kithkin Greatheart - Foil","Modern Masters",0.24,0.00
"Street Wraith - Foil","Modern Masters",3.33,1.40
"Absorb Vis - Foil","Modern Masters",0.24,0.08
"Drag Down - Foil","Modern Masters",0.24,0.00
"Amrou Seekers - Foil","Modern Masters",0.24,0.00
"Death Cloud - Foil","Modern Masters",4.11,1.73
"Kitchen Finks - Foil","Modern Masters",1.60,0.01
"Reach Through Mists - Foil","Modern Masters",0.24,0.00
"Thundercloud Shaman - Foil","Modern Masters",0.24,0.01
"Imperiosaur - Foil","Modern Masters",0.24,0.00
"Lava Spike - Foil","Modern Masters",4.00,1.68
"Mothdust Changeling - Foil","Modern Masters",0.24,0.00
"Dark Confidant - Foil","Modern Masters",75.99,43.99
"Brute Force - Foil","Modern Masters",0.24,0.00
"Elspeth, Knight-Errant - Foil","Modern Masters",18.96,8.98
"Etched Oracle - Foil","Modern Masters",0.24,0.01
"Giant Dustwasp - Foil","Modern Masters",0.24,0.00
"Mulldrifter - Foil","Modern Masters",2.16,0.25
"Take Possession - Foil","Modern Masters",0.22,0.01
"Logic Knot - Foil","Modern Masters",3.04,1.28
"Rude Awakening - Foil","Modern Masters",1.36,0.08
"Blood Moon - Foil","Modern Masters",22.54,10.68
"Epochrasite - Foil","Modern Masters",0.24,0.01
"Vivid Grove - Foil","Modern Masters",0.53,0.01
"Slaughter Pact - Foil","Modern Masters",3.95,1.66
"Tombstalker - Foil","Modern Masters",2.36,0.25
"Errant Ephemeron - Foil","Modern Masters",0.24,0.00
"Hillcomber Giant - Foil","Modern Masters",0.24,0.00
"Aether Spellbomb - Foil","Modern Masters",0.94,0.08
"Trygon Predator - Foil","Modern Masters",0.46,0.01
"Eternal Witness - Foil","Modern Masters",7.68,3.23
"Ivory Giant - Foil","Modern Masters",0.24,0.00
"Pestermite - Foil","Modern Masters",1.42,0.00
"Electrolyze - Foil","Modern Masters",0.60,0.01
"Shrapnel Blast - Foil","Modern Masters",0.24,0.01
"Vivid Creek - Foil","Modern Masters",0.63,0.01
"Cloudgoat Ranger - Foil","Modern Masters",0.33,0.01
"Spell Snare - Foil","Modern Masters",4.75,2.00
"Syphon Life - Foil","Modern Masters",0.24,0.00
