"Product Name",Category,"Sell Price","Buy Price"
Aethersnipe,"Modern Masters 2015",0.17,0.00
"Agony Warp","Modern Masters 2015",0.24,0.01
"Air Servant","Modern Masters 2015",0.23,0.01
"Algae Gharial","Modern Masters 2015",0.24,0.01
"All Is Dust","Modern Masters 2015",8.55,3.42
"All Suns' Dawn","Modern Masters 2015",0.47,0.08
"Alloy Myr","Modern Masters 2015",0.24,0.00
"Ant Queen","Modern Masters 2015",0.59,0.08
"Apocalypse Hydra","Modern Masters 2015",0.81,0.08
"Apostle's Blessing","Modern Masters 2015",0.33,0.00
"Aquastrand Spider","Modern Masters 2015",0.19,0.00
"Argent Sphinx","Modern Masters 2015",0.40,0.08
Arrest,"Modern Masters 2015",0.18,0.00
"Artisan of Kozilek","Modern Masters 2015",0.42,0.01
"Ashenmoor Gouger","Modern Masters 2015",0.24,0.01
"Azorius Chancery","Modern Masters 2015",0.28,0.01
Banefire,"Modern Masters 2015",2.29,0.25
"Battlegrace Angel","Modern Masters 2015",0.66,0.08
"Bestial Menace","Modern Masters 2015",0.24,0.01
Bitterblossom,"Modern Masters 2015",42.19,21.10
"Blades of Velis Vel","Modern Masters 2015",0.15,0.00
"Blinding Souleater","Modern Masters 2015",0.17,0.00
"Blinkmoth Nexus","Modern Masters 2015",6.11,2.44
"Blood Ogre","Modern Masters 2015",0.17,0.00
"Bloodshot Trainee","Modern Masters 2015",0.24,0.01
"Bloodthrone Vampire","Modern Masters 2015",0.18,0.00
"Bone Splinters","Modern Masters 2015",0.17,0.00
"Boros Garrison","Modern Masters 2015",0.31,0.01
"Boros Swiftblade","Modern Masters 2015",0.24,0.01
"Brute Force","Modern Masters 2015",0.24,0.00
"Burst Lightning","Modern Masters 2015",0.22,0.00
Cathodion,"Modern Masters 2015",0.19,0.00
"Celestial Purge","Modern Masters 2015",0.24,0.01
"Chimeric Mass","Modern Masters 2015",0.35,0.08
"Cloud Elemental","Modern Masters 2015",0.18,0.00
Combust,"Modern Masters 2015",0.24,0.01
"Comet Storm","Modern Masters 2015",0.90,0.25
"Commune with Nature","Modern Masters 2015",0.18,0.00
"Conclave Phalanx","Modern Masters 2015",0.18,0.00
"Copper Carapace","Modern Masters 2015",0.18,0.00
"Court Homunculus","Modern Masters 2015",0.18,0.00
"Cranial Plating","Modern Masters 2015",0.71,0.01
"Creakwood Liege","Modern Masters 2015",3.35,1.34
"Cryptic Command","Modern Masters 2015",28.49,14.25
"Culling Dais","Modern Masters 2015",0.24,0.01
"Cytoplast Root-Kin","Modern Masters 2015",0.35,0.01
"Daggerclaw Imp","Modern Masters 2015",0.24,0.01
"Dark Confidant","Modern Masters 2015",75.98,41.79
"Darksteel Axe","Modern Masters 2015",0.24,0.01
"Darksteel Citadel","Modern Masters 2015",0.48,0.00
"Daybreak Coronet","Modern Masters 2015",4.04,1.62
"Death Denied","Modern Masters 2015",0.19,0.00
Deathmark,"Modern Masters 2015",0.24,0.01
"Devouring Greed","Modern Masters 2015",0.24,0.01
"Dimir Aqueduct","Modern Masters 2015",0.52,0.01
"Dimir Guildmage","Modern Masters 2015",0.24,0.01
Dismember,"Modern Masters 2015",3.22,1.29
Dispatch,"Modern Masters 2015",0.90,0.01
"Dragonsoul Knight","Modern Masters 2015",0.17,0.00
"Dread Drone","Modern Masters 2015",0.17,0.00
"Drooling Groodion","Modern Masters 2015",0.24,0.01
"Duskhunter Bat","Modern Masters 2015",0.17,0.00
"Eldrazi Spawn Token (Briclot)","Modern Masters 2015",0.25,0.00
"Eldrazi Spawn Token (Meignaud)","Modern Masters 2015",0.24,0.00
"Eldrazi Spawn Token (Tedin)","Modern Masters 2015",0.24,0.00
