"Product Name",Category,"Sell Price","Buy Price"
"Aeon Chronicler","Planar Chaos",0.42,0.00
"Aether Membrane","Planar Chaos",0.81,0.10
"Akroma, Angel of Fury","Planar Chaos",2.45,0.25
"Ana Battlemage","Planar Chaos",0.24,0.00
"Aquamorph Entity","Planar Chaos",0.17,0.00
"Auramancer's Guise","Planar Chaos",1.09,0.10
"Aven Riftwatcher","Planar Chaos",0.19,0.00
"Battering Sliver","Planar Chaos",0.24,0.00
"Benalish Commander","Planar Chaos",1.43,0.10
"Big Game Hunter","Planar Chaos",2.14,0.25
Blightspeaker,"Planar Chaos",0.17,0.00
"Blood Knight","Planar Chaos",0.37,0.00
"Body Double","Planar Chaos",1.21,0.10
"Bog Serpent","Planar Chaos",0.18,0.00
"Boom // Bust","Planar Chaos",3.42,1.61
"Braids, Conjurer Adept","Planar Chaos",3.32,1.56
"Brain Gorgers","Planar Chaos",0.18,0.00
"Brute Force","Planar Chaos",0.24,0.00
Calciderm,"Planar Chaos",0.24,0.00
"Cautery Sliver","Planar Chaos",0.35,0.00
Chronozoa,"Planar Chaos",1.89,0.10
"Circle of Affliction","Planar Chaos",0.24,0.00
"Citanul Woodreaders","Planar Chaos",0.17,0.00
"Cradle to Grave","Planar Chaos",0.17,0.00
"Crovax, Ascendant Hero","Planar Chaos",1.49,0.10
Damnation,"Planar Chaos",34.17,16.06
"Darkheart Sliver","Planar Chaos",3.06,1.44
"Dash Hopes","Planar Chaos",1.12,0.10
"Dawn Charm","Planar Chaos",0.76,0.10
"Dead // Gone","Planar Chaos",0.19,0.00
"Deadly Grub","Planar Chaos",0.17,0.00
"Deadwood Treefolk","Planar Chaos",0.25,0.00
Detritivore,"Planar Chaos",0.60,0.10
Dichotomancy,"Planar Chaos",0.47,0.00
"Dismal Failure","Planar Chaos",0.27,0.00
"Dormant Sliver","Planar Chaos",1.89,0.10
"Dreamscape Artist","Planar Chaos",0.22,0.00
"Dunerider Outlaw","Planar Chaos",0.24,0.00
"Dust Corona","Planar Chaos",0.18,0.00
"Dust Elemental","Planar Chaos",0.55,0.10
Enslave,"Planar Chaos",0.24,0.00
"Erratic Mutation","Planar Chaos",0.18,0.00
"Essence Warden","Planar Chaos",1.60,0.10
"Evolution Charm","Planar Chaos",0.24,0.00
Extirpate,"Planar Chaos",13.78,6.48
"Fa'adiyah Seer","Planar Chaos",0.18,0.00
"Fatal Frenzy","Planar Chaos",0.46,0.00
"Firefright Mage","Planar Chaos",0.17,0.00
"Frenetic Sliver","Planar Chaos",0.94,0.10
"Frozen Aether","Planar Chaos",2.33,0.25
"Fungal Behemoth","Planar Chaos",0.95,0.10
"Fury Charm","Planar Chaos",0.18,0.00
"Gaea's Anthem","Planar Chaos",0.93,0.10
"Ghost Tactician","Planar Chaos",0.17,0.00
"Giant Dustwasp","Planar Chaos",0.17,0.00
"Gossamer Phantasm","Planar Chaos",0.18,0.00
Groundbreaker,"Planar Chaos",4.66,2.19
"Hammerheim Deadeye","Planar Chaos",0.24,0.00
Harmonize,"Planar Chaos",1.05,0.10
"Healing Leaves","Planar Chaos",0.21,0.00
"Hedge Troll","Planar Chaos",0.24,0.00
"Heroes Remembered","Planar Chaos",0.90,0.10
"Hunting Wilds","Planar Chaos",0.48,0.00
"Imp's Mischief","Planar Chaos",3.20,1.50
"Intet, the Dreamer","Planar Chaos",1.41,0.10
"Jedit Ojanen of Efrava","Planar Chaos",0.65,0.10
"Jodah's Avenger","Planar Chaos",0.24,0.00
"Kavu Predator","Planar Chaos",0.33,0.00
"Keen Sense","Planar Chaos",2.38,0.25
"Keldon Marauders","Planar Chaos",0.29,0.00
"Kor Dirge","Planar Chaos",0.24,0.00
"Lavacore Elemental","Planar Chaos",0.24,0.00
"Life and Limb","Planar Chaos",4.26,2.00
"Magus of the Arena","Planar Chaos",0.38,0.00
"Magus of the Bazaar","Planar Chaos",0.94,0.10
"Magus of the Coffers","Planar Chaos",3.71,1.74
"Magus of the Library","Planar Chaos",0.47,0.00
"Magus of the Tabernacle","Planar Chaos",1.22,0.10
"Malach of the Dawn","Planar Chaos",0.24,0.00
"Mana Tithe","Planar Chaos",1.19,0.10
"Mantle of Leadership","Planar Chaos",0.24,0.00
Melancholy,"Planar Chaos",0.18,0.00
"Merfolk Thaumaturgist","Planar Chaos",0.21,0.00
"Mesa Enchantress","Planar Chaos",0.55,0.10
"Midnight Charm","Planar Chaos",0.19,0.00
"Mire Boa","Planar Chaos",0.22,0.00
"Mirri the Cursed","Planar Chaos",2.14,0.25
"Molten Firebird","Planar Chaos",0.45,0.00
"Muck Drubb","Planar Chaos",0.24,0.00
Mycologist,"Planar Chaos",0.28,0.00
"Necrotic Sliver","Planar Chaos",6.50,3.06
"Needlepeak Spider","Planar Chaos",0.18,0.00
"Null Profusion","Planar Chaos",0.47,0.00
"Numot, the Devastator","Planar Chaos",2.38,0.25
"Oros, the Avenger","Planar Chaos",0.55,0.10
Ovinize,"Planar Chaos",0.24,0.00
"Pallid Mycoderm","Planar Chaos",0.18,0.00
Phantasmagorian,"Planar Chaos",0.48,0.00
"Piracy Charm","Planar Chaos",0.24,0.00
Pongify,"Planar Chaos",4.39,2.06
"Porphyry Nodes","Planar Chaos",5.70,2.68
"Poultice Sliver","Planar Chaos",0.22,0.00
"Pouncing Wurm","Planar Chaos",0.25,0.00
"Primal Plasma","Planar Chaos",0.18,0.00
"Prodigal Pyromancer","Planar Chaos",0.18,0.00
"Psychotrope Thallid","Planar Chaos",4.43,2.08
Pyrohemia,"Planar Chaos",2.66,0.25
"Radha, Heir to Keld","Planar Chaos",1.36,0.10
"Rathi Trapper","Planar Chaos",0.18,0.00
"Reality Acid","Planar Chaos",0.46,0.00
"Rebuff the Wicked","Planar Chaos",3.02,1.42
"Reckless Wurm","Planar Chaos",0.28,0.00
"Reflex Sliver","Planar Chaos",0.23,0.00
Retether,"Planar Chaos",4.63,2.18
"Revered Dead","Planar Chaos",0.18,0.00
"Ridged Kusite","Planar Chaos",0.17,0.00
"Riftmarked Knight","Planar Chaos",0.28,0.00
"Riptide Pilferer","Planar Chaos",0.24,0.00
"Roiling Horror","Planar Chaos",0.46,0.00
"Rough // Tumble","Planar Chaos",0.28,0.00
Saltblast,"Planar Chaos",0.24,0.00
"Saltfield Recluse","Planar Chaos",0.17,0.00
"Seal of Primordium","Planar Chaos",0.32,0.00
"Serendib Sorcerer","Planar Chaos",0.44,0.00
"Serra Sphinx","Planar Chaos",0.47,0.00
"Serra's Boon","Planar Chaos",0.24,0.00
"Shade of Trokair","Planar Chaos",0.17,0.00
"Shaper Parasite","Planar Chaos",0.17,0.00
"Shivan Meteor","Planar Chaos",0.34,0.00
"Shivan Wumpus","Planar Chaos",0.81,0.10
"Shrouded Lore","Planar Chaos",0.24,0.00
"Simian Spirit Guide","Planar Chaos",3.64,1.71
"Sinew Sliver","Planar Chaos",3.79,1.78
"Skirk Shaman","Planar Chaos",0.18,0.00
"Sophic Centaur","Planar Chaos",0.24,0.00
Spellshift,"Planar Chaos",0.46,0.00
"Spitting Sliver","Planar Chaos",0.22,0.00
Stingscourger,"Planar Chaos",0.18,0.00
Stonecloaker,"Planar Chaos",0.28,0.00
"Stormfront Riders","Planar Chaos",0.24,0.00
"Sulfur Elemental","Planar Chaos",0.62,0.10
Sunlance,"Planar Chaos",0.19,0.00
"Synchronous Sliver","Planar Chaos",0.24,0.00
"Temporal Extortion","Planar Chaos",5.73,2.69
"Teneb, the Harvester","Planar Chaos",1.03,0.10
Tidewalker,"Planar Chaos",0.24,0.00
Timbermare,"Planar Chaos",0.47,0.00
Timebender,"Planar Chaos",0.30,0.00
Timecrafting,"Planar Chaos",0.62,0.10
Torchling,"Planar Chaos",0.45,0.00
"Treacherous Urge","Planar Chaos",0.25,0.00
"Uktabi Drake","Planar Chaos",0.19,0.00
"Urborg, Tomb of Yawgmoth","Planar Chaos",16.20,7.61
"Utopia Vow","Planar Chaos",0.18,0.00
"Vampiric Link","Planar Chaos",0.36,0.00
"Veiling Oddity","Planar Chaos",0.18,0.00
"Venarian Glimmer","Planar Chaos",0.24,0.00
"Vitaspore Thallid","Planar Chaos",0.22,0.00
"Voidstone Gargoyle","Planar Chaos",0.45,0.00
"Volcano Hellion","Planar Chaos",0.74,0.10
"Vorosh, the Hunter","Planar Chaos",1.19,0.10
"Waning Wurm","Planar Chaos",0.24,0.00
"Whitemane Lion","Planar Chaos",0.18,0.00
"Wild Pair","Planar Chaos",1.43,0.10
"Wistful Thinking","Planar Chaos",0.18,0.00
