"Product Name",Category,"Sell Price","Buy Price"
"Arc Trail","Planechase 2012",0.31,0.01
"Armillary Sphere","Planechase 2012",0.19,0.00
"Armored Griffin","Planechase 2012",0.23,0.01
Assassinate,"Planechase 2012",0.18,0.00
"Augury Owl","Planechase 2012",0.24,0.00
"Aura Gnarlid","Planechase 2012",0.23,0.00
Auramancer,"Planechase 2012",0.20,0.00
"Auratouched Mage","Planechase 2012",0.24,0.01
"Awakening Zone","Planechase 2012",3.13,1.25
"Baleful Strix","Planechase 2012",7.28,2.91
"Beast Within","Planechase 2012",2.16,0.25
"Beetleback Chief","Planechase 2012",0.56,0.01
"Bituminous Blast","Planechase 2012",0.28,0.01
"Bloodbraid Elf","Planechase 2012",3.32,1.33
"Boar Umbra","Planechase 2012",0.24,0.01
"Bramble Elemental","Planechase 2012",0.20,0.00
"Brindle Shoat","Planechase 2012",1.75,0.01
"Brutalizer Exarch","Planechase 2012",0.28,0.01
"Cadaver Imp","Planechase 2012",0.19,0.00
"Cage of Hands","Planechase 2012",0.20,0.00
Cancel,"Planechase 2012",0.17,0.00
"Celestial Ancient","Planechase 2012",0.57,0.08
Concentrate,"Planechase 2012",0.30,0.01
Cultivate,"Planechase 2012",1.51,0.00
"Dark Hatchling","Planechase 2012",0.36,0.08
"Deny Reality","Planechase 2012",0.21,0.00
"Dimir Aqueduct","Planechase 2012",0.94,0.00
"Dimir Infiltrator","Planechase 2012",0.33,0.00
"Dowsing Shaman","Planechase 2012",0.23,0.01
"Dragonlair Spider","Planechase 2012",1.22,0.08
"Dreampod Druid","Planechase 2012",0.40,0.01
"Elderwood Scion","Planechase 2012",0.71,0.08
"Enigma Sphinx","Planechase 2012",0.47,0.08
"Enlisted Wurm","Planechase 2012",0.23,0.01
"Erratic Explosion","Planechase 2012",0.19,0.00
"Etherium-Horn Sorcerer","Planechase 2012",0.89,0.08
"Exotic Orchard","Planechase 2012",2.44,0.25
"Farsight Mask","Planechase 2012",0.24,0.01
"Felidar Umbra","Planechase 2012",1.51,0.01
"Fiery Conclusion","Planechase 2012",0.19,0.00
"Fiery Fall","Planechase 2012",0.18,0.00
"Fires of Yavimaya","Planechase 2012",0.47,0.01
"Flayer Husk","Planechase 2012",0.22,0.00
Fling,"Planechase 2012",0.24,0.00
"Forest (151)","Planechase 2012",0.20,0.00
"Forest (152)","Planechase 2012",0.23,0.00
"Forest (153)","Planechase 2012",0.24,0.00
"Forest (154)","Planechase 2012",0.24,0.00
"Forest (155)","Planechase 2012",0.19,0.00
"Forest (156)","Planechase 2012",0.24,0.00
"Fractured Powerstone","Planechase 2012",0.37,0.00
"Fusion Elemental","Planechase 2012",0.32,0.01
"Ghostly Prison","Planechase 2012",5.69,2.28
"Glen Elendra Liege","Planechase 2012",1.92,0.08
"Gluttonous Slime","Planechase 2012",0.24,0.01
"Graypelt Refuge","Planechase 2012",0.36,0.01
"Gruul Turf","Planechase 2012",0.48,0.00
"Guard Gomazoa","Planechase 2012",0.48,0.01
"Hellion Eruption","Planechase 2012",0.37,0.08
"Hellkite Hatchling","Planechase 2012",0.29,0.01
"Higure, the Still Wind","Planechase 2012",9.71,3.88
"Hissing Iguanar","Planechase 2012",0.23,0.00
"Hyena Umbra","Planechase 2012",1.71,0.00
"Illusory Angel","Planechase 2012",0.58,0.01
"Indrik Umbra","Planechase 2012",0.94,0.08
"Ink-Eyes, Servant of Oni","Planechase 2012",8.28,3.31
"Inkfathom Witch","Planechase 2012",0.24,0.01
"Island (137)","Planechase 2012",0.23,0.00
"Island (138)","Planechase 2012",0.24,0.00
"Island (139)","Planechase 2012",0.23,0.00
"Island (140)","Planechase 2012",0.23,0.00
"Island (141)","Planechase 2012",0.24,0.00
"Jwar Isle Refuge","Planechase 2012",0.39,0.01
"Kathari Remnant","Planechase 2012",0.23,0.01
"Kazandu Refuge","Planechase 2012",0.29,0.01
"Khalni Garden","Planechase 2012",0.23,0.00
"Kor Spiritdancer","Planechase 2012",3.13,1.25
"Krond the Dawn-Clad","Planechase 2012",1.89,0.25
"Krosan Verge","Planechase 2012",1.66,0.01
"Last Stand","Planechase 2012",0.36,0.08
"Liliana's Specter","Planechase 2012",0.24,0.00
Lumberknot,"Planechase 2012",0.24,0.01
"Maelstrom Wanderer","Planechase 2012",7.81,3.12
"Mammoth Umbra","Planechase 2012",0.25,0.01
"Mark of Mutiny","Planechase 2012",0.28,0.01
"Mass Mutiny","Planechase 2012",0.47,0.08
"Mistblade Shinobi","Planechase 2012",0.90,0.00
"Mitotic Slime","Planechase 2012",0.48,0.08
"Mountain (147)","Planechase 2012",0.24,0.00
"Mountain (148)","Planechase 2012",0.24,0.00
"Mountain (149)","Planechase 2012",0.24,0.00
"Mountain (150)","Planechase 2012",0.24,0.00
"Mudbutton Torchrunner","Planechase 2012",0.19,0.00
Mycoloth,"Planechase 2012",2.99,0.25
"Nest Invader","Planechase 2012",0.33,0.00
"Ninja of the Deep Hours","Planechase 2012",1.01,0.00
"Noggle Ransacker","Planechase 2012",0.24,0.01
"Nullmage Advocate","Planechase 2012",0.23,0.00
"Okiba-Gang Shinobi","Planechase 2012",2.14,0.25
"Ondu Giant","Planechase 2012",0.20,0.00
Overrun,"Planechase 2012",0.29,0.01
"Penumbra Spider","Planechase 2012",0.23,0.00
"Peregrine Drake","Planechase 2012",0.96,0.01
"Plains (132)","Planechase 2012",0.24,0.00
"Plains (133)","Planechase 2012",0.25,0.00
"Plains (134)","Planechase 2012",0.24,0.00
"Plains (135)","Planechase 2012",0.24,0.00
"Plains (136)","Planechase 2012",0.21,0.00
"Pollenbright Wings","Planechase 2012",0.31,0.01
"Predatory Urge","Planechase 2012",0.39,0.08
"Preyseizer Dragon","Planechase 2012",1.86,0.08
"Primal Plasma","Planechase 2012",0.19,0.00
"Quiet Disrepair","Planechase 2012",0.23,0.00
"Quietus Spike","Planechase 2012",2.26,0.25
Rancor,"Planechase 2012",1.90,0.00
"Rivals' Duel","Planechase 2012",0.22,0.01
"Rupture Spire","Planechase 2012",0.23,0.00
"Sai of the Shinobi","Planechase 2012",0.43,0.01
"Sakashima's Student","Planechase 2012",24.72,11.12
"See Beyond","Planechase 2012",0.24,0.00
"Selesnya Sanctuary","Planechase 2012",0.33,0.00
"Shardless Agent","Planechase 2012",1.94,0.01
"Shimmering Grotto","Planechase 2012",0.19,0.00
"Sigil of the Empty Throne","Planechase 2012",0.95,0.08
