"Product Name",Category,"Sell Price","Buy Price"
"Allied Strategies",Planeshift,0.24,0.00
"Alpha Kavu",Planeshift,0.23,0.00
"Amphibious Kavu",Planeshift,0.17,0.00
"Ancient Spider",Planeshift,0.44,0.00
"Arctic Merfolk",Planeshift,0.19,0.00
"Aura Blast",Planeshift,0.19,0.00
"Aurora Griffin",Planeshift,0.19,0.00
"Bog Down",Planeshift,0.17,0.00
"Caldera Kavu",Planeshift,0.18,0.00
"Cavern Harpy",Planeshift,0.31,0.00
"Cloud Cover",Planeshift,1.44,0.10
Confound,Planeshift,0.23,0.00
"Crosis's Catacombs",Planeshift,1.89,0.10
"Crosis's Charm",Planeshift,0.34,0.00
"Darigaaz's Caldera",Planeshift,0.96,0.10
"Darigaaz's Charm",Planeshift,0.25,0.00
"Daring Leap",Planeshift,0.18,0.00
"Dark Suspicions",Planeshift,0.47,0.00
Deadapult,Planeshift,0.45,0.00
"Death Bomb",Planeshift,0.17,0.00
"Destructive Flow",Planeshift,0.65,0.10
"Diabolic Intent",Planeshift,10.45,5.17
"Disciple of Kangee",Planeshift,0.18,0.00
"Dominaria's Judgment",Planeshift,0.45,0.00
"Doomsday Specter",Planeshift,0.68,0.10
Draco,Planeshift,2.25,0.25
"Dralnu's Crusade",Planeshift,0.59,0.10
"Dralnu's Pet",Planeshift,0.43,0.00
"Dromar's Cavern",Planeshift,0.75,0.10
"Dromar's Charm",Planeshift,0.28,0.00
"Eladamri's Call",Planeshift,6.44,3.19
"Ertai, the Corrupted",Planeshift,1.85,0.10
"Ertai, the Corrupted (Alt. Art Foil)",Planeshift,0.00,0.00
"Ertai's Trickery",Planeshift,0.24,0.00
"Escape Routes",Planeshift,0.18,0.00
"Exotic Disease",Planeshift,0.23,0.00
"Falling Timber",Planeshift,0.18,0.00
"Flametongue Kavu",Planeshift,0.38,0.00
"Fleetfoot Panther",Planeshift,0.31,0.00
"Forsaken City",Planeshift,1.42,0.10
"Gaea's Herald",Planeshift,1.25,0.10
"Gaea's Might",Planeshift,0.18,0.00
Gainsay,Planeshift,0.28,0.00
"Gerrard's Command",Planeshift,0.18,0.00
"Goblin Game",Planeshift,2.37,0.25
"Guard Dogs",Planeshift,0.23,0.00
"Heroic Defiance",Planeshift,0.18,0.00
Hobble,Planeshift,0.16,0.00
"Honorable Scout",Planeshift,0.18,0.00
"Horned Kavu",Planeshift,0.21,0.00
"Hull Breach",Planeshift,0.97,0.10
"Hunting Drake",Planeshift,0.17,0.00
Implode,Planeshift,0.24,0.00
Insolence,Planeshift,0.18,0.00
"Kavu Recluse",Planeshift,0.16,0.00
"Keldon Mantle",Planeshift,0.18,0.00
"Keldon Twilight",Planeshift,0.46,0.00
"Lashknife Barrier",Planeshift,0.24,0.00
"Lava Zombie",Planeshift,0.19,0.00
"Lord of the Undead",Planeshift,12.03,5.95
"Maggot Carrier",Planeshift,0.17,0.00
"Magma Burst",Planeshift,0.18,0.00
"Magnigoth Treefolk",Planeshift,0.46,0.00
"Malicious Advice",Planeshift,0.17,0.00
"Mana Cylix",Planeshift,0.24,0.00
"March of Souls",Planeshift,0.71,0.10
"Marsh Crocodile",Planeshift,0.24,0.00
"Meddling Mage",Planeshift,21.46,10.62
"Meteor Crater",Planeshift,2.00,0.25
"Mire Kavu",Planeshift,0.17,0.00
"Mirrorwood Treefolk",Planeshift,0.24,0.00
"Mogg Jailer",Planeshift,0.24,0.00
"Mogg Sentry",Planeshift,0.37,0.00
"Morgue Toad",Planeshift,0.18,0.00
"Multani's Harmony",Planeshift,0.24,0.00
"Natural Emergence",Planeshift,0.43,0.00
"Nemata, Grove Guardian",Planeshift,6.71,3.32
"Nightscape Battlemage",Planeshift,0.26,0.00
"Nightscape Familiar",Planeshift,0.24,0.00
