"Product Name",Category,"Sell Price","Buy Price"
"Alert Shu Infantry","Portal Three Kingdoms",1.90,0.01
"Ambition's Cost","Portal Three Kingdoms",6.18,2.47
"Balance of Power","Portal Three Kingdoms",94.99,52.24
"Barbarian General","Portal Three Kingdoms",151.02,90.61
"Barbarian Horde","Portal Three Kingdoms",0.47,0.00
Blaze,"Portal Three Kingdoms",2.74,0.25
"Borrowing 100,000 Arrows","Portal Three Kingdoms",6.38,2.55
"Borrowing the East Wind","Portal Three Kingdoms",36.77,18.39
"Brilliant Plan","Portal Three Kingdoms",1.59,0.01
"Broken Dam","Portal Three Kingdoms",47.50,23.75
"Burning Fields","Portal Three Kingdoms",0.95,0.00
"Burning of Xinye","Portal Three Kingdoms",41.72,20.86
"Cao Cao, Lord of Wei","Portal Three Kingdoms",14.52,6.53
"Cao Ren, Wei Commander","Portal Three Kingdoms",97.38,53.56
"Capture of Jingzhou","Portal Three Kingdoms",237.49,142.49
"Champion's Victory","Portal Three Kingdoms",2.13,0.25
Coercion,"Portal Three Kingdoms",0.95,0.01
"Control of the Court","Portal Three Kingdoms",37.62,18.81
"Corrupt Court Official","Portal Three Kingdoms",9.52,3.81
"Corrupt Eunuchs","Portal Three Kingdoms",1.97,0.01
"Council of Advisors","Portal Three Kingdoms",9.36,3.74
Counterintelligence,"Portal Three Kingdoms",6.01,2.40
"Cunning Advisor","Portal Three Kingdoms",1.03,0.01
Deception,"Portal Three Kingdoms",0.60,0.00
"Desert Sandstorm","Portal Three Kingdoms",2.66,0.25
"Desperate Charge","Portal Three Kingdoms",2.57,0.25
"Diaochan, Artful Beauty","Portal Three Kingdoms",43.26,21.63
"Dong Zhou, the Tyrant","Portal Three Kingdoms",114.19,68.51
"Eightfold Maze","Portal Three Kingdoms",9.93,3.97
"Empty City Ruse","Portal Three Kingdoms",15.91,7.16
"Eunuchs' Intrigues","Portal Three Kingdoms",3.37,1.35
Exhaustion,"Portal Three Kingdoms",11.41,5.13
Extinguish,"Portal Three Kingdoms",0.50,0.00
"False Defeat","Portal Three Kingdoms",9.38,3.75
"False Mourning","Portal Three Kingdoms",20.90,9.41
Famine,"Portal Three Kingdoms",2.34,0.25
"Fire Ambush","Portal Three Kingdoms",7.12,2.85
"Fire Bowman","Portal Three Kingdoms",7.98,3.19
"Flanking Troops","Portal Three Kingdoms",1.28,0.01
