"Product Name",Category,"Sell Price","Buy Price"
Abolish,Prophecy,0.27,0.08
"Agent of Shauku",Prophecy,0.14,0.08
"Alexi, Zephyr Mage",Prophecy,0.47,0.08
"Alexi's Cloak",Prophecy,0.24,0.08
"Aura Fracture",Prophecy,0.22,0.08
"Avatar of Fury",Prophecy,0.67,0.08
"Avatar of Hope",Prophecy,0.56,0.08
"Avatar of Might",Prophecy,0.61,0.08
"Avatar of Will",Prophecy,0.52,0.08
"Avatar of Woe",Prophecy,2.52,0.25
"Barbed Field",Prophecy,0.24,0.08
"Blessed Wind",Prophecy,0.39,0.08
"Bog Elemental",Prophecy,0.41,0.08
"Bog Glider",Prophecy,0.16,0.08
"Branded Brawlers",Prophecy,0.17,0.08
"Brutal Suppression",Prophecy,0.25,0.08
"Calming Verse",Prophecy,0.38,0.08
"Celestial Convergence",Prophecy,1.19,0.08
"Chilling Apparition",Prophecy,0.24,0.08
"Chimeric Idol",Prophecy,0.29,0.08
"Citadel of Pain",Prophecy,0.94,0.08
"Coastal Hornclaw",Prophecy,0.18,0.08
"Coffin Puppets",Prophecy,0.42,0.08
"Copper-Leaf Angel",Prophecy,0.62,0.08
Darba,Prophecy,0.24,0.08
"Death Charmer",Prophecy,0.17,0.08
"Denying Wind",Prophecy,0.48,0.08
Despoil,Prophecy,0.21,0.08
Devastate,Prophecy,0.17,0.08
"Diving Griffin",Prophecy,0.19,0.08
"Dual Nature",Prophecy,0.59,0.08
"Elephant Resurgence",Prophecy,0.43,0.08
"Endbringer's Revel",Prophecy,0.24,0.08
Entangler,Prophecy,0.57,0.08
Excavation,Prophecy,0.28,0.08
Excise,Prophecy,0.18,0.08
"Fault Riders",Prophecy,0.14,0.08
"Fen Stalker",Prophecy,0.18,0.08
"Fickle Efreet",Prophecy,0.44,0.08
Flameshot,Prophecy,0.25,0.08
Flay,Prophecy,0.19,0.08
"Flowering Field",Prophecy,0.24,0.08
Foil,Prophecy,1.51,0.08
"Forgotten Harvest",Prophecy,0.46,0.08
"Glittering Lion",Prophecy,0.24,0.08
"Glittering Lynx",Prophecy,0.19,0.08
"Greel, Mind Raker",Prophecy,0.48,0.08
"Greel's Caress",Prophecy,0.19,0.08
"Gulf Squid",Prophecy,0.21,0.08
"Hazy Homunculus",Prophecy,0.19,0.08
"Heightened Awareness",Prophecy,0.39,0.08
"Hollow Warrior",Prophecy,0.24,0.08
"Infernal Genesis",Prophecy,0.46,0.08
Inflame,Prophecy,0.18,0.08
"Jeweled Spirit",Prophecy,0.39,0.08
"Jolrael, Empress of Beasts",Prophecy,0.48,0.08
"Jolrael's Favor",Prophecy,0.17,0.08
"Keldon Arsonist",Prophecy,0.25,0.08
"Keldon Battlewagon",Prophecy,0.38,0.08
"Keldon Berserker",Prophecy,0.14,0.08
"Keldon Firebombers",Prophecy,5.13,2.05
"Latulla, Keldon Overseer",Prophecy,0.40,0.08
"Latulla's Orders",Prophecy,0.17,0.08
"Lesser Gargadon",Prophecy,0.24,0.08
"Living Terrain",Prophecy,0.24,0.08
"Mageta the Lion",Prophecy,0.71,0.08
"Mageta's Boon",Prophecy,0.18,0.08
"Mana Vapors",Prophecy,0.27,0.08
"Marsh Boa",Prophecy,0.21,0.08
"Mercenary Informer",Prophecy,0.46,0.08
"Mine Bearer",Prophecy,0.18,0.08
"Mirror Strike",Prophecy,0.34,0.08
"Mungha Wurm",Prophecy,0.43,0.08
"Nakaya Shade",Prophecy,0.24,0.08
"Noxious Field",Prophecy,0.24,0.08
Outbreak,Prophecy,0.24,0.08
Overburden,Prophecy,15.16,6.82
"Panic Attack",Prophecy,0.19,0.08
"Pit Raptor",Prophecy,0.24,0.08
"Plague Fiend",Prophecy,0.18,0.08
"Plague Wind",Prophecy,1.89,0.08
"Psychic Theft",Prophecy,0.43,0.08
"Pygmy Razorback",Prophecy,0.18,0.08
"Quicksilver Wall",Prophecy,0.24,0.08
"Rebel Informer",Prophecy,0.41,0.08
Rethink,Prophecy,0.18,0.08
"Reveille Squad",Prophecy,0.31,0.08
"Rhystic Cave",Prophecy,0.31,0.08
"Rhystic Circle",Prophecy,0.17,0.08
"Rhystic Deluge",Prophecy,0.19,0.08
"Rhystic Lightning",Prophecy,0.21,0.08
"Rhystic Scrying",Prophecy,0.25,0.08
"Rhystic Shield",Prophecy,0.14,0.08
"Rhystic Study",Prophecy,19.45,8.75
"Rhystic Syphon",Prophecy,0.25,0.08
