"Product Name",Category,"Sell Price","Buy Price"
"Abrupt Decay","Return to Ravnica",2.71,0.25
"Aerial Predation","Return to Ravnica",0.14,0.08
"Angel of Serenity","Return to Ravnica",1.12,0.08
"Annihilating Fire","Return to Ravnica",0.14,0.08
"Aquus Steed","Return to Ravnica",0.21,0.08
"Archon of the Triumvirate","Return to Ravnica",0.32,0.08
Archweaver,"Return to Ravnica",0.23,0.08
"Armada Wurm","Return to Ravnica",0.94,0.08
"Armory Guard","Return to Ravnica",0.15,0.08
Arrest,"Return to Ravnica",0.21,0.08
"Ash Zealot","Return to Ravnica",0.41,0.08
"Assassin Token","Return to Ravnica",0.79,0.08
"Assassin's Strike","Return to Ravnica",0.20,0.08
"Auger Spree","Return to Ravnica",0.14,0.08
"Avenging Arrow","Return to Ravnica",0.14,0.08
"Axebane Guardian","Return to Ravnica",0.29,0.08
"Axebane Stag","Return to Ravnica",0.14,0.08
"Azorius Arrester","Return to Ravnica",0.15,0.08
"Azorius Charm","Return to Ravnica",0.25,0.08
"Azorius Guildgate","Return to Ravnica",0.18,0.08
"Azorius Justiciar","Return to Ravnica",0.23,0.08
"Azorius Keyrune","Return to Ravnica",0.20,0.08
"Azor's Elocutors","Return to Ravnica",0.38,0.08
Batterhorn,"Return to Ravnica",0.14,0.08
"Bazaar Krovod","Return to Ravnica",0.21,0.08
"Bellows Lizard","Return to Ravnica",0.14,0.08
"Bird Token","Return to Ravnica",0.14,0.08
"Blistercoil Weird","Return to Ravnica",0.34,0.08
"Blood Crypt","Return to Ravnica",11.26,5.07
"Bloodfray Giant","Return to Ravnica",0.22,0.08
Blustersquall,"Return to Ravnica",0.24,0.08
Brushstrider,"Return to Ravnica",0.22,0.08
"Call of the Conclave","Return to Ravnica",0.24,0.08
Cancel,"Return to Ravnica",0.16,0.08
"Carnival Hellsteed","Return to Ravnica",0.29,0.08
"Catacomb Slug","Return to Ravnica",0.14,0.08
"Centaur Healer","Return to Ravnica",0.15,0.08
"Centaur Token","Return to Ravnica",0.15,0.08
"Centaur's Herald","Return to Ravnica",0.14,0.08
"Chaos Imps","Return to Ravnica",0.31,0.08
"Chemister's Trick","Return to Ravnica",0.14,0.08
"Chorus of Might","Return to Ravnica",0.15,0.08
"Chromatic Lantern","Return to Ravnica",6.96,2.78
"Chronic Flooding","Return to Ravnica",0.17,0.08
"Civic Saber","Return to Ravnica",0.23,0.08
Cobblebrute,"Return to Ravnica",0.14,0.08
"Codex Shredder","Return to Ravnica",0.34,0.08
"Collective Blessing","Return to Ravnica",0.47,0.08
"Common Bond","Return to Ravnica",0.14,0.08
"Concordia Pegasus","Return to Ravnica",0.14,0.08
"Conjured Currency","Return to Ravnica",0.29,0.08
"Corpsejack Menace","Return to Ravnica",0.48,0.08
Counterflux,"Return to Ravnica",0.67,0.08
"Coursers' Accord","Return to Ravnica",0.15,0.08
Cremate,"Return to Ravnica",0.14,0.08
"Crosstown Courier","Return to Ravnica",0.14,0.08
"Cryptborn Horror","Return to Ravnica",0.28,0.08
"Cyclonic Rift","Return to Ravnica",19.42,8.74
"Daggerdrome Imp","Return to Ravnica",0.14,0.08
"Dark Revenant","Return to Ravnica",0.21,0.08
"Dead Reveler","Return to Ravnica",0.14,0.08
"Deadbridge Goliath","Return to Ravnica",0.30,0.08
"Deathrite Shaman","Return to Ravnica",2.85,0.25
"Death's Presence","Return to Ravnica",0.47,0.08
"Desecration Demon","Return to Ravnica",0.71,0.08
"Destroy the Evidence","Return to Ravnica",0.15,0.08
"Detention Sphere","Return to Ravnica",1.66,0.08
"Deviant Glee","Return to Ravnica",0.14,0.08
Dispel,"Return to Ravnica",0.23,0.08
Doorkeeper,"Return to Ravnica",0.19,0.08
Downsize,"Return to Ravnica",0.14,0.08
