"Product Name",Category,"Sell Price","Buy Price"
"Affa Guard Hound","Rise of the Eldrazi",0.24,0.00
"Akoum Boulderfoot","Rise of the Eldrazi",0.24,0.00
"All Is Dust","Rise of the Eldrazi",9.87,4.88
"Ancient Stirrings","Rise of the Eldrazi",3.02,1.49
"Angelheart Vial","Rise of the Eldrazi",0.41,0.00
"Arrogant Bloodlord","Rise of the Eldrazi",0.24,0.00
"Artisan of Kozilek","Rise of the Eldrazi",0.47,0.00
"Aura Finesse","Rise of the Eldrazi",0.17,0.00
"Aura Gnarlid","Rise of the Eldrazi",0.23,0.00
"Awakening Zone","Rise of the Eldrazi",2.95,1.46
"Bala Ged Scorpion","Rise of the Eldrazi",0.16,0.00
"Baneful Omen","Rise of the Eldrazi",0.48,0.00
"Battle Rampart","Rise of the Eldrazi",0.18,0.00
"Battle-Rattle Shaman","Rise of the Eldrazi",0.18,0.00
"Bear Umbra","Rise of the Eldrazi",5.00,2.47
"Beastbreaker of Bala Ged","Rise of the Eldrazi",0.24,0.00
"Bloodrite Invoker","Rise of the Eldrazi",0.17,0.00
"Bloodthrone Vampire","Rise of the Eldrazi",0.19,0.00
"Boar Umbra","Rise of the Eldrazi",0.23,0.00
Bramblesnap,"Rise of the Eldrazi",0.24,0.00
"Brimstone Mage","Rise of the Eldrazi",0.24,0.00
"Brood Birthing","Rise of the Eldrazi",0.20,0.00
Broodwarden,"Rise of the Eldrazi",0.29,0.00
"Cadaver Imp","Rise of the Eldrazi",0.18,0.00
"Caravan Escort","Rise of the Eldrazi",0.17,0.00
"Cast Through Time","Rise of the Eldrazi",2.38,0.25
"Champion's Drake","Rise of the Eldrazi",0.16,0.00
"Conquering Manticore","Rise of the Eldrazi",0.42,0.00
"Consume the Meek","Rise of the Eldrazi",0.48,0.00
"Consuming Vapors","Rise of the Eldrazi",0.64,0.10
"Contaminated Ground","Rise of the Eldrazi",0.17,0.00
"Coralhelm Commander","Rise of the Eldrazi",3.49,1.72
Corpsehatch,"Rise of the Eldrazi",0.24,0.00
"Crab Umbra","Rise of the Eldrazi",0.24,0.00
"Curse of Wizardry","Rise of the Eldrazi",0.24,0.00
"Daggerback Basilisk","Rise of the Eldrazi",0.18,0.00
"Dawnglare Invoker","Rise of the Eldrazi",0.18,0.00
"Death Cultist","Rise of the Eldrazi",0.19,0.00
"Deathless Angel","Rise of the Eldrazi",1.90,0.25
"Demonic Appetite","Rise of the Eldrazi",0.17,0.00
Demystify,"Rise of the Eldrazi",0.17,0.00
Deprive,"Rise of the Eldrazi",0.86,0.10
"Devastating Summons","Rise of the Eldrazi",0.86,0.10
"Disaster Radius","Rise of the Eldrazi",0.38,0.00
"Distortion Strike","Rise of the Eldrazi",0.71,0.10
Domestication,"Rise of the Eldrazi",0.24,0.00
"Dormant Gomazoa","Rise of the Eldrazi",0.33,0.00
"Drake Umbra","Rise of the Eldrazi",0.24,0.00
"Drana, Kalastria Bloodchief","Rise of the Eldrazi",0.94,0.10
"Dread Drone","Rise of the Eldrazi",0.17,0.00
"Dreamstone Hedron","Rise of the Eldrazi",0.24,0.00
"Echo Mage","Rise of the Eldrazi",0.48,0.00
"Eel Umbra","Rise of the Eldrazi",0.18,0.00
"Eland Umbra","Rise of the Eldrazi",0.22,0.00
"Eldrazi Conscription","Rise of the Eldrazi",5.38,2.66
"Eldrazi Spawn Token (Briclot)","Rise of the Eldrazi",0.24,0.00
"Eldrazi Spawn Token (Meignaud)","Rise of the Eldrazi",0.24,0.00
"Eldrazi Spawn Token (Tedin)","Rise of the Eldrazi",0.23,0.00
"Eldrazi Temple","Rise of the Eldrazi",9.03,4.47
"Elemental Token","Rise of the Eldrazi",0.21,0.00
"Emerge Unscathed","Rise of the Eldrazi",0.40,0.00
"Emrakul, the Aeons Torn","Rise of the Eldrazi",27.53,13.62
"Emrakul's Hatcher","Rise of the Eldrazi",0.24,0.00
"Enatu Golem","Rise of the Eldrazi",0.24,0.00
"Enclave Cryptologist","Rise of the Eldrazi",0.63,0.10
"Escaped Null","Rise of the Eldrazi",0.24,0.00
"Essence Feed","Rise of the Eldrazi",0.17,0.00
"Evolving Wilds","Rise of the Eldrazi",0.21,0.00
"Explosive Revelation","Rise of the Eldrazi",0.24,0.00
"Fissure Vent","Rise of the Eldrazi",0.17,0.00
"Flame Slash","Rise of the Eldrazi",0.38,0.00
"Fleeting Distraction","Rise of the Eldrazi",0.17,0.00
"Forest (245)","Rise of the Eldrazi",0.24,0.00
"Forest (246)","Rise of the Eldrazi",0.24,0.00
"Forest (247)","Rise of the Eldrazi",0.24,0.00
"Forest (248)","Rise of the Eldrazi",0.24,0.00
"Forked Bolt","Rise of the Eldrazi",0.71,0.10
"Frostwind Invoker","Rise of the Eldrazi",0.17,0.00
"Gelatinous Genesis","Rise of the Eldrazi",0.94,0.10
"Gideon Jura","Rise of the Eldrazi",3.81,1.88
Gigantomancer,"Rise of the Eldrazi",0.45,0.00
Gloomhunter,"Rise of the Eldrazi",0.17,0.00
"Glory Seeker","Rise of the Eldrazi",0.17,0.00
"Goblin Arsonist","Rise of the Eldrazi",0.18,0.00
"Goblin Tunneler","Rise of the Eldrazi",0.17,0.00
"Gravitational Shift","Rise of the Eldrazi",0.71,0.10
"Gravity Well","Rise of the Eldrazi",0.42,0.00
"Grotag Siege-Runner","Rise of the Eldrazi",0.18,0.00
"Growth Spasm","Rise of the Eldrazi",0.24,0.00
"Guard Duty","Rise of the Eldrazi",0.18,0.00
"Guard Gomazoa","Rise of the Eldrazi",0.39,0.00
"Guul Draz Assassin","Rise of the Eldrazi",4.46,2.20
"Hada Spy Patrol","Rise of the Eldrazi",0.24,0.00
"Halimar Wavewatch","Rise of the Eldrazi",0.19,0.00
"Hand of Emrakul","Rise of the Eldrazi",0.24,0.00
"Harmless Assault","Rise of the Eldrazi",0.19,0.00
"Haze Frog","Rise of the Eldrazi",0.18,0.00
"Heat Ray","Rise of the Eldrazi",0.17,0.00
"Hedron Matrix","Rise of the Eldrazi",0.67,0.10
"Hedron-Field Purists","Rise of the Eldrazi",0.38,0.00
"Hellcarver Demon","Rise of the Eldrazi",1.01,0.10
"Hellion Eruption","Rise of the Eldrazi",0.37,0.00
"Hellion Token","Rise of the Eldrazi",0.20,0.00
"Hyena Umbra","Rise of the Eldrazi",0.69,0.10
"Ikiral Outrider","Rise of the Eldrazi",0.18,0.00
"Induce Despair","Rise of the Eldrazi",0.18,0.00
"Inquisition of Kozilek","Rise of the Eldrazi",5.34,2.64
"Irresistible Prey","Rise of the Eldrazi",0.24,0.00
"Island (233)","Rise of the Eldrazi",0.27,0.00
"Island (234)","Rise of the Eldrazi",0.31,0.00
"Island (235)","Rise of the Eldrazi",0.29,0.00
"Island (236)","Rise of the Eldrazi",0.29,0.00
"It That Betrays","Rise of the Eldrazi",11.37,5.63
"Jaddi Lifestrider","Rise of the Eldrazi",0.24,0.00
"Joraga Treespeaker","Rise of the Eldrazi",2.08,0.25
"Jwari Scuttler","Rise of the Eldrazi",0.15,0.00
"Kabira Vindicator","Rise of the Eldrazi",0.25,0.00
"Kargan Dragonlord","Rise of the Eldrazi",4.82,2.38
"Kazandu Tuskcaller","Rise of the Eldrazi",0.48,0.00
"Keening Stone","Rise of the Eldrazi",2.00,0.25
"Khalni Hydra","Rise of the Eldrazi",11.39,5.64
"Kiln Fiend","Rise of the Eldrazi",0.33,0.00
"Knight of Cliffhaven","Rise of the Eldrazi",0.16,0.00
"Kor Line-Slinger","Rise of the Eldrazi",0.18,0.00
"Kor Spiritdancer","Rise of the Eldrazi",2.84,0.25
"Kozilek, Butcher of Truth","Rise of the Eldrazi",30.47,15.07
"Kozilek's Predator","Rise of the Eldrazi",0.21,0.00
"Lagac Lizard","Rise of the Eldrazi",0.18,0.00
"Last Kiss","Rise of the Eldrazi",0.15,0.00
"Lavafume Invoker","Rise of the Eldrazi",0.17,0.00
"Lay Bare","Rise of the Eldrazi",0.16,0.00
"Leaf Arrow","Rise of the Eldrazi",0.17,0.00
"Lighthouse Chronologist","Rise of the Eldrazi",11.69,5.79
"Lightmine Field","Rise of the Eldrazi",1.58,0.10
"Linvala, Keeper of Silence","Rise of the Eldrazi",21.72,10.74
"Living Destiny","Rise of the Eldrazi",0.17,0.00
"Lone Missionary","Rise of the Eldrazi",0.24,0.00
"Lord of Shatterskull Pass","Rise of the Eldrazi",0.94,0.10
"Luminous Wake","Rise of the Eldrazi",0.25,0.00
"Lust for War","Rise of the Eldrazi",0.24,0.00
Magmaw,"Rise of the Eldrazi",0.33,0.00
"Makindi Griffin","Rise of the Eldrazi",0.17,0.00
"Mammoth Umbra","Rise of the Eldrazi",0.24,0.00
"Merfolk Observer","Rise of the Eldrazi",0.16,0.00
"Merfolk Skyscout","Rise of the Eldrazi",0.24,0.00
"Might of the Masses","Rise of the Eldrazi",0.17,0.00
"Mnemonic Wall","Rise of the Eldrazi",0.21,0.00
"Momentous Fall","Rise of the Eldrazi",3.87,1.91
"Mortician Beetle","Rise of the Eldrazi",0.48,0.00
"Mountain (241)","Rise of the Eldrazi",0.24,0.00
"Mountain (242)","Rise of the Eldrazi",0.28,0.00
"Mountain (243)","Rise of the Eldrazi",0.24,0.00
"Mountain (244)","Rise of the Eldrazi",0.24,0.00
"Mul Daya Channelers","Rise of the Eldrazi",1.33,0.10
Narcolepsy,"Rise of the Eldrazi",0.18,0.00
Naturalize,"Rise of the Eldrazi",0.19,0.00
"Near-Death Experience","Rise of the Eldrazi",0.48,0.00
"Nema Siltlurker","Rise of the Eldrazi",0.18,0.00
"Nest Invader","Rise of the Eldrazi",0.24,0.00
Nighthaze,"Rise of the Eldrazi",0.18,0.00
"Nirkana Cutthroat","Rise of the Eldrazi",0.33,0.00
"Nirkana Revenant","Rise of the Eldrazi",7.88,3.90
"Nomads' Assembly","Rise of the Eldrazi",0.47,0.00
"Not of This World","Rise of the Eldrazi",1.64,0.10
"Null Champion","Rise of the Eldrazi",0.18,0.00
"Ogre Sentry","Rise of the Eldrazi",0.18,0.00
"Ogre's Cleaver","Rise of the Eldrazi",0.24,0.00
"Ondu Giant","Rise of the Eldrazi",0.18,0.00
"Ooze Token","Rise of the Eldrazi",0.20,0.00
Oust,"Rise of the Eldrazi",0.38,0.00
"Overgrown Battlement","Rise of the Eldrazi",0.33,0.00
"Pathrazer of Ulamog","Rise of the Eldrazi",2.47,0.25
"Pawn of Ulamog","Rise of the Eldrazi",1.89,0.10
"Pelakka Wurm","Rise of the Eldrazi",0.27,0.00
"Pennon Blade","Rise of the Eldrazi",0.24,0.00
"Perish the Thought","Rise of the Eldrazi",0.16,0.00
"Pestilence Demon","Rise of the Eldrazi",0.57,0.10
"Phantasmal Abomination","Rise of the Eldrazi",0.24,0.00
"Plains (229)","Rise of the Eldrazi",0.24,0.00
"Plains (230)","Rise of the Eldrazi",0.23,0.00
"Plains (231)","Rise of the Eldrazi",0.24,0.00
"Plains (232)","Rise of the Eldrazi",0.24,0.00
"Prey's Vengeance","Rise of the Eldrazi",0.24,0.00
"Prophetic Prism","Rise of the Eldrazi",0.24,0.00
"Puncturing Light","Rise of the Eldrazi",0.17,0.00
"Rage Nimbus","Rise of the Eldrazi",0.48,0.00
"Raid Bombardment","Rise of the Eldrazi",0.18,0.00
"Rapacious One","Rise of the Eldrazi",0.26,0.00
"Reality Spasm","Rise of the Eldrazi",0.24,0.00
"Realms Uncharted","Rise of the Eldrazi",4.68,2.32
"Recurring Insight","Rise of the Eldrazi",1.99,0.25
Regress,"Rise of the Eldrazi",0.17,0.00
"Reinforced Bulwark","Rise of the Eldrazi",0.18,0.00
"Renegade Doppelganger","Rise of the Eldrazi",0.46,0.00
"Repay in Kind","Rise of the Eldrazi",0.47,0.00
"Repel the Darkness","Rise of the Eldrazi",0.17,0.00
"Runed Servitor","Rise of the Eldrazi",0.24,0.00
"Sarkhan the Mad","Rise of the Eldrazi",6.65,3.29
"Sea Gate Oracle","Rise of the Eldrazi",0.24,0.00
"See Beyond","Rise of the Eldrazi",0.19,0.00
"Shared Discovery","Rise of the Eldrazi",0.18,0.00
Shrivel,"Rise of the Eldrazi",0.18,0.00
"Skeletal Wurm","Rise of the Eldrazi",0.24,0.00
"Skittering Invasion","Rise of the Eldrazi",0.80,0.10
"Skywatcher Adept","Rise of the Eldrazi",0.18,0.00
Smite,"Rise of the Eldrazi",0.18,0.00
"Snake Umbra","Rise of the Eldrazi",0.24,0.00
"Soulbound Guardians","Rise of the Eldrazi",0.24,0.00
"Soul's Attendant","Rise of the Eldrazi",1.59,0.10
"Soulsurge Elemental","Rise of the Eldrazi",0.24,0.00
"Spawning Breath","Rise of the Eldrazi",0.23,0.00
"Spawnsire of Ulamog","Rise of the Eldrazi",4.36,2.16
"Sphinx of Magosi","Rise of the Eldrazi",0.48,0.00
"Sphinx-Bone Wand","Rise of the Eldrazi",0.48,0.00
"Spider Umbra","Rise of the Eldrazi",0.48,0.00
"Splinter Twin","Rise of the Eldrazi",6.64,3.29
"Sporecap Spider","Rise of the Eldrazi",0.17,0.00
Staggershock,"Rise of the Eldrazi",0.22,0.00
"Stalwart Shield-Bearers","Rise of the Eldrazi",1.82,0.10
"Stomper Cub","Rise of the Eldrazi",0.17,0.00
"Student of Warfare","Rise of the Eldrazi",3.98,1.97
"Suffer the Past","Rise of the Eldrazi",0.34,0.00
"Surrakar Spellblade","Rise of the Eldrazi",0.33,0.00
"Surreal Memoir","Rise of the Eldrazi",0.24,0.00
"Survival Cache","Rise of the Eldrazi",0.23,0.00
"Swamp (237)","Rise of the Eldrazi",0.24,0.00
"Swamp (238)","Rise of the Eldrazi",0.25,0.00
"Swamp (239)","Rise of the Eldrazi",0.29,0.00
"Swamp (240)","Rise of the Eldrazi",0.29,0.00
"Tajuru Preserver","Rise of the Eldrazi",2.32,0.25
"Thought Gorger","Rise of the Eldrazi",0.37,0.00
"Time of Heroes","Rise of the Eldrazi",0.24,0.00
"Totem-Guide Hartebeest","Rise of the Eldrazi",0.18,0.00
"Training Grounds","Rise of the Eldrazi",21.33,10.55
"Traitorous Instinct","Rise of the Eldrazi",0.24,0.00
"Transcendent Master","Rise of the Eldrazi",3.99,1.97
"Tuktuk the Explorer","Rise of the Eldrazi",0.60,0.10
"Tuktuk the Returned Token","Rise of the Eldrazi",1.59,0.10
"Ulamog, the Infinite Gyre","Rise of the Eldrazi",27.54,13.63
"Ulamog's Crusher","Rise of the Eldrazi",0.25,0.00
"Umbra Mystic","Rise of the Eldrazi",3.36,1.66
"Unified Will","Rise of the Eldrazi",1.89,0.10
"Valakut Fireboar","Rise of the Eldrazi",0.24,0.00
Vendetta,"Rise of the Eldrazi",0.18,0.00
"Venerated Teacher","Rise of the Eldrazi",0.18,0.00
Vengevine,"Rise of the Eldrazi",28.49,14.10
"Vent Sentinel","Rise of the Eldrazi",0.17,0.00
"Virulent Swipe","Rise of the Eldrazi",0.24,0.00
"Wall of Omens","Rise of the Eldrazi",2.61,0.25
"Warmonger's Chariot","Rise of the Eldrazi",0.24,0.00
"Wildheart Invoker","Rise of the Eldrazi",0.17,0.00
"World at War","Rise of the Eldrazi",3.73,1.85
"Wrap in Flames","Rise of the Eldrazi",0.14,0.00
"Zof Shade","Rise of the Eldrazi",0.17,0.00
"Zulaport Enforcer","Rise of the Eldrazi",0.18,0.00
