"Product Name",Category,"Sell Price","Buy Price"
"Adamaro, First to Desire","Saviors of Kamigawa",0.71,0.10
"Aether Shockwave","Saviors of Kamigawa",0.29,0.00
"Akki Drillmaster","Saviors of Kamigawa",0.18,0.00
"Akki Underling","Saviors of Kamigawa",0.19,0.00
"Akuta, Born of Ash","Saviors of Kamigawa",0.46,0.00
"Araba Mothrider","Saviors of Kamigawa",0.21,0.00
"Arashi, the Sky Asunder","Saviors of Kamigawa",0.80,0.10
"Ashes of the Fallen","Saviors of Kamigawa",0.94,0.10
"Ayumi, the Last Visitor","Saviors of Kamigawa",0.65,0.10
"Barrel Down Sokenzan","Saviors of Kamigawa",0.18,0.00
"Blood Clock","Saviors of Kamigawa",3.78,1.78
"Bounteous Kirin","Saviors of Kamigawa",0.45,0.00
"Briarknit Kami","Saviors of Kamigawa",0.23,0.00
"Burning-Eye Zubera","Saviors of Kamigawa",0.23,0.00
"Captive Flame","Saviors of Kamigawa",0.23,0.00
"Celestial Kirin","Saviors of Kamigawa",7.92,3.72
"Charge Across the Araba","Saviors of Kamigawa",0.24,0.00
"Choice of Damnations","Saviors of Kamigawa",4.47,2.10
"Cloudhoof Kirin","Saviors of Kamigawa",0.47,0.00
"Cowed by Wisdom","Saviors of Kamigawa",0.18,0.00
"Curtain of Light","Saviors of Kamigawa",0.19,0.00
"Cut the Earthly Bond","Saviors of Kamigawa",0.18,0.00
"Death Denied","Saviors of Kamigawa",0.21,0.00
"Death of a Thousand Stings","Saviors of Kamigawa",0.17,0.00
"Deathknell Kami","Saviors of Kamigawa",0.18,0.00
"Deathmask Nezumi","Saviors of Kamigawa",0.18,0.00
"Dense Canopy","Saviors of Kamigawa",0.24,0.00
"Descendant of Kiyomaro","Saviors of Kamigawa",0.24,0.00
"Descendant of Masumaro","Saviors of Kamigawa",0.24,0.00
"Descendant of Soramaro","Saviors of Kamigawa",0.22,0.00
"Dosan's Oldest Chant","Saviors of Kamigawa",0.18,0.00
Dreamcatcher,"Saviors of Kamigawa",0.19,0.00
"Ebony Owl Netsuke","Saviors of Kamigawa",0.95,0.10
"Eiganjo Free-Riders","Saviors of Kamigawa",0.23,0.00
"Elder Pine of Jukai","Saviors of Kamigawa",0.19,0.00
"Endless Swarm","Saviors of Kamigawa",0.50,0.00
"Enduring Ideal","Saviors of Kamigawa",6.93,3.26
"Erayo, Soratami Ascendant","Saviors of Kamigawa",7.66,3.60
"Eternal Dominion","Saviors of Kamigawa",3.09,1.45
Evermind,"Saviors of Kamigawa",0.29,0.00
"Exile into Darkness","Saviors of Kamigawa",0.23,0.00
"Feral Lightning","Saviors of Kamigawa",0.25,0.00
"Fiddlehead Kami","Saviors of Kamigawa",0.19,0.00
"Footsteps of the Goryo","Saviors of Kamigawa",1.87,0.10
"Freed from the Real","Saviors of Kamigawa",1.89,0.10
"Gaze of Adamaro","Saviors of Kamigawa",0.24,0.00
"Ghost-Lit Nourisher","Saviors of Kamigawa",0.24,0.00
"Ghost-Lit Raider","Saviors of Kamigawa",0.24,0.00
"Ghost-Lit Redeemer","Saviors of Kamigawa",0.28,0.00
"Ghost-Lit Stalker","Saviors of Kamigawa",0.23,0.00
"Ghost-Lit Warder","Saviors of Kamigawa",0.24,0.00
Glitterfang,"Saviors of Kamigawa",0.19,0.00
"Gnat Miser","Saviors of Kamigawa",0.25,0.00
"Godo's Irregulars","Saviors of Kamigawa",0.24,0.00
"Hail of Arrows","Saviors of Kamigawa",0.24,0.00
"Hand of Cruelty","Saviors of Kamigawa",0.30,0.00
"Hand of Honor","Saviors of Kamigawa",0.88,0.10
Haru-Onna,"Saviors of Kamigawa",0.27,0.00
"Hidetsugu's Second Rite","Saviors of Kamigawa",0.94,0.10
"Homura, Human Ascendant","Saviors of Kamigawa",2.31,0.25
"Ideas Unbound","Saviors of Kamigawa",2.83,0.25
"Iizuka the Ruthless","Saviors of Kamigawa",0.68,0.10
"Iname as One","Saviors of Kamigawa",0.77,0.10
"Infernal Kirin","Saviors of Kamigawa",0.84,0.10
"Inner Calm, Outer Strength","Saviors of Kamigawa",0.18,0.00
"Inner Fire","Saviors of Kamigawa",0.29,0.00
"Inner-Chamber Guard","Saviors of Kamigawa",0.29,0.00
"Into the Fray","Saviors of Kamigawa",0.19,0.00
"Ivory Crane Netsuke","Saviors of Kamigawa",0.24,0.00
"Jiwari, the Earth Aflame","Saviors of Kamigawa",0.46,0.00
"Kagemaro, First to Suffer","Saviors of Kamigawa",1.51,0.10
"Kagemaro's Clutch","Saviors of Kamigawa",0.18,0.00
"Kaho, Minamo Historian","Saviors of Kamigawa",2.05,0.25
"Kami of Empty Graves","Saviors of Kamigawa",0.19,0.00
"Kami of the Crescent Moon","Saviors of Kamigawa",2.10,0.25
"Kami of the Tended Garden","Saviors of Kamigawa",0.24,0.00
"Kashi-Tribe Elite","Saviors of Kamigawa",0.66,0.10
"Kataki, War's Wage","Saviors of Kamigawa",4.43,2.08
Kemuri-Onna,"Saviors of Kamigawa",0.24,0.00
"Kiku's Shadow","Saviors of Kamigawa",0.27,0.00
Kiri-Onna,"Saviors of Kamigawa",0.24,0.00
"Kitsune Bonesetter","Saviors of Kamigawa",0.19,0.00
"Kitsune Dawnblade","Saviors of Kamigawa",0.21,0.00
"Kitsune Loreweaver","Saviors of Kamigawa",0.19,0.00
"Kiyomaro, First to Stand","Saviors of Kamigawa",0.47,0.00
"Kuon, Ogre Ascendant","Saviors of Kamigawa",0.70,0.10
"Kuro's Taken","Saviors of Kamigawa",0.19,0.00
"Locust Miser","Saviors of Kamigawa",0.94,0.10
"Maga, Traitor to Mortals","Saviors of Kamigawa",3.09,1.45
Manriki-Gusari,"Saviors of Kamigawa",0.76,0.10
"Masumaro, First to Live","Saviors of Kamigawa",0.65,0.10
"Matsu-Tribe Birdstalker","Saviors of Kamigawa",0.18,0.00
"Measure of Wickedness","Saviors of Kamigawa",0.24,0.00
"Meishin, the Mind Cage","Saviors of Kamigawa",5.69,2.67
"Michiko Konda, Truth Seeker","Saviors of Kamigawa",17.89,8.41
"Mikokoro, Center of the Sea","Saviors of Kamigawa",3.78,1.78
"Minamo Scrollkeeper","Saviors of Kamigawa",0.19,0.00
"Miren, the Moaning Well","Saviors of Kamigawa",10.00,4.70
"Molting Skin","Saviors of Kamigawa",0.26,0.00
"Moonbow Illusionist","Saviors of Kamigawa",0.19,0.00
"Moonwing Moth","Saviors of Kamigawa",0.18,0.00
"Murmurs from Beyond","Saviors of Kamigawa",0.19,0.00
"Neverending Torment","Saviors of Kamigawa",0.47,0.00
"Nightsoil Kami","Saviors of Kamigawa",0.19,0.00
Nikko-Onna,"Saviors of Kamigawa",0.38,0.00
"Oboro Breezecaller","Saviors of Kamigawa",0.20,0.00
"Oboro Envoy","Saviors of Kamigawa",0.24,0.00
"Oboro, Palace in the Clouds","Saviors of Kamigawa",20.44,9.61
"Okina Nightwatch","Saviors of Kamigawa",0.18,0.00
O-Naginata,"Saviors of Kamigawa",1.89,0.10
"One with Nothing","Saviors of Kamigawa",7.01,3.29
"Oni of Wild Places","Saviors of Kamigawa",0.25,0.00
"Oppressive Will","Saviors of Kamigawa",0.19,0.00
"Overwhelming Intellect","Saviors of Kamigawa",0.34,0.00
