"Product Name",Category,"Sell Price","Buy Price"
"Abuna Acolyte","Scars of Mirrodin",0.24,0.08
"Accorder's Shield","Scars of Mirrodin",0.19,0.08
"Acid Web Spider","Scars of Mirrodin",0.24,0.08
"Alpha Tyrranax","Scars of Mirrodin",0.14,0.08
"Arc Trail","Scars of Mirrodin",0.24,0.08
"Argent Sphinx","Scars of Mirrodin",0.32,0.08
"Argentum Armor","Scars of Mirrodin",0.84,0.08
Arrest,"Scars of Mirrodin",0.16,0.08
Asceticism,"Scars of Mirrodin",13.86,6.24
"Assault Strobe","Scars of Mirrodin",0.38,0.08
"Auriok Edgewright","Scars of Mirrodin",0.24,0.08
"Auriok Replica","Scars of Mirrodin",0.15,0.08
"Auriok Sunchaser","Scars of Mirrodin",0.19,0.08
"Barbed Battlegear","Scars of Mirrodin",0.24,0.08
"Barrage Ogre","Scars of Mirrodin",0.23,0.08
"Bellowing Tanglewurm","Scars of Mirrodin",0.28,0.08
"Blackcleave Cliffs","Scars of Mirrodin",46.87,23.44
"Blackcleave Goblin","Scars of Mirrodin",0.17,0.08
"Bladed Pinions","Scars of Mirrodin",0.20,0.08
"Blade-Tribe Berserkers","Scars of Mirrodin",0.15,0.08
"Bleak Coven Vampires","Scars of Mirrodin",0.18,0.08
"Blight Mamba","Scars of Mirrodin",0.39,0.08
Blistergrub,"Scars of Mirrodin",0.14,0.08
"Bloodshot Trainee","Scars of Mirrodin",0.24,0.08
"Blunt the Assault","Scars of Mirrodin",0.19,0.08
"Bonds of Quicksilver","Scars of Mirrodin",0.15,0.08
"Carapace Forger","Scars of Mirrodin",0.33,0.08
"Carnifex Demon","Scars of Mirrodin",0.78,0.08
"Carrion Call","Scars of Mirrodin",0.23,0.08
"Cat Token","Scars of Mirrodin",0.37,0.08
"Cerebral Eruption","Scars of Mirrodin",0.30,0.08
"Chimeric Mass","Scars of Mirrodin",0.33,0.08
"Chrome Steed","Scars of Mirrodin",0.16,0.08
"Clone Shell","Scars of Mirrodin",0.23,0.08
"Contagion Clasp","Scars of Mirrodin",1.19,0.08
"Contagion Engine","Scars of Mirrodin",14.25,6.41
"Contagious Nim","Scars of Mirrodin",0.20,0.08
"Copper Myr","Scars of Mirrodin",0.18,0.08
"Copperhorn Scout","Scars of Mirrodin",0.18,0.08
"Copperline Gorge","Scars of Mirrodin",18.92,8.51
"Corpse Cur","Scars of Mirrodin",0.20,0.08
"Corrupted Harvester","Scars of Mirrodin",0.23,0.08
"Culling Dais","Scars of Mirrodin",0.20,0.08
Cystbearer,"Scars of Mirrodin",0.19,0.08
"Darkslick Drake","Scars of Mirrodin",0.23,0.08
"Darkslick Shores","Scars of Mirrodin",13.42,6.04
"Darksteel Axe","Scars of Mirrodin",0.23,0.08
"Darksteel Juggernaut","Scars of Mirrodin",0.90,0.08
"Darksteel Myr","Scars of Mirrodin",0.24,0.08
"Darksteel Sentinel","Scars of Mirrodin",0.24,0.08
"Dispense Justice","Scars of Mirrodin",0.24,0.08
Disperse,"Scars of Mirrodin",0.15,0.08
"Dissipation Field","Scars of Mirrodin",1.74,0.08
"Dross Hopper","Scars of Mirrodin",0.15,0.08
"Echo Circlet","Scars of Mirrodin",0.15,0.08
"Elspeth Tirel","Scars of Mirrodin",10.52,4.73
Embersmith,"Scars of Mirrodin",0.21,0.08
"Engulfing Slagwurm","Scars of Mirrodin",0.87,0.08
"Etched Champion","Scars of Mirrodin",2.37,0.25
Exsanguinate,"Scars of Mirrodin",4.74,1.90
"Ezuri, Renegade Leader","Scars of Mirrodin",3.32,1.33
"Ezuri's Archers","Scars of Mirrodin",0.17,0.08
"Ezuri's Brigade","Scars of Mirrodin",0.34,0.08
Ferrovore,"Scars of Mirrodin",0.15,0.08
"Flameborn Hellion","Scars of Mirrodin",0.15,0.08
"Flesh Allergy","Scars of Mirrodin",0.21,0.08
"Flight Spellbomb","Scars of Mirrodin",0.14,0.08
"Forest (246)","Scars of Mirrodin",0.23,0.08
"Forest (247)","Scars of Mirrodin",0.21,0.08
"Forest (248)","Scars of Mirrodin",0.18,0.08
"Forest (249)","Scars of Mirrodin",0.18,0.08
"Fulgent Distraction","Scars of Mirrodin",0.15,0.08
"Fume Spitter","Scars of Mirrodin",0.19,0.08
"Furnace Celebration","Scars of Mirrodin",0.21,0.08
"Galvanic Blast","Scars of Mirrodin",0.48,0.08
"Genesis Wave","Scars of Mirrodin",4.28,1.71
"Geth, Lord of the Vault","Scars of Mirrodin",9.40,3.76
"Ghalma's Warden","Scars of Mirrodin",0.14,0.08
"Glimmerpoint Stag","Scars of Mirrodin",0.23,0.08
Glimmerpost,"Scars of Mirrodin",0.24,0.08
"Glint Hawk","Scars of Mirrodin",0.29,0.08
"Glint Hawk Idol","Scars of Mirrodin",0.15,0.08
"Goblin Gaveleer","Scars of Mirrodin",0.18,0.08
"Goblin Token","Scars of Mirrodin",0.43,0.08
"Gold Myr","Scars of Mirrodin",0.16,0.08
"Golden Urn","Scars of Mirrodin",0.16,0.08
"Golem Artisan","Scars of Mirrodin",0.23,0.08
"Golem Foundry","Scars of Mirrodin",0.19,0.08
"Golem Token","Scars of Mirrodin",0.19,0.08
"Golem's Heart","Scars of Mirrodin",0.21,0.08
"Grafted Exoskeleton","Scars of Mirrodin",2.50,0.25
"Grand Architect","Scars of Mirrodin",4.41,1.76
"Grasp of Darkness","Scars of Mirrodin",0.29,0.08
Grindclock,"Scars of Mirrodin",0.36,0.08
"Halt Order","Scars of Mirrodin",0.23,0.08
