"Product Name",Category,"Sell Price","Buy Price"
"Aberrant Researcher","Shadows Over Innistrad",0.23,0.08
"Accursed Witch","Shadows Over Innistrad",0.24,0.08
"Aim High","Shadows Over Innistrad",0.15,0.08
"Alms of the Vein","Shadows Over Innistrad",0.19,0.08
"Altered Ego","Shadows Over Innistrad",0.64,0.08
"Always Watching","Shadows Over Innistrad",0.85,0.08
"Angel of Deliverance","Shadows Over Innistrad",0.36,0.08
"Angel Token","Shadows Over Innistrad",0.48,0.08
"Angelic Purge","Shadows Over Innistrad",0.19,0.08
"Anguished Unmaking","Shadows Over Innistrad",4.75,1.90
"Apothecary Geist","Shadows Over Innistrad",0.15,0.08
"Archangel Avacyn","Shadows Over Innistrad",4.74,1.90
"Arlinn Kord","Shadows Over Innistrad",3.80,1.52
"Asylum Visitor","Shadows Over Innistrad",0.67,0.08
"Autumnal Gloom","Shadows Over Innistrad",0.24,0.08
"Avacynian Missionaries","Shadows Over Innistrad",0.24,0.08
"Avacyn's Judgment","Shadows Over Innistrad",0.41,0.08
"Behind the Scenes","Shadows Over Innistrad",0.24,0.08
"Behold the Beyond","Shadows Over Innistrad",0.71,0.08
"Biting Rain","Shadows Over Innistrad",0.23,0.08
"Bloodmad Vampire","Shadows Over Innistrad",0.19,0.08
"Bound by Moonsilver","Shadows Over Innistrad",0.23,0.08
"Brain in a Jar","Shadows Over Innistrad",0.40,0.08
"Breakneck Rider","Shadows Over Innistrad",0.28,0.08
"Briarbridge Patrol","Shadows Over Innistrad",0.23,0.08
"Broken Concentration","Shadows Over Innistrad",0.24,0.08
"Burn from Within","Shadows Over Innistrad",0.44,0.08
"Bygone Bishop","Shadows Over Innistrad",0.47,0.08
"Byway Courier","Shadows Over Innistrad",0.16,0.08
"Call the Bloodline","Shadows Over Innistrad",0.24,0.08
Catalog,"Shadows Over Innistrad",0.14,0.08
"Cathar's Companion","Shadows Over Innistrad",0.15,0.08
"Chaplain's Blessing","Shadows Over Innistrad",0.22,0.08
"Checklist Card - (CH1) Shadows over Innistrad","Shadows Over Innistrad",0.14,0.08
"Checklist Card - (CH2) Shadows over Innistrad","Shadows Over Innistrad",0.24,0.08
"Choked Estuary","Shadows Over Innistrad",1.69,0.08
"Clip Wings","Shadows Over Innistrad",0.16,0.08
"Clue Token (11)","Shadows Over Innistrad",0.16,0.08
"Clue Token (12)","Shadows Over Innistrad",0.15,0.08
"Clue Token (13)","Shadows Over Innistrad",0.17,0.08
"Clue Token (14)","Shadows Over Innistrad",0.16,0.08
"Clue Token (15)","Shadows Over Innistrad",0.17,0.08
"Clue Token (16)","Shadows Over Innistrad",0.15,0.08
"Compelling Deterrence","Shadows Over Innistrad",0.23,0.08
"Confirm Suspicions","Shadows Over Innistrad",0.41,0.08
"Confront the Unknown","Shadows Over Innistrad",0.14,0.08
"Convicted Killer","Shadows Over Innistrad",0.16,0.08
"Corrupted Grafstone","Shadows Over Innistrad",0.38,0.08
"Crawling Sensation","Shadows Over Innistrad",0.24,0.08
"Creeping Dread","Shadows Over Innistrad",0.24,0.08
"Crow of Dark Tidings","Shadows Over Innistrad",0.14,0.08
"Cryptolith Rite","Shadows Over Innistrad",4.66,1.86
"Cult of the Waxing Moon","Shadows Over Innistrad",0.24,0.08
"Dance with Devils","Shadows Over Innistrad",0.23,0.08
"Daring Sleuth","Shadows Over Innistrad",0.24,0.08
"Dauntless Cathar","Shadows Over Innistrad",0.16,0.08
"Dead Weight","Shadows Over Innistrad",0.19,0.08
"Deathcap Cultivator","Shadows Over Innistrad",0.43,0.08
"Declaration in Stone","Shadows Over Innistrad",0.60,0.08
"Deny Existence","Shadows Over Innistrad",0.14,0.08
"Descend upon the Sinful","Shadows Over Innistrad",0.87,0.08
"Devil Token","Shadows Over Innistrad",0.28,0.08
"Devils' Playground","Shadows Over Innistrad",0.33,0.08
"Devilthorn Fox","Shadows Over Innistrad",0.15,0.08
"Diregraf Colossus","Shadows Over Innistrad",3.31,1.32
"Dissension in the Ranks","Shadows Over Innistrad",0.21,0.08
"Drogskol Cavalry","Shadows Over Innistrad",0.30,0.08
"Drownyard Explorers","Shadows Over Innistrad",0.14,0.08
"Drownyard Temple","Shadows Over Innistrad",0.47,0.08
"Drunau Corpse Trawler","Shadows Over Innistrad",0.24,0.08
"Dual Shot","Shadows Over Innistrad",0.15,0.08
"Duskwatch Recruiter","Shadows Over Innistrad",1.79,0.08
"Eerie Interlude","Shadows Over Innistrad",2.30,0.25
"Elusive Tormentor","Shadows Over Innistrad",0.33,0.08
"Ember-Eye Wolf","Shadows Over Innistrad",0.17,0.08
"Emblem - Arlinn Kord","Shadows Over Innistrad",0.48,0.08
"Emblem - Jace, Unraveler of Secrets","Shadows Over Innistrad",2.15,0.25
"Emissary of the Sleepless","Shadows Over Innistrad",0.14,0.08
"Engulf the Shore","Shadows Over Innistrad",0.48,0.08
"Epiphany at the Drownyard","Shadows Over Innistrad",0.39,0.08
"Epitaph Golem","Shadows Over Innistrad",0.24,0.08
"Equestrian Skill","Shadows Over Innistrad",0.14,0.08
"Erdwal Illuminator","Shadows Over Innistrad",0.23,0.08
"Essence Flux","Shadows Over Innistrad",0.28,0.08
"Ethereal Guidance","Shadows Over Innistrad",0.16,0.08
"Ever After","Shadows Over Innistrad",0.47,0.08
"Explosive Apparatus","Shadows Over Innistrad",0.14,0.08
"Expose Evil","Shadows Over Innistrad",0.16,0.08
"Falkenrath Gorger","Shadows Over Innistrad",0.68,0.08
"Farbog Revenant","Shadows Over Innistrad",0.15,0.08
"Fevered Visions","Shadows Over Innistrad",0.66,0.08
"Fiery Temper","Shadows Over Innistrad",0.21,0.08
"Flameblade Angel","Shadows Over Innistrad",0.33,0.08
"Fleeting Memories","Shadows Over Innistrad",0.23,0.08
"Foreboding Ruins","Shadows Over Innistrad",1.29,0.08
"Forest (295)","Shadows Over Innistrad",0.19,0.08
"Forest (296)","Shadows Over Innistrad",0.18,0.08
"Forest (297)","Shadows Over Innistrad",0.19,0.08
"Forgotten Creation","Shadows Over Innistrad",0.58,0.08
"Fork in the Road","Shadows Over Innistrad",0.16,0.08
"Forsaken Sanctuary","Shadows Over Innistrad",0.24,0.08
"Fortified Village","Shadows Over Innistrad",1.06,0.08
"Foul Orchard","Shadows Over Innistrad",0.24,0.08
"From Under the Floorboards","Shadows Over Innistrad",0.47,0.08
"Furtive Homunculus","Shadows Over Innistrad",0.14,0.08
"Game Trail","Shadows Over Innistrad",1.23,0.08
"Gatstaf Arsonists","Shadows Over Innistrad",0.18,0.08
"Geier Reach Bandit","Shadows Over Innistrad",0.54,0.08
Geistblast,"Shadows Over Innistrad",0.24,0.08
"Geralf's Masterpiece","Shadows Over Innistrad",0.63,0.08
"Ghostly Wings","Shadows Over Innistrad",0.15,0.08
"Ghoulcaller's Accomplice","Shadows Over Innistrad",0.15,0.08
Ghoulsteed,"Shadows Over Innistrad",0.24,0.08
"Gibbering Fiend","Shadows Over Innistrad",0.23,0.08
"Gisa's Bidding","Shadows Over Innistrad",0.24,0.08
Gloomwidow,"Shadows Over Innistrad",0.23,0.08
"Goldnight Castigator","Shadows Over Innistrad",0.71,0.08
"Gone Missing","Shadows Over Innistrad",0.15,0.08
"Graf Mole","Shadows Over Innistrad",0.23,0.08
"Grotesque Mutation","Shadows Over Innistrad",0.15,0.08
Groundskeeper,"Shadows Over Innistrad",0.23,0.08
"Gryff's Boon","Shadows Over Innistrad",0.25,0.08
"Hanweir Militia Captain","Shadows Over Innistrad",0.62,0.08
"Harness the Storm","Shadows Over Innistrad",0.35,0.08
"Harvest Hand","Shadows Over Innistrad",0.23,0.08
"Haunted Cloak","Shadows Over Innistrad",0.31,0.08
"Heir of Falkenrath","Shadows Over Innistrad",0.32,0.08
"Hermit of the Natterknolls","Shadows Over Innistrad",0.29,0.08
"Highland Lake","Shadows Over Innistrad",0.24,0.08
"Hinterland Logger","Shadows Over Innistrad",0.18,0.08
"Hope Against Hope","Shadows Over Innistrad",0.24,0.08
"Hound of the Farbogs","Shadows Over Innistrad",0.16,0.08
"Howlpack Resurgence","Shadows Over Innistrad",0.95,0.08
"Howlpack Wolf","Shadows Over Innistrad",0.16,0.08
"Hulking Devil","Shadows Over Innistrad",0.15,0.08
"Human Cleric Token","Shadows Over Innistrad",3.14,1.26
